episode,mean_reward,std_reward
0,-500.000000,0.000000
1,-500.000000,0.000000
2,-500.000000,0.000000
3,-500.000000,0.000000
4,-500.000000,0.000000
5,-488.650000,49.473503
6,-488.900000,29.514234
7,-500.000000,0.000000
8,-489.500000,26.971281
9,-500.000000,0.000000
10,-500.000000,0.000000
11,-490.950000,30.726983
12,-500.000000,0.000000
13,-497.450000,11.115192
14,-498.500000,6.538348
15,-500.000000,0.000000
16,-500.000000,0.000000
17,-500.000000,0.000000
18,-499.700000,1.307670
19,-500.000000,0.000000
20,-494.700000,23.102164
21,-500.000000,0.000000
22,-489.150000,47.294054
23,-500.000000,0.000000
24,-500.000000,0.000000
25,-500.000000,0.000000
26,-500.000000,0.000000
27,-500.000000,0.000000
28,-500.000000,0.000000
29,-500.000000,0.000000
30,-500.000000,0.000000
31,-500.000000,0.000000
32,-500.000000,0.000000
33,-495.250000,20.027169
34,-500.000000,0.000000
35,-500.000000,0.000000
36,-500.000000,0.000000
37,-492.200000,33.999412
38,-500.000000,0.000000
39,-495.000000,20.034969
40,-497.400000,11.333137
41,-500.000000,0.000000
42,-500.000000,0.000000
43,-500.000000,0.000000
44,-498.400000,6.974238
45,-500.000000,0.000000
46,-500.000000,0.000000
47,-500.000000,0.000000
48,-500.000000,0.000000
49,-499.150000,3.705064
50,-500.000000,0.000000
51,-497.750000,9.807523
52,-486.750000,52.509880
53,-497.550000,10.679302
54,-493.250000,29.422568
55,-499.550000,1.961505
56,-495.550000,19.397100
57,-488.800000,36.367018
58,-500.000000,0.000000
59,-500.000000,0.000000
60,-500.000000,0.000000
61,-496.750000,14.166422
62,-500.000000,0.000000
63,-500.000000,0.000000
64,-500.000000,0.000000
65,-500.000000,0.000000
66,-494.850000,22.448330
67,-500.000000,0.000000
68,-492.050000,34.653247
69,-494.950000,22.012440
70,-500.000000,0.000000
71,-500.000000,0.000000
72,-500.000000,0.000000
73,-494.450000,24.191889
74,-499.450000,2.397394
75,-492.600000,31.800000
76,-500.000000,0.000000
77,-500.000000,0.000000
78,-477.200000,60.501736
79,-499.550000,1.961505
80,-499.750000,1.089725
81,-499.200000,3.487119
82,-495.550000,19.397100
83,-499.600000,1.743560
84,-488.300000,37.757251
85,-494.150000,20.833327
86,-493.350000,21.762985
87,-496.200000,16.563816
88,-490.700000,28.044786
89,-500.000000,0.000000
90,-500.000000,0.000000
91,-487.400000,32.950569
92,-500.000000,0.000000
93,-497.600000,10.461357
94,-493.650000,27.679008
95,-488.500000,50.127338
96,-496.950000,13.294642
97,-500.000000,0.000000
98,-496.550000,15.038201
99,-500.000000,0.000000
100,-491.200000,38.358311
101,-499.000000,4.358899
102,-496.600000,14.368020
103,-500.000000,0.000000
104,-500.000000,0.000000
105,-500.000000,0.000000
106,-500.000000,0.000000
107,-500.000000,0.000000
108,-500.000000,0.000000
109,-500.000000,0.000000
110,-500.000000,0.000000
111,-500.000000,0.000000
112,-496.150000,16.781761
113,-497.500000,10.897247
114,-500.000000,0.000000
115,-500.000000,0.000000
116,-500.000000,0.000000
117,-492.800000,31.384072
118,-500.000000,0.000000
119,-500.000000,0.000000
120,-500.000000,0.000000
121,-500.000000,0.000000
122,-500.000000,0.000000
123,-500.000000,0.000000
124,-495.550000,19.397100
125,-493.800000,27.025173
126,-498.400000,6.974238
127,-500.000000,0.000000
128,-500.000000,0.000000
129,-497.400000,11.333137
130,-500.000000,0.000000
131,-495.400000,20.050935
132,-499.300000,3.051229
133,-500.000000,0.000000
134,-500.000000,0.000000
135,-500.000000,0.000000
136,-499.750000,1.089725
137,-500.000000,0.000000
138,-494.750000,22.884219
139,-500.000000,0.000000
140,-498.800000,5.230679
141,-500.000000,0.000000
142,-500.000000,0.000000
143,-487.300000,45.734123
144,-500.000000,0.000000
145,-488.100000,45.854007
146,-500.000000,0.000000
147,-496.450000,15.474091
148,-500.000000,0.000000
149,-498.950000,4.576844
150,-500.000000,0.000000
151,-499.600000,1.743560
152,-500.000000,0.000000
153,-500.000000,0.000000
154,-497.500000,10.897247
155,-500.000000,0.000000
156,-493.400000,20.288913
157,-500.000000,0.000000
158,-499.150000,3.705064
159,-500.000000,0.000000
160,-500.000000,0.000000
161,-493.500000,20.068632
162,-500.000000,0.000000
163,-500.000000,0.000000
164,-500.000000,0.000000
165,-500.000000,0.000000
166,-500.000000,0.000000
167,-496.150000,16.781761
168,-495.100000,21.358605
169,-500.000000,0.000000
170,-500.000000,0.000000
171,-492.000000,34.871192
172,-495.600000,19.179155
173,-497.150000,12.422862
174,-490.650000,40.755705
175,-500.000000,0.000000
176,-480.800000,58.057385
177,-500.000000,0.000000
178,-497.650000,10.243413
179,-500.000000,0.000000
180,-494.700000,23.102164
181,-500.000000,0.000000
182,-490.250000,42.042687
183,-500.000000,0.000000
184,-493.100000,30.076403
185,-500.000000,0.000000
186,-500.000000,0.000000
187,-500.000000,0.000000
188,-486.150000,42.325258
189,-493.900000,26.589284
190,-500.000000,0.000000
191,-497.050000,12.858752
192,-500.000000,0.000000
193,-500.000000,0.000000
194,-500.000000,0.000000
195,-500.000000,0.000000
196,-500.000000,0.000000
197,-500.000000,0.000000
198,-494.450000,24.191889
199,-500.000000,0.000000
200,-500.000000,0.000000
201,-495.150000,21.140660
202,-495.900000,17.871486
203,-496.750000,14.166422
204,-500.000000,0.000000
205,-500.000000,0.000000
206,-500.000000,0.000000
207,-493.400000,28.768733
208,-500.000000,0.000000
209,-500.000000,0.000000
210,-486.600000,40.478883
211,-500.000000,0.000000
212,-488.000000,36.005555
213,-499.200000,3.487119
214,-489.300000,32.913675
215,-498.550000,6.320403
216,-496.200000,16.563816
217,-495.700000,18.289615
218,-500.000000,0.000000
219,-494.800000,22.666275
220,-500.000000,0.000000
221,-500.000000,0.000000
222,-494.750000,21.764363
223,-496.600000,14.820256
224,-497.400000,11.333137
225,-498.100000,8.281908
226,-500.000000,0.000000
227,-500.000000,0.000000
228,-498.050000,8.499853
229,-498.850000,5.012734
230,-500.000000,0.000000
231,-500.000000,0.000000
232,-500.000000,0.000000
233,-497.200000,12.204917
234,-500.000000,0.000000
235,-487.600000,37.542509
236,-498.300000,7.410128
237,-500.000000,0.000000
238,-500.000000,0.000000
239,-500.000000,0.000000
240,-500.000000,0.000000
241,-494.400000,21.221216
242,-486.400000,47.034455
243,-500.000000,0.000000
244,-500.000000,0.000000
245,-500.000000,0.000000
246,-500.000000,0.000000
247,-500.000000,0.000000
248,-500.000000,0.000000
249,-499.700000,1.307670
250,-500.000000,0.000000
251,-500.000000,0.000000
252,-500.000000,0.000000
253,-500.000000,0.000000
254,-500.000000,0.000000
255,-500.000000,0.000000
256,-500.000000,0.000000
257,-499.150000,3.705064
258,-500.000000,0.000000
259,-496.000000,17.435596
260,-500.000000,0.000000
261,-493.050000,30.294348
262,-500.000000,0.000000
263,-500.000000,0.000000
264,-495.950000,17.653541
265,-483.350000,47.566033
266,-495.200000,14.678556
267,-499.750000,1.089725
268,-500.000000,0.000000
269,-500.000000,0.000000
270,-499.150000,3.705064
271,-495.700000,15.469648
272,-500.000000,0.000000
273,-490.500000,30.350453
274,-500.000000,0.000000
275,-491.300000,27.561023
276,-500.000000,0.000000
277,-500.000000,0.000000
278,-500.000000,0.000000
279,-500.000000,0.000000
280,-500.000000,0.000000
281,-500.000000,0.000000
282,-500.000000,0.000000
283,-500.000000,0.000000
284,-500.000000,0.000000
285,-500.000000,0.000000
286,-488.400000,43.972037
287,-500.000000,0.000000
288,-500.000000,0.000000
289,-500.000000,0.000000
290,-498.850000,5.012734
291,-500.000000,0.000000
292,-489.600000,45.332549
