episode,reward,unexpected,expected,variance,td2,delta_var,actor_lr,abs_td
0,-500.0,0.0,0.002,9.999999974752427e-07,4.584317253257984e-06,2.15842046065635e-08,0.009999999999999875,0.0008102543910246085
1,-500.0,0.0,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
2,-500.0,0.0,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
3,-500.0,0.0,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
4,-500.0,1.2192197521260557e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
5,-500.0,1.6149798436733908e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
6,-500.0,1.6774439563380207e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
7,-500.0,1.6873028720150606e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
8,-500.0,1.6888589369969154e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
9,-500.0,1.6891045358343734e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
10,-500.0,1.6891432995033482e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
11,-500.0,1.6891494177006585e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
12,-500.0,1.6891503833558883e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
13,-500.0,1.689150535768316e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
14,-500.0,1.689150559823945e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
15,-500.0,1.6891505636209607e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
16,-500.0,1.6891505642203216e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
17,-500.0,1.6891505643149602e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
18,-500.0,1.6891505643300306e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
19,-500.0,1.6891505643321035e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
20,-500.0,1.6891505643327886e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
21,-500.0,1.6891505643329512e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
22,-500.0,1.6891505643330054e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
23,-500.0,1.6891505643330054e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
24,-500.0,1.6891505643330054e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
25,-500.0,1.6891505643330054e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
26,-500.0,1.6891505643330054e-05,0.002,9.999999974752427e-07,6.317729791226876e-07,1.8411350917627758e-09,0.009999999999999875,0.0007901149304959142
