episode,reward,unexpected,expected,variance,td2,delta_var,actor_lr,abs_td
0,-500.0,0.05844676442804765,0.8706496596837695,0.7439406408071518,1.0008040972809573,7.199358823606423e-05,5.4999999999999683e-05,0.9968001987934113
1,-500.0,0.0015157354511938772,0.9057346437566685,0.8149564310312271,1.0032845925469969,5.065324924104265e-05,5.4999999999999683e-05,0.9908970412015915
2,-500.0,0.052860157782877205,0.9278200265630736,0.8597304365634918,0.9909991465031356,3.6659441003500545e-05,5.4999999999999683e-05,0.9770880403518677
3,-500.0,0.10813443443953216,0.957629223009615,0.9143780270814895,1.0515093606946597,3.354156967668255e-05,5.4999999999999683e-05,0.9896629033088684
4,-500.0,0.013172106769902289,0.9775075897390865,0.9501363804340363,1.0648652476898828,1.5015296272766141e-05,5.4999999999999683e-05,0.9730501618385315
5,-500.0,0.5287076379512723,0.9936916563048176,0.9833609533309936,1.1043759694282627,3.7304255326425966e-06,5.4999999999999683e-05,0.9683572964668274
6,-500.0,0.2021888904217229,1.0181894987669398,1.017805882692337,1.1818071489859703,-6.469177454673366e-06,5.4999999999999683e-05,0.9753658661842346
7,-500.0,0.5661678988842802,1.0421407055193903,1.0764604741334916,1.2126474265743623,-4.905898368640221e-05,5.4999999999999683e-05,0.9637331666946412
8,-500.0,0.6408811582715932,1.0492233819767034,1.0881583688259124,1.2721850890435322,-2.670848941615419e-05,5.4999999999999683e-05,0.9622332429885865
9,-500.0,0.30809599353497996,1.1037062528244883,1.1992068428993226,1.4295375839544522,-6.111463415787482e-05,5.4999999999999683e-05,1.0093198623657227
10,-500.0,1.6103393334286598,1.20018968103362,1.3600143995285034,2.0608161507384,-7.670823593868733e-05,5.4999999999999683e-05,1.1462513303756714
11,-500.0,0.5281266939974585,1.2701522123374047,1.6151409265995025,1.869396305289209,-0.0005190475768671428,5.4999999999999683e-05,1.1083076524734496
12,-500.0,0.6634608088154041,1.3564701885954258,1.7997699947357177,2.401832515477383,-0.0006563433588238233,5.4999999999999683e-05,1.2154558115005494
13,-500.0,0.305324278431961,1.4112899973910913,2.0232277681827546,2.382841770930323,-0.0010446256549267714,5.4999999999999683e-05,1.206298933029175
14,-500.0,0.608440602780217,1.4650128692685715,2.1910424945354463,2.490648170350143,-0.0013672466029866902,5.4999999999999683e-05,1.2364561100006104
15,-500.0,1.0013351279512401,1.5924151734408936,2.512876039981842,3.3351262742714063,-0.0018979057087293674,5.4999999999999683e-05,1.3973429527282715
16,-500.0,0.8216837017264622,1.593122049067875,2.6667702312469483,2.8606921953229505,-0.002402463596437322,5.4999999999999683e-05,1.2871875381469726
17,-500.0,0.8688159112173963,1.7474795452234655,3.150265260219574,3.8286749701999563,-0.0037262533382795807,5.4999999999999683e-05,1.5069136180877685
18,-500.0,1.350275662931948,1.831870076189425,3.420995449066162,4.00442932519204,-0.004953855310610221,5.4999999999999683e-05,1.471045259475708
19,-500.0,3.0973494659359746,1.808692699183136,3.486319525718689,3.8405173423345276,-0.004952915686568732,5.4999999999999683e-05,1.4836381549835205
20,-500.0,1.8449787215447626,1.9374584346133938,3.829379807949066,4.506862804864151,-0.00624427973575745,5.4999999999999683e-05,1.591823600769043
21,-500.0,1.8222851576420986,1.9816554767966306,4.0502604398727415,4.758263574930235,-0.007352424380012219,5.4999999999999683e-05,1.5764193153381347
22,-500.0,0.7930570167655667,2.0479489865633416,4.5108947706222535,4.496107482689047,-0.010013684683130358,5.4999999999999683e-05,1.6179339561462402
23,-500.0,1.9571663119723006,2.013234929292705,4.359636323451996,4.668470925507521,-0.008870538212110108,5.4999999999999683e-05,1.6261852073669434
24,-500.0,1.620048052704205,2.166555743224517,4.756132449626922,5.505198970903293,-0.01056755154410496,5.4999999999999683e-05,1.792189796447754
25,-500.0,3.244627539669544,2.1298892404590477,4.810824337005616,5.403389505675012,-0.010993123351997782,5.4999999999999683e-05,1.7279326667785644
26,-500.0,1.7871416726032698,2.310352209629738,5.436147456169128,6.224944257138341,-0.014971136397619756,5.4999999999999683e-05,1.8501467895507813
27,-500.0,1.6178358231472878,2.382894316658355,5.89701105594635,6.772469421052461,-0.017721344646787728,5.4999999999999683e-05,1.9438517150878907
28,-500.0,1.4893484131591668,2.2810991990001606,5.681126336574555,5.282364786421611,-0.01785032117220288,5.4999999999999683e-05,1.7069905433654786
29,-500.0,1.1930382315488375,2.3300102342513207,5.636323882102967,6.013504504200137,-0.016644459322530124,5.4999999999999683e-05,1.8002977409362793
30,-500.0,1.5999025253152275,2.4564139224990966,6.078000419616699,7.27114420414585,-0.019076790811017753,5.4999999999999683e-05,1.992689292907715
31,-500.0,1.4481665765512381,2.498958535576435,6.45337758731842,6.562800061639165,-0.023481677861737014,5.4999999999999683e-05,1.8777199783325196
32,-500.0,1.6477162410281536,2.501537048462093,6.5369145956039425,6.983907970279462,-0.02428526051256437,5.4999999999999683e-05,1.886846866607666
33,-500.0,1.4848448631658682,2.6058008945708706,6.895193652153015,8.401058378082984,-0.025046199629135946,5.4999999999999683e-05,2.1253751792907716
34,-500.0,1.430597719055089,2.6699594881430624,7.7360678462982175,7.372739024272356,-0.03583632322926952,5.4999999999999683e-05,1.991813632965088
35,-500.0,1.4302414774330798,2.627235260354729,7.371149940490723,7.877386390338521,-0.03155644924428683,5.4999999999999683e-05,2.0371387329101562
36,-500.0,1.5731281086910953,2.568029928763892,7.050552593231201,6.690040647520065,-0.029328928308932273,5.4999999999999683e-05,1.8448382453918457
37,-500.0,1.3162809427955238,2.690270448292282,7.321560066223144,8.396185342066099,-0.030164628420370904,5.4999999999999683e-05,2.1170603828430177
38,-500.0,1.6862803875808865,2.749269049016928,7.5576434354782105,7.952961509951106,-0.033201198703335134,5.4999999999999683e-05,2.064638195037842
39,-500.0,2.226862679936385,2.6544440633626425,7.529267879486084,7.6473695963620125,-0.03391825455120975,5.4999999999999683e-05,1.8975458831787109
40,-500.0,2.2689722690828065,2.719393540341913,7.6857225093841555,7.852178116741161,-0.034877370948290846,5.4999999999999683e-05,2.0186730842590332
41,-500.0,0.9264653910320346,2.7049437654262865,7.599496872901916,6.419935604329752,-0.03610011763704189,5.4999999999999683e-05,1.8291976585388183
42,-500.0,1.2474594184651426,2.6427820701136486,6.875920727729797,7.525584760635393,-0.027285692737768104,5.4999999999999683e-05,1.9256974868774415
43,-500.0,2.0850080502487485,2.565685943356082,6.877165101528168,7.2358345947254925,-0.027339212899516706,5.4999999999999683e-05,1.872930721282959
44,-500.0,1.2904041467007166,2.786419906627636,7.877674867630005,7.968065568879152,-0.03706746755148902,5.4999999999999683e-05,2.093889720916748
45,-500.0,1.220816877739254,2.683086961923458,7.120281872749328,8.692128414475228,-0.029006651372684624,5.4999999999999683e-05,1.9858428573608398
46,-500.0,3.9139424886897993,2.9114421177419163,8.722962672233582,8.824500782796,-0.04903452791198404,5.4999999999999683e-05,2.0923324165344237
47,-500.0,1.5423156697793536,2.8400135081373366,8.433391301631927,7.43216357988715,-0.04628301843059617,5.4999999999999683e-05,1.8704868812561035
48,-500.0,1.9098872814954528,2.6461941832882534,7.6424234619140625,8.844067659737673,-0.03572368107168814,5.4999999999999683e-05,2.060216743469238
49,-500.0,1.380140071370841,2.880076787382818,8.622086942195892,8.615124497557225,-0.0473046357007547,5.4999999999999683e-05,2.133596134185791
50,-500.0,3.3605814023618845,2.6678099709523075,7.833258924007416,9.394833733378873,-0.037255148330769566,5.4999999999999683e-05,2.1491825981140136
51,-500.0,1.2243474258841884,2.991509219380986,9.411240417003631,11.237155874492462,-0.05632997640947625,5.4999999999999683e-05,2.3339902000427246
52,-500.0,2.3163739979451012,3.041529429870377,10.050838868618012,8.968401557771314,-0.06756018388583966,5.4999999999999683e-05,2.1766436004638674
53,-500.0,1.7223536353173592,3.019706839563377,9.287980862617493,9.644304667245487,-0.05580502795865845,5.4999999999999683e-05,2.2685553398132323
54,-500.0,1.4371504225141793,3.1609165659309224,10.187003531455993,9.628972911425858,-0.070088052233183,5.4999999999999683e-05,2.215373935699463
55,-500.0,1.4683032743550062,3.037536522829447,9.630215911149978,11.069160090168916,-0.06137532897198134,5.4999999999999683e-05,2.3728355445861817
56,-500.0,1.385606506723691,3.1836000751017433,10.205171415805816,10.530040721715967,-0.07157255015869221,5.4999999999999683e-05,2.3391950302124025
57,-432.0,1.4777527859430537,3.205664620561967,10.341504419373035,10.72095443433363,-0.07288924822903431,5.499999999999971e-05,2.3029258631118177
58,-500.0,3.4445489262674593,2.9292411108708305,8.676334031045437,9.829983608591792,-0.05180295008314899,5.4999999999999683e-05,2.1370274658203123
59,-500.0,0.9479758114761269,3.15320510394742,10.124262225389481,10.316097853355481,-0.07282391132584724,5.4999999999999683e-05,2.2902985496521
60,-500.0,1.6448621358864994,3.160510606455821,9.74347813129425,10.928331964587167,-0.06614622323977715,5.4999999999999683e-05,2.396999572753906
61,-500.0,1.4075715780511808,3.2717240966028043,11.150505036473275,9.447853638348294,-0.09014563271977007,5.4999999999999683e-05,2.1467719383239747
62,-500.0,2.109735014243414,3.1778329191093517,10.420314890678972,11.973846908649714,-0.07654568514976189,5.4999999999999683e-05,2.514698978424072
63,-500.0,3.4374010449181163,3.3587892118031095,11.93429490351677,11.957205100376267,-0.10290503806124865,5.4999999999999683e-05,2.443957035064697
64,-500.0,1.9931799599384028,3.073695300554855,9.760066692590714,10.57107101163712,-0.06900033521628751,5.4999999999999683e-05,2.3181931381225587
65,-500.0,3.9009751931689527,3.3955510751975075,11.469009766578674,10.796779858204282,-0.09789785827435026,5.4999999999999683e-05,2.338486446380615
66,-500.0,2.2649812701229974,3.401860389816375,10.48886871290207,12.242974309207835,-0.07765669106996048,5.4999999999999683e-05,2.5424040031433104
67,-500.0,2.3664283046178616,3.3837608337595686,12.372765643596649,10.441948432522869,-0.11633586545035794,5.4999999999999683e-05,2.3015382919311524
68,-500.0,1.7889213146574132,3.3932862950940113,11.036110574245454,12.231235794466883,-0.08727377938552194,5.4999999999999683e-05,2.4003817405700683
69,-500.0,1.2429616096312073,3.4539459811248063,12.05301071190834,11.091549238915533,-0.1068407819513274,5.4999999999999683e-05,2.4088451805114746
70,-500.0,1.9858955469307469,3.4291877064963705,11.699750774860382,11.948876708181299,-0.10329436992402154,5.4999999999999683e-05,2.4272561645507813
71,-500.0,1.5206890673946032,3.499152964634755,12.404926327228546,12.172344125171177,-0.11421276233294592,5.4999999999999683e-05,2.4574094467163086
72,-500.0,2.0897483961140457,3.528583028046237,12.528123164772987,12.326746385224302,-0.11724057693358113,5.4999999999999683e-05,2.5199982414245605
73,-500.0,1.637469307219218,3.411527027267972,12.012972244501114,12.118917917272563,-0.10353944997290765,5.4999999999999683e-05,2.5208082466125488
74,-500.0,1.4438644224712978,3.393968209518675,11.27905112683773,11.282077089516038,-0.09524352542042563,5.4999999999999683e-05,2.331230651855469
75,-500.0,1.13826968441903,3.4833759153437867,12.203246544361114,11.19968441983479,-0.11113545322832549,5.4999999999999683e-05,2.399606731414795
76,-500.0,4.22544590554637,2.9403253418727675,9.296960710406303,10.60136172304181,-0.06159349006477927,5.4999999999999683e-05,2.2570244026184083
77,-500.0,3.6623411050665085,3.2734483272885373,10.506375673383474,11.782730559167453,-0.08219120712235338,5.4999999999999683e-05,2.44718310546875
78,-351.0,0.9899482312849377,3.516669479049596,12.646685942838138,12.667615372282068,-0.11734338860210528,5.499999999999976e-05,2.4535442265597256
79,-500.0,1.842087728892418,3.4695908415694587,11.512302562743425,9.94907425571981,-0.10132273554914674,5.4999999999999683e-05,2.253265525817871
80,-500.0,4.536783892482552,3.4589370802735844,11.388294080138207,11.81307458521273,-0.09743235396909539,5.4999999999999683e-05,2.4025700302124022
81,-500.0,1.856790132816081,3.451909290677824,10.674263681560754,11.445854309126407,-0.08799255105622987,5.4999999999999683e-05,2.381993877410889
82,-500.0,1.8425727418318962,3.3027447908870298,11.713194565474987,11.533489239338895,-0.10668000662645481,5.4999999999999683e-05,2.39926517868042
83,-500.0,1.4455045108473634,3.595350813956815,12.455812837183476,11.779238755686006,-0.12049756518796852,5.4999999999999683e-05,2.5686361770629884
84,-500.0,1.622146455446094,3.313363768816763,10.600578615605832,10.339537755158418,-0.08722955659543173,5.4999999999999683e-05,2.204753429412842
85,-500.0,1.8022678291585863,3.346041481749942,10.18492076781392,11.124326031608362,-0.08046980000755245,5.4999999999999683e-05,2.32708846282959
86,-500.0,1.8304990148717701,3.4231475771068425,11.454530768364668,11.679676559336375,-0.10293933072273788,5.4999999999999683e-05,2.363111820220947
87,-500.0,1.0734548502435872,3.523499971273997,12.52008320903778,11.538237434245296,-0.12217254970437089,5.4999999999999683e-05,2.5014216384887695
88,-500.0,0.9329044384770379,3.427627998800396,12.042498359501362,10.676606763435004,-0.11093582601109409,5.4999999999999683e-05,2.362064125061035
89,-500.0,2.7831120625978647,3.155083747809504,9.982192922830581,10.51483299922134,-0.07624286365347606,5.4999999999999683e-05,2.230369026184082
90,-500.0,1.5438597182588525,3.0443723691075038,10.038249099612235,10.774057295653991,-0.07608354888805144,5.4999999999999683e-05,2.261447528839111
91,-500.0,2.3762922464148124,3.4233425961410737,11.064456688165665,12.409342182204483,-0.09238137984590593,5.4999999999999683e-05,2.5215162773132325
92,-500.0,1.5829475220506555,3.454899303386792,12.878813661694526,14.441149783228088,-0.12725159287342946,5.4999999999999683e-05,2.6345378036499025
93,-500.0,5.660274503859601,3.6050314253625455,13.43746130311489,12.356007956854256,-0.13961376715553278,5.4999999999999683e-05,2.5537863082885743
94,-500.0,1.444833145555911,3.2264532270117163,11.418041159540415,12.274845581782632,-0.10504715429707216,5.4999999999999683e-05,2.4375606079101564
95,-500.0,2.117296984525117,3.401254189292411,12.092276453495026,14.031497399354034,-0.10708074439548218,5.4999999999999683e-05,2.6673230133056642
96,-500.0,1.1098156058226587,3.864586422936005,15.328110852003098,14.803768224475396,-0.17920745971184943,5.4999999999999683e-05,2.833179229736328
97,-500.0,1.4309813785643886,3.7170272510784486,14.642606084823608,14.55425858738141,-0.16354327849423939,5.4999999999999683e-05,2.7836077117919924
98,-500.0,2.6304264457876583,3.687264648361058,14.087197739005088,13.437110750673565,-0.15564899023276169,5.4999999999999683e-05,2.596222484588623
99,-500.0,1.9772853328420223,3.571063412829633,13.107202577352524,12.821771674396194,-0.1302788855038441,5.4999999999999683e-05,2.5935988235473633
100,-500.0,1.1751536657444521,3.706687398849681,13.802271228551865,14.410113570285604,-0.14467403476738477,5.4999999999999683e-05,2.6540968284606934
101,-500.0,1.4957834590461028,3.7832539947615156,14.180692768871785,13.599396407832778,-0.16039154607815617,5.4999999999999683e-05,2.5900826606750487
102,-500.0,1.0716929289688868,3.1785450397840207,11.414581003367902,12.56699581432622,-0.10369417081718468,5.4999999999999683e-05,2.4206307525634765
103,-500.0,3.1627816169416816,3.6272089416839823,13.317458813190461,13.953763432692648,-0.14058759489826408,5.4999999999999683e-05,2.66044522857666
104,-500.0,0.848129212610704,3.7814489960731357,13.95861524438858,14.451023038742854,-0.15278157945627552,5.4999999999999683e-05,2.7267275733947756
105,-500.0,2.483100061475328,3.7988958540574376,15.305087134443223,14.866550083749543,-0.1865662057503253,5.4999999999999683e-05,2.7407258186340333
106,-500.0,2.5550343053522218,3.542182781295313,13.108632164567709,12.175629621552638,-0.14064162602502003,5.4999999999999683e-05,2.5106923904418945
107,-500.0,1.6893235899856323,3.7035881504199595,13.730567422747612,12.246497094960418,-0.15721884728451269,5.4999999999999683e-05,2.5370252685546877
108,-500.0,6.374003705458183,3.5721291421331887,13.094104319542646,13.4216523503703,-0.14668012013643836,5.4999999999999683e-05,2.551253154754639
109,-500.0,2.1118224660490066,3.517950491649218,12.205558430831879,13.256520617357005,-0.12391520028008486,5.4999999999999683e-05,2.5605103454589844
110,-500.0,3.4878773852021094,3.5988542428699732,11.9306129876622,12.97232646006708,-0.1113797167209467,5.4999999999999683e-05,2.5257511520385743
111,-500.0,1.78592592025173,3.807658260485987,14.364036974534393,14.202780514005811,-0.17434345494270162,5.4999999999999683e-05,2.7466865043640136
112,-500.0,2.6291166622968465,3.5673899612655795,11.425045554220677,11.472837657841708,-0.11029926521700371,5.4999999999999683e-05,2.3454111709594727
113,-500.0,1.352355162976161,2.8780397786913863,9.051936908468605,10.170278277153644,-0.06587220360525707,5.4999999999999683e-05,2.1690146560668944
114,-500.0,5.346713941755967,3.7679166503734147,11.600414972506929,11.73210383380662,-0.12252298871698518,5.4999999999999683e-05,2.4392255058288574
115,-500.0,4.8692895164767,3.3123743299498325,12.729773911467055,12.265571872585351,-0.1467308661228688,5.4999999999999683e-05,2.4187583465576172
116,-500.0,1.4597657618154027,3.7459702192733126,12.448016791889794,12.215802241522681,-0.12740893380888452,5.4999999999999683e-05,2.518471363067627
117,-500.0,1.5696374501964556,3.6048955743782884,11.584770488411188,11.268051067056316,-0.11653570805974646,5.4999999999999683e-05,2.4390502281188966
118,-500.0,4.227854220718735,2.937920910705742,9.106418447148055,11.010685201398562,-0.06446297710572409,5.4999999999999683e-05,2.3442821655273436
119,-500.0,2.7625832884042403,3.7282761673482363,12.245342844240367,12.293666725905249,-0.12919593210112806,5.4999999999999683e-05,2.440819007873535
