episode,is_optimal,surprise
0,0,0.000000
1,0,0.000000
2,1,0.087041
3,0,0.078337
4,1,0.143858
5,1,0.188126
6,0,0.169314
7,0,0.152382
8,0,0.137144
9,1,0.139728
10,1,0.135114
11,1,0.122650
12,1,0.110385
13,0,0.114000
14,0,0.120238
15,1,0.108214
16,1,0.097392
17,1,0.087653
18,0,0.108084
19,1,0.097276
20,0,0.119915
21,1,0.107923
22,0,0.129774
23,0,0.148182
24,0,0.162132
25,1,0.145919
26,0,0.154193
27,0,0.158520
28,0,0.158751
29,1,0.142876
30,1,0.128589
31,1,0.115730
32,1,0.104157
33,0,0.100804
34,1,0.090723
35,0,0.087800
36,0,0.084404
37,0,0.080065
38,0,0.074436
39,0,0.067248
40,0,0.060523
41,1,0.058611
42,1,0.058736
43,1,0.059863
44,1,0.061147
45,0,0.055032
46,0,0.049529
47,1,0.052277
48,0,0.047050
49,1,0.050479
50,0,0.045431
51,0,0.040888
52,0,0.036799
53,1,0.043263
54,0,0.038937
55,1,0.046460
56,0,0.041814
57,0,0.037632
58,0,0.033869
59,1,0.045065
60,1,0.055752
61,1,0.065285
62,0,0.058757
63,1,0.067127
64,1,0.073911
65,0,0.066520
66,0,0.059868
67,1,0.065331
68,1,0.069570
69,0,0.062613
70,0,0.056352
71,1,0.059696
72,0,0.053726
73,1,0.056641
74,0,0.050976
75,1,0.053471
76,1,0.055139
77,1,0.055661
78,1,0.054814
79,0,0.049332
80,1,0.046508
81,0,0.041857
82,0,0.037672
83,1,0.033904
84,1,0.030514
85,0,0.028519
86,1,0.025667
87,0,0.025421
88,0,0.025533
89,1,0.022979
90,0,0.023555
91,0,0.023961
92,1,0.021565
93,0,0.021628
94,0,0.021246
95,1,0.019121
96,1,0.017209
97,1,0.015488
98,1,0.013940
99,0,0.014443
100,1,0.012999
101,0,0.014469
102,1,0.013023
103,1,0.011720
104,1,0.010548
105,1,0.009493
106,0,0.014818
107,1,0.013337
108,1,0.012003
109,1,0.010803
110,1,0.009722
111,1,0.008750
112,1,0.007875
113,0,0.022155
114,1,0.019940
115,1,0.017946
116,0,0.035506
117,1,0.031955
118,1,0.028760
119,1,0.025884
120,1,0.023295
121,0,0.047932
122,1,0.043139
123,1,0.038825
124,0,0.066232
125,0,0.091689
126,1,0.082520
127,0,0.106658
128,0,0.127950
129,1,0.115155
130,0,0.133908
131,1,0.120518
132,1,0.108466
133,1,0.097619
134,0,0.115557
135,1,0.104001
136,1,0.093601
137,1,0.084241
138,1,0.075817
139,1,0.068235
140,0,0.089402
141,1,0.080462
142,1,0.072416
143,1,0.065174
144,1,0.058657
145,0,0.084371
146,1,0.075934
147,0,0.101210
148,0,0.123880
149,1,0.111492
150,1,0.100343
151,0,0.122004
152,1,0.109803
153,1,0.098823
154,1,0.088941
155,1,0.080047
