episode,reward,unexpected_uncertainty,expected_uncertainty,mean_variance,mean_td_error_sq,mean_delta_var,mean_actor_lr,mean_abs_td
0,10.0,1.6021719614102046e-05,0.07963242511365644,0.6935820400714874,0.9981786642178196,2.8000750616924675e-05,0.00010000000000000002,0.9990882098674774
1,27.0,0.00010200127337580568,0.25876393084721816,0.6944788032107883,0.9989655384249014,2.7909775712589357e-05,9.999999999999998e-05,0.9994794152401112
2,17.0,1.2915544857501652e-05,0.3491298393896327,0.6957742080968969,0.9983624987865637,2.7620729904818854e-05,0.00010000000000000003,0.9991716917823342
3,19.0,1.8613261762410055e-07,0.43358926509191065,0.6972114098699469,0.9959683179652082,2.714736708610574e-05,0.00010000000000000003,0.9979624309037861
4,43.0,0.002667703066407755,0.574796683625951,0.6988624805627868,0.9980464481911472,2.7041342674432986e-05,9.999999999999996e-05,0.9989934896313867
5,12.0,0.0001833231588105637,0.6045458920639434,0.6999851812918981,0.9929760649809024,2.639864621098029e-05,0.00010000000000000003,0.9964178701241811
6,13.0,1.007829723764206e-05,0.6330409402770057,0.7009196418982285,0.9856641572842816,2.5591796685268543e-05,0.00010000000000000003,0.9927292970510629
7,13.0,5.540602500485095e-07,0.6581144310774548,0.7018625506987939,0.986385804281968,2.5503776197086317e-05,0.00010000000000000003,0.9930614324716421
8,10.0,5.949176634929831e-08,0.6753139622041298,0.7022638857364655,0.9818468182341533,2.504940692880307e-05,0.00010000000000000002,0.9907468795776367
9,14.0,2.61647555431946e-09,0.6967239057560195,0.7029836475849152,0.9870923277429865,2.5376836428979693e-05,0.00010000000000000003,0.9933998542172569
10,39.0,1.9301864549366066e-06,0.7432315704877233,0.7058613330889971,0.989376020317194,2.509260834515428e-05,9.999999999999992e-05,0.9945296828563397
11,22.0,3.625633678200635e-05,0.762499417321945,0.7062600146640431,0.9885944421953283,2.4966287920788517e-05,0.0001,0.9941008741205389
12,19.0,5.225088794280423e-07,0.7762466289496535,0.7083248715651663,0.9702945232531439,2.3075439750480318e-05,0.00010000000000000003,0.9848081406794096
13,16.0,1.470731746681193e-08,0.7860181201040615,0.7090936489403248,0.9817766209191576,2.3998968145859224e-05,0.00010000000000000003,0.9904468916356564
14,16.0,4.1397418414471163e-10,0.7944538027048679,0.7104233726859093,0.9827963679944602,2.3880474998778207e-05,0.00010000000000000003,0.9909107312560081
