episode,is_optimal,expected,unexpected,ach,sigma_ne,argmax_fallback
0,0,0.693247,0.000000,0.010464,0.376027,1
1,0,1.484206,0.000047,0.010464,0.376027,0
2,0,0.350547,0.000167,0.010464,0.376678,0
3,1,1.638274,0.000133,0.010464,0.378383,0
4,1,0.417985,0.000107,0.010464,0.377904,1
5,1,2.091075,0.000085,0.010464,0.377523,0
6,1,0.096233,0.000068,0.010464,0.377221,1
7,1,1.516123,0.000055,0.010464,0.376980,1
8,1,0.312006,0.000149,0.010464,0.376788,0
9,0,1.614157,0.000119,0.010464,0.378125,1
10,0,0.459458,0.000095,0.010464,0.377699,1
11,1,2.089533,0.000076,0.010464,0.377360,0
12,0,0.075006,0.000061,0.010464,0.377091,0
13,1,1.669322,0.000049,0.010464,0.376876,0
14,0,0.230305,0.000039,0.010464,0.376705,0
15,1,2.147325,0.000031,0.010464,0.376569,0
16,1,0.066158,0.000055,0.010464,0.376460,1
17,1,1.158913,0.000199,0.010464,0.376795,0
18,0,0.569303,0.000160,0.010464,0.378861,0
19,1,2.165933,0.000218,0.010464,0.378283,1
20,1,0.048988,0.000408,0.010464,0.379137,0
21,1,0.854214,0.000713,0.010464,0.381981,1
22,0,0.822000,0.000650,0.010464,0.386866,1
23,1,1.950692,0.000760,0.010464,0.385822,1
24,1,0.072376,0.001017,0.010464,0.387650,1
25,1,0.918634,0.001394,0.010464,0.392094,1
26,0,0.647365,0.001280,0.010464,0.399113,1
27,1,2.471392,0.001376,0.010464,0.396916,1
28,1,0.014077,0.001640,0.010464,0.398759,1
29,0,0.264322,0.001417,0.010464,0.404019,0
30,0,2.926915,0.001134,0.010464,0.399565,1
31,1,0.019355,0.000923,0.010464,0.394199,1
32,1,0.421692,0.000958,0.010464,0.390423,1
33,1,1.253520,0.001188,0.010464,0.391043,0
34,1,0.323320,0.001568,0.010464,0.395200,1
35,0,1.148353,0.001381,0.010464,0.402570,0
36,1,1.639761,0.001449,0.010464,0.398852,1
37,0,0.123069,0.001159,0.010464,0.400186,0
38,1,2.696542,0.001081,0.010464,0.394665,0
39,0,0.010000,0.000865,0.010464,0.393245,1
40,0,0.718576,0.000692,0.010464,0.389427,1
41,0,2.139016,0.000554,0.010464,0.386512,0
42,1,0.137539,0.000443,0.010464,0.384267,1
43,1,1.407243,0.000354,0.010464,0.382525,1
44,1,0.301209,0.000334,0.010464,0.381166,1
45,1,1.371402,0.000528,0.010464,0.380857,1
46,0,0.263831,0.000422,0.010464,0.383852,0
47,1,2.828506,0.000456,0.010464,0.382202,1
48,0,0.010000,0.000365,0.010464,0.382723,0
49,0,0.533356,0.000292,0.010464,0.381321,0
50,1,2.342913,0.000233,0.010464,0.380222,1
51,1,0.026527,0.000205,0.010464,0.379357,0
52,1,0.534810,0.000387,0.010464,0.378941,0
53,0,1.150802,0.000310,0.010464,0.381668,1
54,0,1.410951,0.000248,0.010464,0.380494,0
55,1,0.816412,0.000198,0.010464,0.379572,0
56,0,0.949808,0.000159,0.010464,0.378845,0
57,0,1.582455,0.000127,0.010464,0.378269,1
58,1,0.478916,0.000102,0.010464,0.377814,1
59,0,1.545888,0.000081,0.010464,0.377451,1
60,1,0.504938,0.000065,0.010464,0.377163,0
61,0,1.539412,0.000052,0.010464,0.376934,0
62,0,0.499948,0.000042,0.010464,0.376751,0
63,0,1.961174,0.000033,0.010464,0.376606,0
64,1,0.131158,0.000027,0.010464,0.376489,1
65,0,1.787099,0.000021,0.010464,0.376397,1
66,1,0.206256,0.000017,0.010464,0.376322,1
67,1,1.947899,0.000014,0.010464,0.376263,1
68,0,0.119124,0.000011,0.010464,0.376216,0
69,1,1.856578,0.000009,0.010464,0.376178,1
70,1,0.153304,0.000016,0.010464,0.376148,0
71,1,1.600302,0.000144,0.010464,0.376251,1
72,1,0.223295,0.000385,0.010464,0.378053,1
73,1,1.481590,0.000731,0.010464,0.381639,1
74,1,0.234805,0.001166,0.010464,0.387153,0
75,0,1.299652,0.001138,0.010464,0.394786,1
76,1,1.139708,0.001287,0.010464,0.394277,1
77,1,0.477111,0.001581,0.010464,0.397066,1
78,0,1.165951,0.001418,0.010464,0.402832,0
79,1,1.439388,0.001475,0.010464,0.399572,0
80,1,0.234871,0.001708,0.010464,0.400694,1
81,1,1.222732,0.002078,0.010464,0.405427,0
82,1,0.317492,0.002552,0.010464,0.413439,0
83,1,1.085305,0.003102,0.010464,0.424584,1
84,1,0.358995,0.003702,0.010464,0.438725,1
85,0,0.948306,0.003459,0.010464,0.455606,0
86,1,2.395722,0.003480,0.010464,0.448596,1
87,0,0.011688,0.002890,0.010464,0.449199,0
88,0,1.316342,0.002312,0.010464,0.433121,1
89,1,1.303442,0.001850,0.010464,0.418808,0
90,0,0.281543,0.001480,0.010464,0.408421,0
91,1,2.953612,0.001184,0.010464,0.400793,1
92,1,0.010000,0.001056,0.010464,0.395120,1
93,1,0.065916,0.001199,0.010464,0.392783,0
94,0,0.696297,0.000959,0.010464,0.395400,0
95,0,2.631009,0.000767,0.010464,0.391062,1
96,1,0.054917,0.000614,0.010464,0.387763,1
97,1,0.757253,0.000544,0.010464,0.385233,1
98,1,0.798606,0.000735,0.010464,0.384118,1
99,1,0.694885,0.001120,0.010464,0.387228,1
100,0,0.753930,0.000896,0.010464,0.393951,1
101,1,2.597900,0.000957,0.010464,0.389964,0
102,1,0.010000,0.001248,0.010464,0.391034,1
103,1,0.122092,0.001705,0.010464,0.396316,1
104,1,0.826737,0.002279,0.010464,0.405368,0
105,0,0.526927,0.002026,0.010464,0.418036,1
106,1,3.262536,0.002080,0.010464,0.412267,1
107,1,0.010000,0.002360,0.010464,0.413482,0
108,1,0.012996,0.002802,0.010464,0.419951,0
109,1,0.154885,0.003352,0.010464,0.430838,1
110,1,0.754305,0.003972,0.010464,0.445602,0
111,1,0.492267,0.004630,0.010464,0.463661,1
112,1,0.667627,0.005300,0.010464,0.484233,1
113,1,0.503200,0.005966,0.010464,0.506323,1
114,1,0.594069,0.006612,0.010464,0.528834,1
115,1,0.503873,0.007228,0.010464,0.550725,1
116,0,0.537862,0.006471,0.010464,0.571166,0
117,0,4.141030,0.005177,0.010464,0.545982,0
118,1,0.010000,0.004229,0.010464,0.502194,1
119,1,0.023472,0.003778,0.010464,0.471546,1
120,1,0.203435,0.003690,0.010464,0.457850,0
121,1,0.680418,0.003861,0.010464,0.455259,1
122,0,0.459893,0.003089,0.010464,0.460322,0
123,0,4.069513,0.002471,0.010464,0.438382,0
124,1,0.010000,0.001977,0.010464,0.422603,1
125,1,0.027055,0.001582,0.010464,0.411186,0
126,1,0.249572,0.001488,0.010464,0.402834,1
127,1,0.750754,0.001709,0.010464,0.400968,1
128,0,0.440308,0.001367,0.010464,0.405452,0
129,0,3.950079,0.001094,0.010464,0.398594,0
130,1,0.010000,0.000875,0.010464,0.393470,1
131,1,0.036409,0.000700,0.010464,0.389599,0
132,1,0.336619,0.000650,0.010464,0.386643,1
133,1,0.789848,0.000920,0.010464,0.385829,0
134,0,0.436389,0.000736,0.010464,0.390385,0
135,1,3.842125,0.000589,0.010464,0.387246,0
136,0,0.010000,0.000471,0.010464,0.384834,0
