episode,is_optimal,expected,unexpected,ach,sigma_ne,argmax_fallback
0,1,0.693247,0.000000,0.010000,0.376027,1
1,1,1.484206,0.000047,0.049879,0.376027,1
2,1,0.350547,0.000167,0.050000,0.376678,0
3,0,1.638274,0.000133,0.010447,0.378383,0
4,1,0.417985,0.000162,0.050000,0.377904,0
5,1,1.615968,0.000299,0.013147,0.378318,1
6,0,0.203492,0.000239,0.050000,0.380326,1
7,1,2.388334,0.000274,0.010005,0.379440,1
8,1,0.025949,0.000439,0.050000,0.379963,0
9,1,0.569998,0.000721,0.010000,0.382468,1
10,1,1.178020,0.001103,0.045636,0.386988,0
11,0,0.413270,0.001021,0.050000,0.393640,1
12,1,2.736960,0.001129,0.012761,0.392160,0
13,0,0.010000,0.000903,0.050000,0.394106,1
14,1,0.648094,0.000883,0.010000,0.390082,1
15,1,1.083323,0.001053,0.049535,0.389744,0
16,0,0.501067,0.000842,0.050000,0.392729,0
17,1,2.632144,0.000852,0.030320,0.389035,0
18,0,0.010000,0.000681,0.050000,0.389195,1
19,1,0.800632,0.000607,0.010000,0.386334,1
20,0,0.887884,0.000486,0.049995,0.385127,0
21,0,1.828689,0.000389,0.050000,0.383193,1
22,1,0.306733,0.000311,0.050000,0.381688,1
23,0,1.566454,0.000249,0.010121,0.380510,0
24,1,0.536599,0.000199,0.050000,0.379585,1
25,1,1.412532,0.000159,0.039995,0.378855,1
26,0,0.305068,0.000127,0.050000,0.378277,1
27,1,2.531226,0.000102,0.010115,0.377820,0
28,1,0.015810,0.000222,0.050000,0.377456,0
29,1,0.368361,0.000502,0.010000,0.379184,1
30,1,1.308103,0.000912,0.010756,0.383448,0
31,0,0.292046,0.000827,0.050000,0.390232,1
32,0,2.890275,0.000661,0.010078,0.388771,1
33,1,0.020706,0.000546,0.050000,0.386008,0
34,1,0.455185,0.000654,0.010000,0.384152,1
35,0,1.246433,0.000523,0.018271,0.385881,1
36,1,1.212016,0.000516,0.050000,0.383778,0
37,1,0.420160,0.000711,0.050000,0.383661,0
38,1,1.232658,0.001066,0.013342,0.386831,0
39,1,0.330227,0.001543,0.050000,0.392976,0
40,0,1.127531,0.001410,0.010244,0.402062,0
41,1,1.711403,0.001522,0.050000,0.399428,1
42,1,0.099541,0.001820,0.050000,0.401629,1
