episode,is_optimal,expected,unexpected,ach,sigma_ne,argmax_fallback
0,0,0.693247,0.000000,0.010000,1.000000,0
1,1,1.484206,0.000000,0.010000,1.000000,1
2,0,0.456247,0.000000,0.010000,1.000000,1
3,0,1.811756,0.000014,0.010000,1.000000,0
4,0,0.157961,0.000113,0.010000,1.000000,0
5,0,1.541343,0.000306,0.010000,1.000000,0
6,1,0.239458,0.000245,0.010000,1.000000,0
7,1,2.445489,0.000196,0.010000,1.000000,1
8,0,0.048523,0.000157,0.010000,1.000000,1
9,0,1.018169,0.000210,0.010000,1.000000,1
10,1,0.754825,0.000168,0.010000,1.000000,1
11,0,1.825531,0.000164,0.010000,1.000000,1
12,0,0.127680,0.000300,0.010000,1.000000,1
13,1,1.323634,0.000240,0.010000,1.000000,0
14,0,0.902202,0.000279,0.010000,1.000000,1
15,0,0.874825,0.000464,0.010000,1.000000,1
16,1,0.834498,0.000371,0.010000,1.000000,1
17,1,1.859729,0.000297,0.010000,1.000000,0
18,1,0.265501,0.000237,0.010000,1.000000,1
19,0,2.226568,0.000190,0.010000,1.000000,0
20,1,0.049912,0.000152,0.010000,1.000000,1
21,0,1.439075,0.000122,0.010000,1.000000,1
22,0,0.387587,0.000097,0.010000,1.000000,1
23,0,1.614518,0.000209,0.010000,1.000000,1
24,0,0.198781,0.000453,0.010000,1.000000,0
25,0,1.393258,0.000811,0.010000,1.000000,0
26,1,0.269806,0.000754,0.010000,1.000000,0
27,0,2.736365,0.000881,0.010000,1.000000,1
28,1,0.010000,0.000705,0.010000,1.000000,1
29,0,0.643633,0.000720,0.010000,1.000000,1
30,0,1.124024,0.000914,0.010000,1.000000,0
31,0,0.480777,0.001251,0.010000,1.000000,0
32,1,1.143101,0.001110,0.010000,1.000000,1
33,0,1.510718,0.001194,0.010000,1.000000,0
34,1,0.192811,0.000955,0.010000,1.000000,0
35,0,2.738953,0.000920,0.010000,1.000000,1
36,1,0.010000,0.000736,0.010000,1.000000,1
37,1,0.645293,0.000589,0.010000,1.000000,1
38,1,2.145861,0.000471,0.010000,1.000000,0
39,0,0.119738,0.000377,0.010000,1.000000,0
40,1,1.432328,0.000301,0.010000,1.000000,0
41,0,0.642370,0.000241,0.010000,1.000000,0
42,0,1.355143,0.000193,0.010000,1.000000,1
43,0,0.378738,0.000261,0.010000,1.000000,0
44,1,1.434674,0.000209,0.010000,1.000000,1
45,0,0.776295,0.000212,0.010000,1.000000,1
46,0,1.009211,0.000393,0.010000,1.000000,1
47,0,0.639860,0.000719,0.010000,1.000000,0
48,0,1.024377,0.001162,0.010000,1.000000,1
49,1,0.518997,0.001084,0.010000,1.000000,1
50,0,2.720737,0.001220,0.010000,1.000000,1
51,0,0.010000,0.001524,0.010000,1.000000,0
52,1,0.131357,0.001318,0.010000,1.000000,0
53,0,2.744266,0.001365,0.010000,1.000000,1
54,0,0.010000,0.001609,0.010000,1.000000,0
55,1,0.114675,0.001340,0.010000,1.000000,1
56,1,2.716227,0.001072,0.010000,1.000000,1
57,0,0.038608,0.000858,0.010000,1.000000,1
58,0,0.651252,0.000874,0.010000,1.000000,1
59,1,0.971808,0.000699,0.010000,1.000000,1
60,1,1.831120,0.000559,0.010000,1.000000,1
61,1,0.357480,0.000447,0.010000,1.000000,1
62,1,2.430944,0.000358,0.010000,1.000000,1
63,1,0.050256,0.000286,0.010000,1.000000,0
64,0,1.361566,0.000229,0.010000,1.000000,1
65,1,0.496544,0.000183,0.010000,1.000000,1
66,1,1.947686,0.000147,0.010000,1.000000,1
67,1,0.133492,0.000117,0.010000,1.000000,0
68,1,1.626650,0.000094,0.010000,1.000000,0
69,0,0.228113,0.000075,0.010000,1.000000,1
70,0,2.263342,0.000060,0.010000,1.000000,0
71,0,0.067952,0.000048,0.010000,1.000000,0
72,1,1.419486,0.000038,0.010000,1.000000,0
73,1,0.496319,0.000031,0.010000,1.000000,0
74,0,1.702701,0.000025,0.010000,1.000000,0
75,0,0.293044,0.000020,0.010000,1.000000,0
76,1,1.961161,0.000016,0.010000,1.000000,0
77,1,0.135471,0.000013,0.010000,1.000000,1
78,1,1.673945,0.000039,0.010000,1.000000,0
79,0,0.211760,0.000031,0.010000,1.000000,1
80,0,2.203396,0.000025,0.010000,1.000000,1
81,0,0.076727,0.000020,0.010000,1.000000,1
82,1,1.455487,0.000016,0.010000,1.000000,1
83,0,0.475366,0.000013,0.010000,1.000000,1
84,1,1.811452,0.000010,0.010000,1.000000,0
85,0,0.204865,0.000008,0.010000,1.000000,1
86,1,1.896720,0.000007,0.010000,1.000000,1
87,1,0.163971,0.000005,0.010000,1.000000,1
88,1,1.767182,0.000081,0.010000,1.000000,1
89,0,0.170401,0.000065,0.010000,1.000000,1
90,1,2.119716,0.000109,0.010000,1.000000,0
91,1,0.067680,0.000250,0.010000,1.000000,1
92,0,1.135123,0.000212,0.010000,1.000000,1
93,1,1.100834,0.000285,0.010000,1.000000,1
94,1,0.694562,0.000470,0.010000,1.000000,1
95,0,1.166028,0.000416,0.010000,1.000000,0
96,1,1.128065,0.000497,0.010000,1.000000,1
97,1,0.612828,0.000705,0.010000,1.000000,0
98,1,1.207787,0.001024,0.010000,1.000000,1
99,1,0.425349,0.001439,0.010000,1.000000,1
100,1,1.231410,0.001931,0.010000,1.000000,0
101,1,0.332190,0.002483,0.010000,1.000000,0
102,0,1.129321,0.002384,0.010000,1.000000,0
103,1,1.703999,0.002495,0.010000,1.000000,0
104,1,0.101825,0.002770,0.010000,1.000000,1
105,0,0.871904,0.002453,0.010000,1.000000,1
106,1,2.268863,0.002414,0.010000,1.000000,1
107,1,0.020892,0.002588,0.010000,1.000000,0
108,1,0.313619,0.002922,0.010000,1.000000,0
109,1,1.033377,0.003372,0.010000,1.000000,1
110,1,0.374839,0.003903,0.010000,1.000000,1
111,1,0.897348,0.004486,0.010000,1.000000,0
112,1,0.423322,0.005097,0.010000,1.000000,0
113,0,0.775909,0.004676,0.010000,1.000000,0
114,0,3.085090,0.003741,0.010000,1.000000,1
115,1,0.026833,0.003205,0.010000,1.000000,1
116,0,0.334299,0.002564,0.010000,1.000000,0
117,0,3.331099,0.002051,0.010000,1.000000,0
118,0,0.010000,0.001641,0.010000,1.000000,1
119,0,0.847650,0.001313,0.010000,1.000000,0
120,1,1.892355,0.001050,0.010000,1.000000,1
121,1,0.085532,0.000840,0.010000,1.000000,1
122,1,0.998555,0.000672,0.010000,1.000000,1
123,1,0.564730,0.000563,0.010000,1.000000,1
124,0,0.994222,0.000451,0.010000,1.000000,0
125,1,1.910987,0.000360,0.010000,1.000000,1
126,1,0.061995,0.000451,0.010000,1.000000,0
127,1,0.709566,0.000768,0.010000,1.000000,0
128,0,0.755591,0.000615,0.010000,1.000000,0
129,1,2.554854,0.000648,0.010000,1.000000,0
130,1,0.010000,0.000923,0.010000,1.000000,1
131,0,0.144515,0.000739,0.010000,1.000000,0
132,1,3.010989,0.000739,0.010000,1.000000,0
133,1,0.010000,0.000990,0.010000,1.000000,1
134,0,0.039700,0.000792,0.010000,1.000000,0
135,1,2.175689,0.000771,0.010000,1.000000,0
136,0,0.025250,0.000617,0.010000,1.000000,0
137,1,1.732959,0.000493,0.010000,1.000000,0
138,0,0.092498,0.000395,0.010000,1.000000,0
139,1,2.580196,0.000316,0.010000,1.000000,1
140,0,0.010000,0.000253,0.010000,1.000000,1
141,1,0.906918,0.000202,0.010000,1.000000,1
142,1,0.676585,0.000211,0.010000,1.000000,1
143,1,0.883948,0.000467,0.010000,1.000000,1
144,1,0.597351,0.000908,0.010000,1.000000,0
145,1,0.848434,0.001480,0.010000,1.000000,1
146,0,0.545852,0.001301,0.010000,1.000000,0
147,1,3.108519,0.001415,0.010000,1.000000,1
148,1,0.010000,0.001744,0.010000,1.000000,0
149,1,0.024056,0.002228,0.010000,1.000000,1
150,1,0.280764,0.002817,0.010000,1.000000,0
151,1,0.884230,0.003473,0.010000,1.000000,1
152,1,0.414166,0.004164,0.010000,1.000000,1
153,0,0.752173,0.003787,0.010000,1.000000,1
154,1,3.212094,0.003736,0.010000,1.000000,0
155,1,0.010000,0.003921,0.010000,1.000000,0
156,0,0.010000,0.003215,0.010000,1.000000,0
157,0,1.557131,0.002572,0.010000,1.000000,0
158,1,1.181160,0.002058,0.010000,1.000000,1
159,1,0.278104,0.001767,0.010000,1.000000,1
160,1,0.931470,0.001822,0.010000,1.000000,1
161,1,0.402727,0.002127,0.010000,1.000000,1
162,0,0.797280,0.001701,0.010000,1.000000,1
163,1,3.015740,0.001550,0.010000,1.000000,0
164,0,0.010000,0.001240,0.010000,1.000000,0
165,1,0.407173,0.000992,0.010000,1.000000,0
166,1,0.917891,0.000977,0.010000,1.000000,0
167,1,0.427813,0.001250,0.010000,1.000000,1
168,1,0.804737,0.001724,0.010000,1.000000,1
169,1,0.460325,0.002334,0.010000,1.000000,1
170,1,0.700572,0.003027,0.010000,1.000000,0
171,0,0.486324,0.002596,0.010000,1.000000,0
172,1,3.858923,0.002544,0.010000,1.000000,0
173,0,0.010000,0.002035,0.010000,1.000000,0
174,1,0.044324,0.001628,0.010000,1.000000,1
175,1,0.397256,0.001613,0.010000,1.000000,0
176,1,0.780202,0.001881,0.010000,1.000000,1
177,1,0.453100,0.002344,0.010000,1.000000,1
178,1,0.670588,0.002937,0.010000,1.000000,0
179,1,0.483650,0.003607,0.010000,1.000000,1
180,1,0.587622,0.004315,0.010000,1.000000,0
181,0,0.492405,0.003713,0.010000,1.000000,0
182,1,4.170676,0.003523,0.010000,1.000000,1
183,1,0.010000,0.003628,0.010000,1.000000,1
184,1,0.010000,0.003938,0.010000,1.000000,0
