episode,mean_reward,std_reward
0,21.380952,13.379003
1,21.000000,10.023781
2,20.761905,8.422785
3,20.761905,8.728196
4,18.857143,8.708429
5,21.047619,9.554237
6,22.142857,8.724818
7,18.523810,5.795064
8,21.380952,8.604961
9,19.761905,6.316304
10,22.380952,9.997505
11,22.047619,11.133289
12,24.285714,12.566557
13,24.047619,11.311504
14,25.190476,14.364702
15,22.904762,16.477704
16,18.666667,6.937361
17,25.285714,13.020653
18,19.952381,14.630289
19,21.380952,9.930598
20,21.571429,10.799345
21,21.238095,8.439729
22,21.904762,9.430976
23,19.095238,10.622997
24,27.904762,16.806758
25,21.333333,8.543075
26,24.619048,11.966128
27,21.476190,8.009631
28,23.904762,15.802064
29,22.714286,9.442270
30,22.285714,10.859022
31,23.190476,11.475104
32,19.190476,6.911819
33,23.666667,10.678565
34,24.333333,12.260402
35,25.761905,12.776111
36,23.380952,11.761423
37,25.761905,10.914843
38,22.238095,11.036324
39,21.619048,8.476726
40,22.619048,11.922273
41,20.238095,7.050193
42,23.523810,9.974344
43,23.809524,15.158273
44,24.476190,12.315762
45,20.714286,11.157500
46,18.952381,5.576107
47,23.523810,15.016242
48,26.571429,12.632428
49,21.142857,12.329932
50,27.142857,16.181370
51,26.523810,16.170576
52,25.000000,14.985707
53,20.523810,7.115503
54,23.142857,17.326791
55,21.190476,11.312105
56,21.238095,11.036324
57,25.238095,16.984320
58,18.952381,8.335102
59,16.523810,6.659179
60,19.476190,7.365421
61,17.428571,9.266280
62,22.047619,16.328404
63,21.523810,10.742080
64,17.619048,8.698529
65,19.714286,9.371400
66,26.095238,15.215608
67,19.666667,7.894141
68,19.857143,8.149120
69,22.523810,15.060573
70,24.047619,15.731304
71,19.190476,6.418864
72,23.857143,10.868415
73,22.428571,10.293648
74,24.238095,16.601505
75,19.809524,12.331219
76,22.857143,10.678352
77,21.095238,9.932653
78,19.619048,8.968071
79,17.619048,5.472670
80,18.857143,4.872525
81,22.761905,11.943936
82,25.619048,10.647943
83,19.333333,10.444107
84,24.047619,12.365375
85,19.476190,8.883473
86,18.714286,7.905049
87,21.857143,9.838146
88,25.857143,14.072214
89,22.142857,12.135292
90,19.809524,8.781035
91,21.142857,10.507529
92,16.952381,6.074742
93,20.619048,8.109232
94,20.714286,10.370025
95,24.523810,14.157680
96,22.142857,11.260067
97,24.285714,24.366532
98,16.190476,7.075235
99,18.666667,6.833624
100,24.238095,8.852790
101,23.428571,13.203792
102,26.428571,12.365742
103,22.619048,12.468918
104,21.761905,10.065995
105,20.761905,11.645170
106,24.619048,11.073246
107,22.190476,12.377472
108,24.190476,16.093829
109,21.142857,9.765272
110,23.571429,14.056252
111,26.285714,14.813581
112,24.238095,15.963962
113,23.619048,15.060121
114,21.095238,8.540686
115,18.523810,6.587282
116,19.428571,10.436070
117,20.857143,8.430589
118,24.666667,10.593499
119,23.619048,15.812822
120,19.047619,7.724273
121,23.000000,12.344268
122,20.476190,9.235640
123,22.619048,8.214251
124,24.476190,22.020811
125,18.238095,5.308616
126,24.000000,11.880356
127,22.047619,8.978685
128,20.428571,7.901606
129,21.095238,7.714580
130,21.904762,10.113192
131,21.285714,12.895709
132,25.047619,25.379925
133,22.142857,9.696763
134,23.000000,18.418417
135,23.809524,12.568362
136,20.761905,9.966156
137,21.238095,8.760870
138,26.761905,12.975819
139,21.142857,10.828911
140,19.238095,8.512762
141,23.142857,13.943033
142,20.523810,7.506309
143,22.761905,10.192924
144,19.952381,6.121595
145,20.142857,6.881900
146,26.238095,17.432604
147,21.333333,13.453034
148,20.619048,10.265412
149,26.047619,13.102076
150,18.476190,14.274917
151,19.666667,7.624105
152,22.714286,12.649648
153,23.047619,12.299734
154,21.095238,10.391868
155,23.428571,11.328731
156,25.380952,15.959700
157,24.571429,15.022432
158,19.666667,6.992059
159,19.761905,7.800517
160,26.142857,16.113543
161,24.666667,13.249738
162,23.952381,11.793768
163,21.476190,8.894188
164,22.285714,13.079038
165,25.904762,13.529174
166,19.476190,14.294918
167,21.714286,12.604394
168,18.809524,6.448470
169,23.952381,14.045763
170,25.666667,14.210437
171,26.761905,18.176135
172,19.904762,10.089621
173,22.095238,9.630827
174,21.666667,8.576454
175,16.428571,5.447336
176,24.714286,13.466512
177,21.857143,9.223602
178,19.333333,11.277172
179,19.333333,7.966198
180,25.000000,15.445758
181,24.142857,11.089616
182,24.428571,14.154156
183,20.666667,10.025365
184,21.619048,7.161246
185,19.333333,8.248136
186,25.523810,18.096616
187,21.666667,10.166862
188,17.523810,6.637692
189,21.523810,13.521126
190,19.333333,9.377447
191,21.714286,11.522826
192,18.047619,7.266860
193,22.952381,18.383420
194,24.238095,12.622372
195,22.571429,11.704991
196,17.095238,6.516680
197,27.285714,17.004601
198,25.571429,12.272972
199,22.333333,13.874723
200,23.619048,10.049763
201,26.095238,22.915798
202,23.904762,14.135079
203,23.428571,11.725314
204,24.523810,12.396693
205,24.380952,12.088862
206,19.476190,11.210620
207,22.095238,14.979048
208,21.333333,9.741093
209,21.523810,9.287057
210,18.428571,8.834841
211,30.238095,21.204009
212,19.761905,7.110721
213,26.952381,20.723753
214,20.047619,11.395388
215,22.571429,8.426553
216,21.523810,9.732709
217,19.809524,8.180226
218,27.809524,18.995285
219,20.952381,11.716802
220,24.619048,14.096525
221,21.571429,9.873348
222,25.333333,13.688136
223,24.190476,12.871597
224,27.238095,23.918323
225,17.285714,6.783333
226,23.476190,10.205596
227,22.666667,12.796329
228,19.142857,8.470035
229,24.809524,13.037013
230,21.571429,8.324213
231,23.857143,11.707896
232,16.428571,5.499536
233,19.714286,8.130735
234,16.666667,5.203784
235,21.809524,10.486359
236,22.380952,9.613860
