episode,mean_reward,std_reward
0,24.666667,16.181510
1,19.476190,9.358566
2,24.428571,16.963747
3,20.047619,8.888067
4,19.571429,6.550692
5,22.095238,10.018577
6,24.904762,13.869819
7,26.238095,10.893007
8,19.428571,9.955001
9,21.142857,9.035832
10,21.142857,14.233715
11,22.380952,6.528153
12,21.428571,9.429293
13,23.952381,10.251486
14,20.000000,9.426407
15,19.952381,9.125976
16,20.666667,8.609703
17,24.714286,9.720586
18,19.095238,8.662479
19,20.619048,11.749270
20,26.000000,12.884099
21,23.904762,18.498146
22,23.380952,11.146113
23,20.285714,7.132373
24,19.523810,7.737473
25,22.857143,12.295124
26,21.333333,18.982030
27,24.952381,21.479727
28,20.714286,8.429782
29,25.523810,17.114792
30,23.952381,11.260873
31,22.238095,9.566334
32,24.619048,11.728988
33,24.333333,12.933284
34,26.952381,21.178327
35,20.238095,9.729214
36,21.190476,10.149450
37,25.428571,15.710389
38,20.095238,8.512762
39,21.380952,10.825350
40,22.047619,13.174565
41,25.857143,18.535129
42,27.571429,14.643612
43,20.476190,9.484921
44,23.190476,11.274155
45,21.571429,9.974116
46,22.809524,10.821579
47,25.428571,17.022594
48,26.761905,18.202315
49,22.571429,11.878638
50,20.000000,11.584061
51,19.238095,7.757668
52,22.857143,12.699028
53,19.809524,15.354909
54,21.428571,8.791616
55,21.476190,8.704783
56,21.714286,10.797455
57,21.619048,12.186941
58,21.761905,8.809653
59,20.761905,7.993478
60,22.333333,9.789855
61,27.714286,17.482353
62,21.476190,12.404373
63,23.095238,11.160751
64,20.428571,9.663734
65,19.571429,9.302183
66,20.190476,11.146723
67,21.666667,9.760627
68,22.047619,10.394487
69,25.666667,17.069419
70,19.238095,6.913787
71,22.000000,13.284434
72,28.142857,17.199905
73,23.380952,10.366963
74,22.095238,10.225574
75,27.904762,16.460356
76,20.238095,4.586780
77,21.142857,9.361958
78,25.714286,20.607772
79,21.476190,10.002947
80,23.761905,10.910479
81,22.619048,18.712044
82,17.857143,7.245923
83,18.285714,6.474440
84,20.047619,7.486344
85,24.190476,14.643767
86,19.000000,7.097954
87,21.047619,8.566136
88,20.047619,8.167743
89,21.238095,8.722739
90,20.857143,12.076288
91,25.380952,14.022011
92,25.047619,16.677547
93,19.523810,10.594783
94,18.095238,6.117148
95,19.380952,8.936156
96,18.571429,8.995086
97,22.238095,11.173543
98,21.095238,12.363174
99,22.095238,14.302530
100,25.714286,23.168416
101,27.000000,16.115653
102,22.857143,16.628391
103,24.095238,11.105146
104,21.809524,13.029706
105,23.238095,14.504202
106,20.428571,9.519761
107,19.523810,7.823159
108,20.476190,10.372211
109,19.619048,11.801841
110,20.238095,12.015485
111,21.857143,9.437946
112,22.666667,13.740220
113,23.761905,13.472741
114,21.190476,9.791245
115,21.714286,11.356319
116,24.142857,13.871127
117,27.333333,14.865535
118,16.047619,4.623709
119,21.047619,12.322941
120,23.952381,13.149239
121,18.238095,8.285988
122,25.904762,13.458595
123,19.857143,6.288960
124,28.619048,19.325473
125,24.380952,9.393393
126,18.380952,6.214240
127,19.000000,7.010197
128,15.523810,5.560225
129,21.952381,10.812146
130,25.809524,14.682737
131,22.142857,7.369730
132,19.476190,9.204652
133,22.238095,14.362334
134,22.952381,12.468918
135,22.952381,11.922273
136,24.333333,14.694778
137,19.428571,9.162924
138,21.142857,17.493633
139,23.666667,12.555907
140,25.190476,14.039465
141,25.714286,15.387512
142,23.619048,11.769517
143,25.238095,9.556373
144,21.238095,9.395565
145,22.476190,8.715717
146,20.523810,10.670918
147,27.380952,16.663265
148,18.714286,7.892992
149,22.761905,9.247418
150,23.142857,10.877175
151,19.095238,7.873432
152,21.428571,9.964563
153,21.714286,6.825323
154,24.285714,11.804530
155,24.952381,14.123524
156,18.000000,6.172134
157,23.047619,14.640050
158,18.047619,8.312218
159,21.142857,11.581125
160,20.619048,12.834018
161,23.809524,10.266075
162,20.523810,7.979850
163,21.095238,11.895997
164,21.809524,16.485546
165,21.380952,13.025529
166,25.952381,19.177060
167,20.571429,10.205374
168,23.285714,14.356491
169,20.142857,9.568230
170,22.619048,9.317041
171,21.523810,8.398521
172,24.380952,15.887930
173,20.428571,9.037338
174,18.142857,7.226181
175,25.047619,12.049407
176,20.523810,7.718987
177,25.761905,16.512347
178,16.285714,6.598289
179,19.857143,10.521116
180,18.047619,6.600694
181,21.476190,9.235640
182,25.476190,12.116966
183,21.095238,12.347758
184,27.952381,15.379257
185,19.714286,6.064282
186,21.476190,7.895864
187,27.047619,22.775250
188,21.809524,10.653053
189,23.428571,17.527044
190,23.285714,15.687857
191,22.428571,11.696851
192,25.142857,16.734014
193,26.857143,12.460550
194,20.285714,8.992816
195,17.857143,8.702959
196,20.666667,8.459052
197,24.904762,13.419619
198,20.857143,12.570887
199,21.047619,15.025300
200,19.285714,8.457979
201,19.285714,9.427128
202,21.619048,9.930598
203,20.904762,7.164095
204,22.714286,10.633025
205,24.190476,13.768906
206,17.047619,5.727762
207,24.000000,15.793308
208,27.714286,15.931828
209,22.619048,14.301103
210,18.095238,9.425926
211,18.571429,9.707981
212,20.190476,11.504115
213,25.285714,19.059163
214,28.857143,15.360077
215,21.952381,12.900632
216,23.333333,11.622365
217,23.523810,14.291586
218,18.428571,10.887177
219,26.285714,17.733860
220,23.095238,12.320733
221,21.380952,12.808019
222,18.857143,10.315433
223,22.047619,9.564200
224,21.142857,7.959934
225,20.190476,8.566930
226,17.428571,8.742733
227,22.333333,14.386943
228,23.047619,11.577796
229,24.285714,10.757690
230,21.952381,11.378661
231,23.285714,12.795620
232,25.666667,15.983126
233,23.761905,17.533382
234,17.714286,7.982975
235,21.380952,11.116167
236,20.190476,11.009170
237,21.476190,10.303116
238,20.714286,7.844579
239,26.285714,14.092020
240,21.523810,14.029286
241,24.714286,13.231070
242,17.809524,10.477273
243,25.238095,13.147170
244,23.285714,17.397709
245,17.904762,9.354931
246,18.333333,6.957923
247,20.142857,12.016995
248,19.142857,9.372125
249,18.809524,9.873577
250,22.142857,14.652436
251,21.904762,7.873432
252,20.428571,7.575471
253,18.380952,7.234021
254,19.619048,8.588343
255,21.095238,11.734787
256,20.809524,7.731316
257,23.095238,10.253477
258,28.476190,20.634273
259,19.857143,13.292625
260,22.523810,13.333163
261,22.571429,11.966507
262,19.142857,5.726178
263,22.714286,11.776259
264,20.190476,9.189119
265,19.761905,8.422785
266,25.000000,18.893183
267,19.095238,7.412376
268,20.761905,9.865306
269,20.238095,11.014729
270,20.714286,8.407156
271,22.095238,12.254852
272,24.666667,12.706704
273,22.904762,13.883545
274,21.190476,13.178695
275,19.333333,10.393832
276,26.809524,16.052352
277,21.857143,10.990410
278,26.904762,21.188282
279,27.523810,18.924962
280,19.285714,10.300915
281,24.285714,12.585490
282,26.142857,17.116647
