Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
10: Ret: 37.27; Last 100 Avg Ret: -183.55; Var: 0.00080180; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
20: Ret: -58.22; Last 100 Avg Ret: -185.77; Var: 0.00270520; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
30: Ret: -98.35; Last 100 Avg Ret: -221.58; Var: 0.00244208; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
40: Ret: -128.34; Last 100 Avg Ret: -203.72; Var: 0.00339099; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
50: Ret: -406.94; Last 100 Avg Ret: -206.77; Var: 0.00154885; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
60: Ret: -98.15; Last 100 Avg Ret: -192.26; Var: 0.00144571; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
70: Ret: -150.12; Last 100 Avg Ret: -186.79; Var: 0.00078989; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
80: Ret: -134.68; Last 100 Avg Ret: -177.85; Var: 0.00166418; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
90: Ret: -390.98; Last 100 Avg Ret: -173.15; Var: 0.00094786; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
100: Ret: -309.52; Last 100 Avg Ret: -170.14; Var: 0.00242734; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
110: Ret: -86.43; Last 100 Avg Ret: -163.56; Var: 0.00124907; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
120: Ret: -187.28; Last 100 Avg Ret: -161.86; Var: 0.00179792; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
130: Ret: -241.58; Last 100 Avg Ret: -150.70; Var: 0.00153365; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
