Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
10: Ret: -400.07; Last 100 Avg Ret: -191.42; Var: 0.00013010; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
20: Ret: -435.05; Last 100 Avg Ret: -191.77; Var: 0.00202899; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
30: Ret: -116.84; Last 100 Avg Ret: -231.25; Var: 0.00171447; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
40: Ret: -229.60; Last 100 Avg Ret: -260.88; Var: 0.00058580; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
50: Ret: -54.06; Last 100 Avg Ret: -246.11; Var: 0.00359203; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
60: Ret: -359.24; Last 100 Avg Ret: -253.34; Var: 0.00308446; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
70: Ret: -131.89; Last 100 Avg Ret: -252.22; Var: 0.00131236; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
80: Ret: -244.17; Last 100 Avg Ret: -238.76; Var: 0.00247946; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
90: Ret: -242.89; Last 100 Avg Ret: -235.42; Var: 0.00170965; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
100: Ret: -372.37; Last 100 Avg Ret: -237.85; Var: 0.00112285; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
110: Ret: -103.82; Last 100 Avg Ret: -235.99; Var: 0.00133855; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
120: Ret: -79.17; Last 100 Avg Ret: -238.09; Var: 0.00173037; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
130: Ret: -65.26; Last 100 Avg Ret: -225.30; Var: 0.00103811; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
