Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
10: Ret: -350.42; Last 100 Avg Ret: -157.64; Var: 0.00011649; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
20: Ret: -34.58; Last 100 Avg Ret: -171.82; Var: 0.00146729; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
30: Ret: -222.08; Last 100 Avg Ret: -187.29; Var: 0.00204925; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
40: Ret: -99.19; Last 100 Avg Ret: -214.49; Var: 0.00256026; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
50: Ret: -101.09; Last 100 Avg Ret: -208.07; Var: 0.00175595; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
60: Ret: -74.50; Last 100 Avg Ret: -205.26; Var: 0.00235472; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
70: Ret: -165.01; Last 100 Avg Ret: -199.17; Var: 0.00073194; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
80: Ret: -65.78; Last 100 Avg Ret: -193.10; Var: 0.00078226; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
90: Ret: -94.77; Last 100 Avg Ret: -196.96; Var: 0.00068687; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
100: Ret: -180.60; Last 100 Avg Ret: -198.05; Var: 0.00104538; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
110: Ret: -137.04; Last 100 Avg Ret: -200.02; Var: 0.00046639; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
