1: Ret: -113.56; Last 100 Avg Ret: -113.56; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 0; Solved: N
2: Ret: -135.01; Last 100 Avg Ret: -124.28; Var: 0.00096113; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 0; Solved: N
3: Ret: -124.80; Last 100 Avg Ret: -124.45; Var: 0.00095551; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 0; Solved: N
4: Ret: -102.09; Last 100 Avg Ret: -118.86; Var: 0.00094968; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 0; Solved: N
5: Ret: -105.24; Last 100 Avg Ret: -116.14; Var: 0.00094968; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 0; Solved: N
6: Ret: -105.68; Last 100 Avg Ret: -114.40; Var: 0.00095954; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 0; Solved: N
7: Ret: -190.80; Last 100 Avg Ret: -125.31; Var: 0.00093054; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 0; Solved: N
8: Ret: -269.10; Last 100 Avg Ret: -143.29; Var: 0.00095646; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 0; Solved: N
9: Ret: -128.84; Last 100 Avg Ret: -141.68; Var: 0.00095941; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 0; Solved: N
10: Ret: -393.85; Last 100 Avg Ret: -166.90; Var: 0.00096037; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 0; Solved: N
11: Ret: -99.04; Last 100 Avg Ret: -160.73; Var: 0.00095701; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 0; Solved: N
12: Ret: -327.99; Last 100 Avg Ret: -174.67; Var: 0.00095962; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 0; Solved: N
13: Ret: -115.19; Last 100 Avg Ret: -170.09; Var: 0.00096112; NE: 1.142; ACh: 0.565; ActLR: 0.00006250; EpCount0: 0; Solved: N
