run,seed,type,late_reward,n_rows
10_classic,10,classic,-1486704.000000,15000
10_flagship,10,ACE,-708320.000000,15000
11_classic,11,classic,-1493706.000000,15000
11_flagship,11,ACE,-1195506.000000,15000
12_classic,12,classic,-1477616.000000,15000
12_flagship,12,ACE,-963869.000000,15000
13_classic,13,classic,-1488965.000000,15000
13_flagship,13,ACE,-517272.000000,15000
14_classic,14,classic,-1412448.000000,15000
14_flagship,14,ACE,-614729.000000,15000
15_classic,15,classic,-1473325.000000,15000
15_flagship,15,ACE,-1046136.000000,15000
16_classic,16,classic,-1486401.000000,15000
16_flagship,16,ACE,-602094.000000,15000
17_classic,17,classic,-1485194.000000,15000
17_flagship,17,ACE,-1076454.000000,15000
18_classic,18,classic,-1433362.000000,15000
18_flagship,18,ACE,-1194105.000000,15000
19_classic,19,classic,-1466731.000000,15000
19_flagship,19,ACE,-666371.000000,15000
1_classic,1,classic,-1441943.000000,15000
1_flagship,1,ACE,-699680.000000,15000
20_classic,20,classic,-1494114.000000,15000
20_flagship,20,ACE,-913267.000000,15000
2_classic,2,classic,-1472997.000000,15000
2_flagship,2,ACE,-1490066.000000,15000
3_classic,3,classic,-1453629.000000,15000
3_flagship,3,ACE,-1447446.000000,15000
4_classic,4,classic,-1482217.000000,15000
4_flagship,4,ACE,-1111840.000000,15000
5_classic,5,classic,-1473837.000000,15000
5_flagship,5,ACE,-1431992.000000,15000
6_classic,6,classic,-1488069.000000,15000
6_flagship,6,ACE,-1245733.000000,15000
7_classic,7,classic,-1435179.000000,15000
7_flagship,7,ACE,-1499771.000000,15000
8_classic,8,classic,-1498251.000000,15000
8_flagship,8,ACE,-893786.000000,15000
9_classic,9,classic,-1489830.000000,15000
9_flagship,9,ACE,-1158307.000000,15000
