run,seed,type,total_reward,n_rows
10_classic,10,classic,-7463619.000000,15000
10_flagship,10,ACE,-5426161.000000,15000
11_classic,11,classic,-7467645.000000,15000
11_flagship,11,ACE,-6571129.000000,15000
12_classic,12,classic,-7444489.000000,15000
12_flagship,12,ACE,-5810475.000000,15000
13_classic,13,classic,-7470396.000000,15000
13_flagship,13,ACE,-3015464.000000,15000
14_classic,14,classic,-7284906.000000,15000
14_flagship,14,ACE,-6272631.000000,15000
15_classic,15,classic,-7444147.000000,15000
15_flagship,15,ACE,-6831169.000000,15000
16_classic,16,classic,-7469239.000000,15000
16_flagship,16,ACE,-4092218.000000,15000
17_classic,17,classic,-7466272.000000,15000
17_flagship,17,ACE,-6024914.000000,15000
18_classic,18,classic,-7298580.000000,15000
18_flagship,18,ACE,-6016035.000000,15000
19_classic,19,classic,-7419043.000000,15000
19_flagship,19,ACE,-5649959.000000,15000
1_classic,1,classic,-7337925.000000,15000
1_flagship,1,ACE,-5812910.000000,15000
20_classic,20,classic,-7479924.000000,15000
20_flagship,20,ACE,-6330739.000000,15000
2_classic,2,classic,-7405741.000000,15000
2_flagship,2,ACE,-7465084.000000,15000
3_classic,3,classic,-7380130.000000,15000
3_flagship,3,ACE,-6682919.000000,15000
4_classic,4,classic,-7448525.000000,15000
4_flagship,4,ACE,-5133543.000000,15000
5_classic,5,classic,-7410892.000000,15000
5_flagship,5,ACE,-7174769.000000,15000
6_classic,6,classic,-7425967.000000,15000
6_flagship,6,ACE,-5509136.000000,15000
7_classic,7,classic,-7368211.000000,15000
7_flagship,7,ACE,-6655251.000000,15000
8_classic,8,classic,-7491767.000000,15000
8_flagship,8,ACE,-5207481.000000,15000
9_classic,9,classic,-7468288.000000,15000
9_flagship,9,ACE,-5697153.000000,15000
