episode,is_optimal,expected,unexpected
0,1,0.693247,0.000000
1,0,0.696319,0.000000
2,1,0.699777,0.000000
3,1,0.702819,0.000014
4,0,0.705438,0.000011
5,1,0.709220,0.000009
6,0,0.711837,0.000007
7,1,0.715529,0.000006
8,1,0.718141,0.000051
9,0,0.720343,0.000041
10,1,0.724335,0.000040
11,1,0.726556,0.000157
12,0,0.728386,0.000126
13,0,0.732648,0.000101
14,0,0.736381,0.000081
15,0,0.739616,0.000064
16,0,0.742383,0.000052
17,0,0.744709,0.000087
18,0,0.746621,0.000245
19,0,0.748144,0.000517
20,1,0.749301,0.000463
21,0,0.753958,0.000570
22,1,0.755191,0.000456
23,1,0.759663,0.000365
24,1,0.763565,0.000292
25,1,0.766932,0.000233
26,0,0.769797,0.000187
27,0,0.772353,0.000149
28,0,0.774455,0.000130
29,1,0.776131,0.000104
30,1,0.779758,0.000083
31,1,0.782853,0.000067
32,1,0.785449,0.000053
33,0,0.787577,0.000043
34,1,0.790543,0.000034
35,0,0.792658,0.000027
36,0,0.795547,0.000022
37,1,0.797938,0.000018
38,1,0.800465,0.000014
39,1,0.802513,0.000067
40,1,0.804113,0.000223
41,0,0.805294,0.000183
42,1,0.808909,0.000262
43,0,0.810134,0.000210
44,1,0.813609,0.000245
45,1,0.814874,0.000403
46,1,0.815732,0.000675
47,1,0.816208,0.001047
48,1,0.816328,0.001503
49,1,0.816113,0.002029
50,0,0.815587,0.001960
51,1,0.820958,0.002090
52,1,0.820583,0.002378
53,1,0.819903,0.002784
54,1,0.818937,0.003279
55,1,0.817704,0.003836
56,1,0.816222,0.004431
57,1,0.814508,0.005048
58,0,0.812577,0.004678
59,0,0.819904,0.003744
60,1,0.826400,0.003267
61,1,0.825141,0.003137
62,1,0.823628,0.003262
63,1,0.821879,0.003574
64,1,0.819910,0.004016
65,1,0.817736,0.004543
66,1,0.815371,0.005122
67,1,0.812828,0.005725
68,1,0.810121,0.006332
69,1,0.807260,0.006927
70,1,0.804258,0.007499
71,1,0.801124,0.008040
72,1,0.797869,0.008544
73,1,0.794502,0.009008
74,0,0.791031,0.007940
75,1,0.801434,0.007317
76,1,0.798258,0.007022
77,1,0.794964,0.006963
78,1,0.791563,0.007068
79,0,0.788063,0.005774
80,1,0.798605,0.005046
81,1,0.795399,0.004733
82,1,0.792080,0.004718
83,1,0.788657,0.004910
84,1,0.785137,0.005239
85,1,0.781530,0.005655
86,1,0.777841,0.006117
87,1,0.774078,0.006596
88,1,0.770247,0.007071
89,1,0.766355,0.007528
90,1,0.762408,0.007955
91,0,0.758410,0.006544
92,1,0.770826,0.005703
93,1,0.767127,0.005279
94,1,0.763362,0.005154
95,0,0.759536,0.004123
96,0,0.771552,0.003299
97,1,0.782455,0.002639
98,1,0.779302,0.002111
99,1,0.776044,0.001689
100,1,0.772689,0.001372
101,1,0.769245,0.001438
102,1,0.765718,0.001765
103,0,0.762116,0.001412
104,1,0.773597,0.001130
105,1,0.770289,0.000904
106,1,0.766890,0.001043
107,1,0.763408,0.001434
108,1,0.759850,0.001988
109,1,0.756222,0.002638
110,1,0.752530,0.003336
111,1,0.748781,0.004045
112,1,0.744978,0.004739
113,1,0.741128,0.005401
114,1,0.737236,0.006017
115,0,0.733305,0.004814
116,1,0.746348,0.004039
117,1,0.742708,0.003700
118,1,0.739013,0.003671
119,1,0.735268,0.003854
120,1,0.731478,0.004176
121,1,0.727648,0.004584
122,1,0.723781,0.005036
123,1,0.719883,0.005502
124,1,0.715957,0.005961
125,1,0.712007,0.006399
126,1,0.708035,0.006806
127,1,0.704046,0.007175
128,1,0.700041,0.007504
129,1,0.696025,0.007790
130,1,0.692000,0.008035
131,1,0.687968,0.008239
132,1,0.683931,0.008405
133,1,0.679892,0.008534
134,1,0.675853,0.008630
135,1,0.671816,0.008696
136,1,0.667782,0.008734
137,1,0.663754,0.008747
138,1,0.659733,0.008737
139,1,0.655720,0.008708
140,1,0.651718,0.008662
141,1,0.647726,0.008600
142,1,0.643748,0.008525
143,1,0.639783,0.008439
144,1,0.635832,0.008344
145,1,0.631897,0.008240
146,0,0.627980,0.006592
147,1,0.644480,0.005274
148,1,0.640784,0.004219
149,1,0.637089,0.003375
150,1,0.633398,0.002846
151,1,0.629712,0.002616
152,1,0.626032,0.002596
153,1,0.622359,0.002719
154,1,0.618696,0.002936
155,1,0.615042,0.003207
156,1,0.611399,0.003506
157,1,0.607769,0.003812
158,1,0.604151,0.004111
159,1,0.600547,0.004394
160,1,0.596958,0.004654
161,1,0.593384,0.004888
162,1,0.589826,0.005094
163,1,0.586286,0.005271
164,1,0.582762,0.005420
165,1,0.579257,0.005542
166,1,0.575770,0.005639
167,1,0.572302,0.005712
168,1,0.568854,0.005764
169,1,0.565426,0.005796
170,1,0.562018,0.005810
171,1,0.558630,0.005809
172,1,0.555264,0.005794
173,1,0.551918,0.005767
174,1,0.548595,0.005730
