episode,is_optimal,expected,unexpected
0,0,0.693247,0.000000
1,1,0.696319,0.000000
2,1,0.699777,0.000000
3,1,0.702787,0.000020
4,0,0.705375,0.000016
5,0,0.709189,0.000013
6,0,0.712524,0.000010
7,0,0.715408,0.000008
8,1,0.717869,0.000007
9,0,0.721632,0.000005
10,0,0.724094,0.000075
11,1,0.726152,0.000060
12,0,0.730207,0.000076
13,1,0.732290,0.000060
14,0,0.736222,0.000048
15,1,0.738327,0.000039
16,0,0.742141,0.000031
17,1,0.744262,0.000025
18,0,0.747965,0.000020
19,0,0.750098,0.000102
20,1,0.751825,0.000081
21,1,0.755816,0.000065
22,0,0.759274,0.000052
23,1,0.761453,0.000042
24,0,0.764815,0.000033
25,0,0.766992,0.000075
26,0,0.768746,0.000236
27,1,0.770101,0.000189
28,1,0.774176,0.000151
29,0,0.777694,0.000121
30,1,0.779525,0.000097
31,0,0.782932,0.000077
32,1,0.784777,0.000062
33,1,0.788077,0.000050
34,0,0.790859,0.000040
35,1,0.793139,0.000032
36,1,0.795858,0.000025
37,1,0.798090,0.000032
38,0,0.799867,0.000026
39,0,0.802964,0.000021
40,1,0.805544,0.000016
41,0,0.807757,0.000013
42,0,0.810279,0.000011
43,1,0.812314,0.000008
44,1,0.814926,0.000007
45,1,0.817040,0.000044
46,1,0.818688,0.000173
47,0,0.819901,0.000139
48,0,0.823201,0.000111
49,1,0.825950,0.000089
50,1,0.827638,0.000164
51,1,0.828880,0.000343
52,1,0.829703,0.000622
53,1,0.830134,0.000993
54,0,0.830200,0.000966
55,1,0.834551,0.001101
56,1,0.834725,0.001372
57,1,0.834544,0.001756
58,1,0.834034,0.002229
59,1,0.833215,0.002770
60,0,0.832108,0.002624
61,0,0.837849,0.002099
62,1,0.842851,0.001892
63,1,0.842377,0.001937
64,1,0.841585,0.002177
65,1,0.840497,0.002562
66,1,0.839131,0.003053
67,1,0.837507,0.003618
68,1,0.835643,0.004228
69,1,0.833555,0.004863
70,1,0.831258,0.005506
71,0,0.828767,0.005062
72,0,0.836524,0.004049
73,0,0.843399,0.003240
74,0,0.849448,0.002592
75,1,0.854723,0.002073
76,1,0.853839,0.001659
77,1,0.852653,0.001372
78,1,0.851186,0.001417
79,1,0.849457,0.001706
80,1,0.847485,0.002168
81,0,0.845286,0.001795
82,1,0.852194,0.001779
83,1,0.850231,0.002023
84,1,0.848038,0.002452
85,0,0.845632,0.002005
86,1,0.852831,0.001938
87,1,0.850671,0.002148
88,0,0.848293,0.001718
89,0,0.855382,0.001375
90,1,0.861617,0.001100
91,1,0.859937,0.000880
92,1,0.858002,0.000991
93,0,0.855829,0.000793
94,0,0.862435,0.000634
95,1,0.868212,0.000507
96,1,0.866730,0.000406
97,1,0.864974,0.000500
98,1,0.862963,0.000851
99,1,0.860715,0.001381
100,0,0.858247,0.001105
101,1,0.865211,0.001135
102,1,0.862989,0.001432
103,1,0.860543,0.001915
104,1,0.857889,0.002524
105,1,0.855043,0.003211
106,0,0.852019,0.002803
107,1,0.859981,0.002760
108,0,0.857230,0.002208
109,1,0.864635,0.001826
110,1,0.862144,0.001823
111,1,0.859447,0.002091
112,0,0.856559,0.001673
113,1,0.864188,0.001462
114,1,0.861567,0.001591
115,1,0.858748,0.001961
116,1,0.855746,0.002496
117,1,0.852574,0.003134
118,1,0.849246,0.003832
119,1,0.845773,0.004554
120,1,0.842166,0.005275
121,1,0.838437,0.005977
122,0,0.834595,0.005229
123,1,0.844409,0.004899
124,0,0.840873,0.003920
125,0,0.849974,0.003136
126,0,0.858077,0.002509
