episode,is_optimal,expected,unexpected
0,0,0.693247,0.000000
1,0,0.696319,0.000047
2,0,0.698972,0.000167
3,0,0.701229,0.000371
4,0,0.703113,0.000662
5,1,0.704646,0.000603
6,1,0.709603,0.000482
7,0,0.714007,0.000397
8,1,0.716014,0.000317
9,1,0.720277,0.000254
10,1,0.724023,0.000203
11,1,0.727281,0.000162
12,0,0.730080,0.000130
13,0,0.733323,0.000104
14,1,0.736103,0.000083
15,1,0.739274,0.000067
16,0,0.741981,0.000053
17,1,0.745132,0.000043
18,1,0.747810,0.000034
19,1,0.750049,0.000100
20,0,0.751875,0.000080
21,1,0.755760,0.000102
22,1,0.757615,0.000248
23,0,0.759074,0.000199
24,1,0.763229,0.000261
25,1,0.764739,0.000455
26,1,0.765870,0.000766
27,0,0.766645,0.000703
28,0,0.771430,0.000563
29,1,0.775613,0.000490
30,1,0.776906,0.000592
31,1,0.777824,0.000842
32,1,0.778390,0.001215
33,0,0.778626,0.001117
34,0,0.783820,0.000893
35,1,0.788372,0.000776
36,1,0.789161,0.000868
37,1,0.789595,0.001130
38,0,0.789699,0.000954
39,0,0.794835,0.000763
40,1,0.799321,0.000611
41,0,0.799985,0.000489
42,0,0.804267,0.000391
43,1,0.807948,0.000313
44,0,0.809134,0.000250
45,1,0.812670,0.000200
46,1,0.813899,0.000160
47,0,0.814723,0.000128
48,1,0.818539,0.000102
49,1,0.819428,0.000220
50,1,0.819930,0.000489
51,0,0.820071,0.000396
52,0,0.824547,0.000317
53,0,0.828389,0.000254
54,0,0.831636,0.000203
55,0,0.834325,0.000162
56,1,0.836494,0.000130
57,1,0.838524,0.000104
58,1,0.840073,0.000083
59,0,0.841173,0.000067
60,0,0.844169,0.000053
61,1,0.846614,0.000043
62,0,0.848194,0.000034
63,0,0.850564,0.000027
64,0,0.852420,0.000022
65,1,0.853793,0.000017
66,0,0.856257,0.000014
67,1,0.857633,0.000011
68,0,0.860016,0.000009
69,0,0.861393,0.000075
70,1,0.862312,0.000060
71,1,0.865061,0.000048
72,1,0.867254,0.000038
73,0,0.868927,0.000031
74,0,0.870790,0.000024
75,1,0.872152,0.000020
76,1,0.874250,0.000016
77,0,0.875828,0.000013
78,1,0.877641,0.000010
79,1,0.879193,0.000046
80,1,0.880258,0.000169
81,0,0.880868,0.000139
82,1,0.883542,0.000207
83,0,0.884195,0.000166
84,1,0.886751,0.000201
85,1,0.887442,0.000344
86,0,0.887697,0.000290
87,0,0.890594,0.000232
88,0,0.892898,0.000185
89,0,0.894649,0.000148
90,1,0.895884,0.000119
91,0,0.897606,0.000095
92,0,0.898829,0.000111
93,0,0.899567,0.000227
94,1,0.899854,0.000182
95,0,0.902445,0.000243
96,0,0.902787,0.000416
97,1,0.902702,0.000361
98,1,0.905624,0.000289
99,1,0.907935,0.000231
100,1,0.909678,0.000185
101,1,0.910889,0.000148
102,0,0.911605,0.000118
103,0,0.913494,0.000095
104,0,0.914838,0.000076
105,1,0.915674,0.000061
106,1,0.917354,0.000048
107,0,0.918499,0.000039
108,0,0.919816,0.000031
109,1,0.920621,0.000025
110,1,0.922221,0.000020
111,0,0.923286,0.000016
112,0,0.924574,0.000020
113,0,0.925347,0.000103
114,1,0.925641,0.000082
115,1,0.927637,0.000066
116,1,0.929067,0.000053
117,0,0.929967,0.000042
118,0,0.931264,0.000034
119,0,0.932039,0.000101
120,1,0.932328,0.000081
121,0,0.934175,0.000119
122,1,0.934500,0.000096
123,1,0.936261,0.000076
124,1,0.937462,0.000061
125,0,0.938142,0.000049
126,1,0.939467,0.000039
127,1,0.940149,0.000104
128,1,0.940344,0.000260
129,0,0.940086,0.000231
130,1,0.942315,0.000311
131,1,0.942128,0.000499
132,1,0.941511,0.000790
133,1,0.940496,0.001173
134,0,0.939109,0.001134
135,0,0.942609,0.000907
136,0,0.945416,0.000726
137,1,0.947579,0.000580
138,0,0.947334,0.000464
139,1,0.949376,0.000372
140,1,0.949197,0.000396
141,1,0.948582,0.000569
142,1,0.947560,0.000868
143,0,0.946162,0.000788
144,1,0.949496,0.000893
145,0,0.948245,0.000714
146,0,0.951358,0.000572
147,1,0.953797,0.000457
148,0,0.953182,0.000366
149,1,0.955472,0.000293
150,0,0.954946,0.000234
151,0,0.957097,0.000187
152,0,0.958639,0.000150
153,1,0.959614,0.000120
154,1,0.960164,0.000096
155,0,0.960216,0.000077
156,1,0.961645,0.000061
157,0,0.961733,0.000049
158,1,0.963089,0.000039
159,1,0.963209,0.000077
160,0,0.962858,0.000061
161,1,0.964633,0.000077
162,1,0.964346,0.000214
163,0,0.963616,0.000171
164,1,0.965771,0.000238
165,1,0.965131,0.000431
166,1,0.964072,0.000738
167,1,0.962622,0.001142
168,1,0.960809,0.001627
169,0,0.958661,0.001574
170,1,0.962556,0.001714
171,1,0.960598,0.002007
172,1,0.958315,0.002418
173,1,0.955730,0.002918
174,1,0.952865,0.003480
175,1,0.949742,0.004084
176,0,0.946380,0.003814
177,1,0.952189,0.003812
178,1,0.949095,0.004009
179,1,0.945760,0.004349
180,0,0.942203,0.003837
181,0,0.948408,0.003070
182,1,0.953712,0.002530
183,1,0.950927,0.002367
184,1,0.947880,0.002484
185,0,0.944590,0.001988
186,1,0.950350,0.001808
187,1,0.947325,0.001926
188,0,0.944057,0.001541
189,1,0.949803,0.001367
190,1,0.946798,0.001500
191,0,0.943549,0.001200
192,1,0.949284,0.001039
193,1,0.946297,0.001190
194,0,0.943065,0.000952
195,1,0.948790,0.000805
196,0,0.945819,0.000644
197,0,0.951111,0.000515
198,1,0.955569,0.000412
199,1,0.953342,0.000330
200,1,0.950814,0.000364
201,1,0.948007,0.000662
202,1,0.944942,0.001150
203,1,0.941639,0.001767
204,1,0.938115,0.002468
205,1,0.934388,0.003215
206,1,0.930473,0.003982
207,0,0.926387,0.003615
208,1,0.933849,0.003581
209,0,0.930071,0.002864
210,1,0.936954,0.002484
211,1,0.933470,0.002464
212,1,0.929784,0.002706
213,1,0.925912,0.003128
214,0,0.921869,0.002534
215,1,0.929401,0.002366
216,1,0.925666,0.002507
217,1,0.921751,0.002866
