window_end_episode,mean_reward_rate,std_reward_rate
50,51.600000,5.678028
100,56.000000,7.211103
150,59.500000,7.559762
200,61.800000,7.922121
250,69.800000,6.321392
300,72.000000,5.585696
350,74.600000,6.200000
400,76.200000,4.467662
450,80.600000,4.694678
500,84.200000,4.600000
550,87.800000,4.556314
600,85.400000,4.608687
650,87.700000,4.112177
700,88.100000,3.871692
750,93.100000,3.254228
800,93.000000,4.711688
850,94.800000,2.638181
900,95.600000,2.576820
950,96.500000,2.085665
1000,94.500000,2.673948
1050,96.600000,2.009975
1100,96.700000,2.123676
1150,97.400000,2.107131
1200,97.100000,2.046949
1250,97.900000,2.142429
1300,98.200000,1.661325
1350,98.300000,1.584298
1400,98.500000,1.396424
1450,98.500000,1.884144
1500,99.000000,1.183216
1550,99.200000,1.326650
1600,98.800000,1.469694
1650,99.000000,1.341641
1700,99.100000,1.178983
1750,98.700000,1.926136
1800,99.000000,1.483240
1850,99.600000,0.800000
1900,99.700000,0.714143
1950,99.700000,0.953939
2000,99.700000,0.714143
2050,99.400000,1.113553
2100,99.300000,0.953939
2150,99.500000,1.072381
2200,99.500000,1.396424
2250,99.600000,0.800000
2300,99.600000,0.800000
2350,99.800000,0.600000
2400,99.700000,0.714143
2450,99.700000,0.714143
2500,99.900000,0.435890
2550,99.600000,0.800000
2600,99.800000,0.600000
2650,99.800000,0.600000
2700,99.700000,0.714143
2750,99.600000,0.800000
2800,99.600000,0.800000
2850,99.900000,0.435890
2900,99.900000,0.435890
2950,99.900000,0.435890
3000,99.900000,0.435890
3050,99.900000,0.435890
3100,99.700000,0.714143
3150,99.800000,0.600000
3200,99.900000,0.435890
3250,99.800000,0.600000
3300,99.800000,0.600000
3350,99.700000,0.714143
3400,99.700000,0.714143
3450,100.000000,0.000000
3500,99.900000,0.435890
3550,99.800000,0.600000
3600,99.900000,0.435890
3650,99.900000,0.435890
3700,99.700000,0.714143
3750,100.000000,0.000000
3800,100.000000,0.000000
3850,99.700000,0.714143
3900,99.900000,0.435890
3950,99.800000,0.600000
4000,99.900000,0.435890
4050,100.000000,0.000000
4100,99.900000,0.435890
4150,99.800000,0.600000
4200,100.000000,0.000000
4250,99.900000,0.435890
4300,99.900000,0.435890
4350,99.800000,0.600000
4400,99.800000,0.600000
4450,100.000000,0.000000
4500,100.000000,0.000000
4550,99.700000,0.953939
4600,100.000000,0.000000
4650,99.900000,0.435890
4700,100.000000,0.000000
4750,99.800000,0.600000
4800,99.900000,0.435890
4850,99.900000,0.435890
4900,99.700000,0.953939
4950,99.900000,0.435890
5000,99.900000,0.435890
5050,99.800000,0.600000
5100,99.800000,0.600000
5150,100.000000,0.000000
5200,100.000000,0.000000
5250,99.700000,0.953939
5300,100.000000,0.000000
5350,99.900000,0.435890
5400,99.700000,0.714143
5450,99.900000,0.435890
5500,99.800000,0.600000
5550,99.600000,0.800000
5600,99.900000,0.435890
5650,99.800000,0.600000
5700,100.000000,0.000000
5750,99.800000,0.600000
5800,99.700000,0.714143
5850,100.000000,0.000000
5900,100.000000,0.000000
5950,99.900000,0.435890
6000,100.000000,0.000000
6050,99.900000,0.435890
6100,99.900000,0.435890
6150,100.000000,0.000000
6200,99.800000,0.600000
6250,99.900000,0.435890
6300,100.000000,0.000000
6350,99.900000,0.435890
6400,99.800000,0.600000
6450,100.000000,0.000000
6500,99.800000,0.600000
6550,100.000000,0.000000
6600,99.900000,0.435890
6650,99.900000,0.435890
6700,100.000000,0.000000
6750,99.900000,0.435890
