episode,is_optimal,expected,unexpected
0,1,0.008326,0.000000
1,1,0.016587,0.000047
2,1,0.024782,0.000167
3,1,0.032908,0.000371
4,0,0.040964,0.000310
5,0,0.048967,0.000248
6,0,0.056914,0.000198
7,0,0.064803,0.000159
8,1,0.072631,0.000127
9,0,0.080399,0.000102
10,0,0.088107,0.000081
11,1,0.095754,0.000065
12,0,0.103344,0.000052
13,1,0.110874,0.000042
14,0,0.118348,0.000033
15,1,0.125763,0.000027
16,1,0.133122,0.000021
17,1,0.140425,0.000017
18,0,0.147668,0.000014
19,0,0.154859,0.000011
20,1,0.161994,0.000009
21,1,0.169073,0.000007
22,0,0.176096,0.000006
23,1,0.183067,0.000004
24,0,0.189981,0.000004
25,0,0.196844,0.000003
26,0,0.203654,0.000002
27,0,0.210409,0.000084
28,1,0.217106,0.000067
29,0,0.223756,0.000108
30,1,0.230349,0.000086
31,1,0.236897,0.000069
32,1,0.243395,0.000055
33,1,0.249842,0.000049
34,0,0.256235,0.000040
35,1,0.262582,0.000033
36,1,0.268876,0.000123
37,1,0.275116,0.000316
38,0,0.281300,0.000281
39,0,0.287443,0.000225
40,0,0.293543,0.000180
41,0,0.299597,0.000144
42,0,0.305603,0.000115
43,1,0.311559,0.000092
44,1,0.317471,0.000074
45,1,0.323337,0.000059
46,1,0.329155,0.000107
47,0,0.334922,0.000086
48,0,0.340649,0.000069
49,0,0.346332,0.000055
50,1,0.351970,0.000044
51,1,0.357564,0.000035
52,1,0.363112,0.000089
53,0,0.368613,0.000071
54,0,0.374073,0.000057
55,1,0.379492,0.000045
56,1,0.384867,0.000085
57,1,0.390196,0.000218
58,1,0.395476,0.000450
59,1,0.400706,0.000775
60,1,0.405885,0.001185
61,0,0.411011,0.001159
62,1,0.416109,0.001300
63,1,0.421156,0.001579
64,1,0.426150,0.001970
65,0,0.431090,0.001829
66,1,0.436008,0.001905
67,1,0.440873,0.002152
68,0,0.445684,0.001885
69,1,0.450475,0.001877
70,1,0.455213,0.002071
71,0,0.459899,0.001750
72,0,0.464566,0.001400
73,0,0.469210,0.001120
74,0,0.473829,0.000896
75,1,0.478418,0.000717
76,1,0.482964,0.000573
77,1,0.487465,0.000497
78,1,0.491919,0.000638
79,1,0.496326,0.000952
80,0,0.500682,0.000791
81,1,0.505021,0.000874
82,1,0.509312,0.001149
83,1,0.513554,0.001570
84,1,0.517745,0.002098
85,0,0.521886,0.001928
86,0,0.526015,0.001542
87,1,0.530130,0.001310
88,0,0.534197,0.001048
89,0,0.538249,0.000838
90,1,0.542281,0.000671
91,1,0.546270,0.000537
92,0,0.550215,0.000429
93,0,0.554143,0.000343
94,0,0.558050,0.000275
95,1,0.561932,0.000220
96,1,0.565777,0.000176
97,1,0.569583,0.000141
98,0,0.573349,0.000113
99,1,0.577095,0.000090
100,0,0.580802,0.000072
101,1,0.584490,0.000058
102,1,0.588139,0.000163
103,1,0.591748,0.000441
