episode,is_optimal,expected,unexpected
0,0,0.693247,0.000000
1,1,0.696319,0.000000
2,0,0.699777,0.000000
3,1,0.702819,0.000000
4,1,0.706217,0.000000
5,0,0.709165,0.000000
6,1,0.712567,0.000000
7,1,0.715487,0.000000
8,1,0.717981,0.000092
9,1,0.720074,0.000287
10,0,0.721788,0.000229
11,1,0.726279,0.000305
12,0,0.728045,0.000244
13,0,0.732382,0.000195
14,0,0.736184,0.000156
15,1,0.739484,0.000125
16,1,0.742110,0.000100
17,1,0.744304,0.000145
18,0,0.746093,0.000116
19,1,0.750113,0.000121
20,1,0.751937,0.000260
21,1,0.753372,0.000521
22,1,0.754444,0.000889
23,1,0.755172,0.001346
24,1,0.755580,0.001875
25,1,0.755686,0.002458
26,1,0.755509,0.003081
27,0,0.755067,0.002935
28,1,0.761577,0.003020
29,1,0.761306,0.003279
30,1,0.760770,0.003667
31,0,0.759987,0.003281
32,1,0.766859,0.003202
33,1,0.766264,0.003354
34,1,0.765420,0.003673
35,1,0.764345,0.004111
36,1,0.763052,0.004628
37,1,0.761557,0.005194
38,0,0.759871,0.004683
39,1,0.768056,0.004515
40,0,0.766602,0.003612
41,1,0.774289,0.003159
42,1,0.773054,0.003068
43,0,0.771605,0.002454
44,1,0.779175,0.002069
45,1,0.777944,0.002050
46,1,0.776494,0.002297
47,1,0.774842,0.002729
48,1,0.772999,0.003285
49,1,0.770979,0.003918
50,1,0.768793,0.004590
51,1,0.766453,0.005274
52,0,0.763969,0.004642
53,1,0.773342,0.004405
54,1,0.771122,0.004454
55,1,0.768748,0.004704
56,1,0.766231,0.005088
57,0,0.763581,0.004199
58,1,0.773249,0.003795
59,1,0.770868,0.003742
60,0,0.768342,0.002994
61,0,0.777678,0.002395
62,1,0.786088,0.001916
63,1,0.784238,0.001533
64,1,0.782204,0.001293
65,1,0.779997,0.001417
66,1,0.777629,0.001796
67,1,0.775111,0.002345
68,1,0.772454,0.003000
69,0,0.769667,0.002400
70,1,0.779417,0.002192
71,1,0.776905,0.002319
72,0,0.774251,0.001855
73,1,0.783656,0.001484
74,1,0.781271,0.001418
75,1,0.778734,0.001664
76,1,0.776057,0.002123
77,0,0.773250,0.001699
78,1,0.782945,0.001384
79,1,0.780411,0.001457
80,1,0.777735,0.001800
81,1,0.774928,0.002325
82,0,0.771998,0.001860
83,1,0.781940,0.001548
84,1,0.779288,0.001620
85,1,0.776502,0.001959
86,1,0.773591,0.002475
87,1,0.770565,0.003102
88,1,0.767433,0.003788
89,1,0.764201,0.004496
90,1,0.760879,0.005198
91,1,0.757473,0.005876
92,1,0.753990,0.006515
93,1,0.750437,0.007107
94,1,0.746820,0.007646
95,1,0.743144,0.008131
96,1,0.739414,0.008560
97,1,0.735637,0.008934
98,1,0.731816,0.009256
99,1,0.727957,0.009528
100,1,0.724062,0.009752
101,1,0.720138,0.009933
102,1,0.716186,0.010073
103,1,0.712211,0.010177
104,1,0.708217,0.010246
105,1,0.704205,0.010285
106,1,0.700180,0.010297
107,1,0.696144,0.010284
108,1,0.692099,0.010249
109,1,0.688049,0.010195
110,1,0.683994,0.010124
111,1,0.679939,0.010039
112,1,0.675884,0.009941
113,1,0.671832,0.009831
114,1,0.667784,0.009713
115,1,0.663742,0.009586
116,1,0.659708,0.009453
117,0,0.655683,0.007563
118,1,0.671520,0.006050
119,1,0.667738,0.004840
120,1,0.663950,0.004071
121,1,0.660156,0.003661
122,1,0.656360,0.003509
123,1,0.652564,0.003537
124,1,0.648768,0.003685
125,1,0.644976,0.003909
126,1,0.641188,0.004176
