window_end_episode,mean_reward_rate,std_reward_rate
50,35.300000,10.435995
100,51.000000,12.704330
150,75.000000,16.180235
200,90.500000,9.815804
250,96.900000,3.374907
300,98.000000,3.224903
350,98.300000,2.215852
400,99.100000,1.479865
450,98.800000,1.833030
500,99.200000,1.600000
550,98.600000,1.907878
600,99.000000,1.341641
650,99.300000,0.953939
700,98.600000,2.200000
750,98.900000,2.046949
800,98.200000,3.280244
850,98.100000,3.604164
900,99.700000,0.714143
950,98.900000,2.233831
1000,99.400000,0.916515
1050,99.000000,1.732051
1100,98.500000,2.085665
1150,99.100000,1.946792
1200,98.500000,2.179449
1250,98.800000,2.315167
1300,99.200000,1.720465
1350,98.700000,1.926136
1400,99.000000,1.732051
1450,99.200000,1.469694
1500,99.300000,1.307670
1550,99.000000,1.612452
1600,99.300000,1.144552
1650,99.100000,1.946792
1700,99.500000,0.866025
1750,99.400000,1.800000
1800,99.200000,1.833030
1850,99.200000,1.939072
1900,98.300000,3.179623
1950,99.100000,1.479865
2000,99.000000,1.483240
2050,98.900000,2.046949
2100,98.400000,3.006659
2150,98.500000,3.278719
2200,98.800000,2.315167
2250,97.600000,7.552483
2300,98.000000,6.572671
2350,97.000000,9.088454
2400,97.500000,9.118662
2450,95.900000,13.834377
2500,96.300000,11.300885
2550,96.700000,9.618212
2600,97.200000,10.419213
2650,95.800000,9.734475
2700,95.900000,13.438378
2750,94.400000,15.704776
2800,94.600000,13.987137
2850,93.100000,17.714119
2900,91.300000,19.445051
2950,91.500000,19.213277
3000,90.800000,20.884444
3050,91.500000,19.482043
3100,91.100000,20.721728
3150,92.000000,18.242807
3200,91.000000,21.019039
3250,90.300000,22.559034
3300,90.800000,21.311030
3350,89.400000,23.665164
3400,92.300000,18.517829
3450,91.300000,19.269406
3500,91.800000,19.686544
3550,92.500000,16.910056
3600,90.600000,20.631045
3650,90.000000,20.552372
3700,88.900000,22.013405
3750,89.400000,19.246818
3800,90.400000,17.431007
3850,90.400000,16.906803
3900,88.200000,19.928874
3950,88.700000,18.785899
4000,85.900000,22.921387
4050,85.600000,22.694493
4100,86.300000,21.902283
4150,83.600000,25.562472
4200,83.600000,25.271328
4250,83.900000,25.135433
4300,84.200000,24.559316
4350,84.000000,24.987997
4400,84.800000,23.726778
4450,82.700000,26.692883
4500,83.400000,25.838731
4550,82.100000,27.469802
4600,82.300000,27.431916
4650,82.300000,27.758062
4700,82.000000,27.371518
4750,84.700000,23.514038
4800,84.200000,25.218247
4850,86.100000,22.355984
4900,86.000000,24.008332
4950,85.700000,24.357956
5000,85.300000,25.347781
5050,84.500000,26.816972
5100,83.700000,27.035347
5150,82.800000,28.742999
5200,88.200000,19.584688
5250,88.100000,20.074611
5300,88.600000,22.028164
5350,90.900000,17.916194
5400,88.500000,21.193159
5450,88.500000,21.511625
5500,90.100000,18.798670
5550,90.600000,16.936351
5600,90.500000,18.383416
5650,88.800000,18.893385
5700,89.800000,17.422973
5750,88.700000,19.882404
5800,87.500000,20.463382
5850,88.400000,20.587375
5900,87.600000,21.369137
5950,87.200000,22.238705
6000,85.400000,23.639797
6050,87.300000,20.152171
6100,84.700000,22.621008
6150,85.100000,22.122161
6200,84.300000,22.452394
6250,84.500000,22.035199
6300,83.000000,24.054106
6350,83.000000,24.839485
6400,81.900000,26.694381
6450,81.200000,27.418242
6500,81.900000,24.991799
6550,84.000000,22.706827
6600,82.500000,25.018993
6650,81.500000,25.082863
6700,82.600000,23.867132
6750,82.400000,23.104978
6800,81.300000,24.716594
6850,79.700000,26.429340
6900,81.000000,24.758837
6950,80.100000,26.962752
7000,81.500000,24.485710
7050,80.200000,26.175561
7100,79.600000,26.446928
7150,80.800000,24.260256
7200,78.000000,27.378824
7250,78.900000,26.392991
7300,78.400000,26.112066
7350,79.000000,25.725474
7400,79.000000,25.973063
7450,77.900000,27.759503
7500,80.000000,25.495098
7550,80.800000,24.894979
7600,82.100000,23.583681
7650,81.600000,24.401639
7700,80.300000,26.519992
7750,81.700000,24.341528
7800,80.900000,25.325679
7850,80.800000,26.407575
7900,79.500000,27.061966
7950,78.400000,28.408449
8000,80.100000,26.947913
8050,81.800000,26.029983
8100,83.100000,22.790129
8150,83.800000,22.225211
8200,84.300000,22.183552
8250,83.600000,23.812602
8300,85.500000,19.056495
8350,85.200000,18.389127
8400,82.600000,22.918115
8450,83.300000,20.418374
8500,80.500000,23.940551
8550,82.200000,22.216210
8600,81.700000,22.443485
8650,79.700000,25.109958
8700,77.600000,26.287640
8750,78.100000,26.761726
8800,75.000000,27.853187
8850,78.700000,25.117922
8900,77.000000,25.810850
8950,75.500000,26.562191
9000,76.300000,25.237076
9050,70.700000,29.402551
9100,70.300000,30.745894
9150,70.100000,29.054948
9200,68.200000,30.059275
9250,69.700000,28.201241
9300,71.500000,27.032388
9350,73.100000,24.433379
9400,69.300000,27.351600
9450,68.200000,27.949240
9500,68.200000,26.764902
9550,68.100000,27.191727
9600,68.700000,27.153453
9650,70.300000,25.536445
9700,68.200000,27.002963
9750,69.000000,27.169836
9800,68.300000,27.138718
9850,70.500000,28.063321
9900,70.300000,27.599094
9950,69.200000,26.686326
10000,70.500000,26.014419
10050,67.500000,26.831884
10100,71.800000,23.081594
10150,68.900000,24.710119
10200,68.700000,25.229150
10250,67.700000,24.942133
10300,69.200000,22.049036
10350,67.900000,23.439070
10400,67.400000,25.251535
10450,68.700000,24.918066
10500,68.900000,23.233381
10550,69.700000,23.893723
10600,67.600000,24.727313
10650,68.000000,24.066574
10700,69.600000,22.773669
10750,68.000000,24.413111
10800,68.300000,22.849726
10850,65.400000,24.698988
10900,62.800000,25.317188
10950,64.500000,24.206404
11000,62.900000,25.191070
11050,62.800000,24.991198
11100,63.300000,24.366165
11150,63.600000,23.904811
11200,62.800000,24.268498
11250,60.100000,24.523254
11300,58.900000,23.507233
11350,63.100000,21.582169
11400,61.400000,21.043764
11450,58.900000,21.693086
11500,60.000000,20.199010
11550,59.200000,22.274649
11600,59.600000,22.294394
11650,62.900000,21.739135
11700,58.100000,23.112551
11750,60.100000,22.176339
11800,60.200000,21.576839
11850,62.400000,20.323386
11900,60.900000,20.952088
11950,59.900000,21.885840
12000,61.300000,21.755689
12050,58.600000,22.637138
12100,56.600000,24.364729
12150,57.700000,21.682020
12200,58.900000,21.302347
12250,57.400000,24.617880
12300,55.500000,25.042963
12350,60.900000,21.321116
12400,62.300000,20.777632
12450,58.600000,21.873271
12500,60.700000,21.130783
12550,61.700000,22.336293
12600,59.400000,22.459742
12650,62.700000,22.345246
12700,60.500000,22.994565
12750,59.800000,22.635371
12800,61.100000,22.409596
12850,59.700000,23.326166
12900,60.500000,22.341665
12950,63.400000,21.411212
13000,66.200000,20.879655
13050,65.500000,22.350615
13100,66.500000,20.482920
13150,66.200000,21.155614
13200,66.800000,19.903768
13250,64.000000,21.531372
13300,64.500000,22.564352
13350,65.100000,21.766718
13400,66.400000,19.734234
13450,64.600000,20.543612
13500,66.000000,19.411337
13550,64.100000,19.385304
13600,63.400000,17.811232
13650,60.700000,20.032723
13700,59.200000,19.518197
13750,57.100000,20.144230
13800,58.400000,18.979989
13850,53.200000,20.350921
13900,52.800000,21.655484
13950,52.700000,21.654330
14000,53.500000,21.240292
14050,52.700000,22.002500
14100,54.800000,20.301724
14150,52.900000,21.161049
14200,54.700000,20.787256
14250,54.500000,20.677282
14300,55.800000,20.551399
14350,54.200000,21.136698
14400,50.900000,22.798903
14450,53.000000,21.849485
14500,56.000000,20.909328
14550,54.000000,22.645088
14600,55.900000,21.729933
14650,56.600000,21.541588
14700,57.600000,23.104978
14750,60.300000,20.062652
14800,60.600000,21.129127
14850,60.300000,20.555048
14900,62.200000,20.531926
14950,60.900000,22.938832
15000,58.800000,20.341091
15050,16.100000,18.465915
15100,19.700000,22.718054
15150,22.100000,24.037263
15200,23.300000,24.374372
15250,28.400000,31.525228
15300,32.400000,33.006666
15350,34.000000,33.124009
15400,37.000000,35.119795
15450,40.400000,37.451836
15500,41.200000,38.726735
15550,42.700000,36.923028
15600,44.300000,38.916706
15650,46.000000,38.304047
15700,51.300000,40.339931
15750,50.900000,40.538747
15800,50.000000,39.658543
15850,49.500000,40.154078
15900,49.200000,40.246242
15950,49.400000,39.643915
16000,49.200000,39.132595
16050,49.100000,39.377532
16100,49.400000,38.812884
16150,49.900000,36.499178
16200,50.500000,37.389170
16250,48.800000,36.668242
16300,46.900000,35.278747
16350,47.300000,34.230250
16400,47.800000,33.441890
16450,48.000000,33.597619
16500,50.500000,35.467591
16550,50.900000,36.630452
16600,51.900000,35.153805
16650,51.100000,36.345426
16700,49.300000,35.351238
16750,51.500000,36.441048
16800,48.400000,34.436028
16850,48.500000,35.320674
16900,49.000000,35.102706
16950,47.100000,34.149524
17000,48.500000,33.279874
17050,46.100000,32.270575
17100,43.000000,30.805844
17150,42.800000,31.050926
17200,44.300000,31.681383
17250,42.900000,31.934151
17300,43.000000,30.440105
17350,43.400000,31.132620
17400,42.600000,31.938065
17450,42.400000,31.385347
17500,42.900000,30.928789
17550,43.400000,30.614376
17600,46.500000,32.618246
17650,43.600000,30.761014
17700,43.700000,31.223549
17750,44.700000,30.758901
17800,42.200000,30.072579
17850,42.700000,31.819962
17900,42.900000,31.282423
17950,41.400000,29.732810
18000,45.200000,30.707654
18050,44.100000,30.393914
18100,41.900000,30.518683
18150,45.600000,30.974828
18200,47.400000,30.568611
18250,47.200000,30.824665
18300,46.400000,29.465913
18350,45.200000,29.606756
18400,48.000000,29.051678
18450,48.800000,29.212326
18500,48.700000,29.921731
18550,47.400000,29.860342
18600,47.800000,31.054146
18650,48.400000,30.845421
18700,48.300000,30.933962
18750,47.100000,30.354407
18800,49.500000,30.304290
18850,43.500000,31.144020
18900,45.200000,31.870990
18950,44.700000,30.101661
19000,46.900000,30.222343
19050,47.000000,31.915513
19100,49.400000,32.391974
19150,49.600000,33.260186
19200,49.200000,33.108307
19250,50.400000,32.751183
19300,49.700000,33.765515
19350,51.700000,33.149811
19400,49.800000,32.972109
19450,49.400000,33.472974
19500,53.200000,32.008749
19550,50.200000,32.587728
19600,49.900000,33.024082
19650,50.500000,32.519994
19700,49.900000,32.981662
19750,52.900000,32.388115
19800,53.300000,31.889026
19850,54.800000,31.409553
19900,56.800000,32.768277
19950,56.300000,33.185991
20000,56.300000,32.608434
20050,56.800000,32.461670
20100,57.400000,30.292573
20150,55.600000,31.563270
20200,55.700000,32.095327
20250,56.200000,33.280024
20300,58.300000,31.769640
20350,54.000000,32.520763
20400,56.000000,31.093408
20450,56.300000,32.804116
20500,56.200000,31.021928
20550,54.500000,31.355223
20600,54.700000,31.516821
20650,54.000000,32.533060
20700,55.500000,30.521304
20750,56.000000,30.192714
20800,53.800000,29.085392
20850,56.800000,30.307755
20900,57.400000,31.081184
20950,58.000000,31.723808
21000,59.300000,31.383276
21050,59.400000,33.021811
21100,61.200000,32.021243
21150,61.600000,31.972488
21200,59.800000,32.254612
21250,60.400000,32.915650
21300,61.400000,31.793710
21350,64.100000,30.896440
21400,63.400000,30.575153
21450,60.400000,30.819474
21500,63.900000,28.771340
21550,63.200000,28.308303
21600,63.900000,27.788307
21650,61.400000,28.284978
21700,59.600000,29.069572
21750,61.300000,27.858751
21800,58.400000,29.350298
21850,55.500000,29.603209
21900,54.700000,30.333315
21950,54.300000,28.222509
22000,54.000000,27.928480
22050,53.600000,28.765257
22100,53.100000,27.781109
22150,53.400000,28.426044
22200,54.200000,28.565014
22250,52.500000,28.981891
22300,54.900000,28.294699
22350,57.000000,28.393661
22400,57.500000,28.732386
22450,59.300000,27.801259
22500,58.400000,29.158875
22550,57.300000,30.693810
22600,62.500000,27.855879
22650,62.900000,29.451486
22700,65.200000,30.122417
22750,64.500000,28.732386
22800,66.800000,28.680307
22850,69.200000,28.561513
22900,69.400000,28.475252
22950,68.600000,28.043538
23000,71.700000,26.421771
23050,71.300000,26.512450
23100,70.600000,27.517994
23150,68.900000,26.895910
23200,69.400000,27.986425
23250,69.500000,27.740764
23300,71.900000,26.355075
23350,70.000000,28.170907
23400,68.000000,28.220560
23450,66.700000,30.471462
23500,66.500000,28.801910
23550,66.600000,30.013997
23600,66.100000,29.403911
23650,69.200000,27.073234
23700,65.700000,28.208332
23750,66.000000,29.919893
23800,65.700000,30.667735
23850,64.600000,29.820127
23900,63.100000,29.614017
23950,61.600000,28.295583
24000,60.600000,29.421761
24050,61.200000,27.816542
24100,60.300000,26.909292
24150,61.500000,26.995370
24200,60.500000,27.949061
24250,58.700000,27.772468
24300,60.500000,26.824429
24350,58.000000,28.227646
24400,60.900000,26.544114
24450,60.500000,26.794589
24500,63.300000,25.855560
24550,64.200000,26.411361
24600,61.100000,27.206433
24650,61.200000,26.768638
24700,59.500000,26.995370
24750,58.600000,27.857495
24800,57.500000,28.198404
24850,59.200000,27.852468
24900,59.100000,27.257843
24950,59.600000,27.882611
25000,60.500000,26.014419
25050,59.400000,27.364941
25100,54.400000,29.377542
25150,58.400000,26.926567
25200,58.600000,27.488907
25250,58.100000,27.853007
25300,56.700000,28.665484
25350,61.700000,26.535071
25400,59.000000,28.667054
25450,64.100000,25.880301
25500,63.800000,26.824616
25550,62.700000,27.613584
25600,59.400000,28.914356
25650,62.400000,26.642823
25700,61.200000,27.065846
25750,62.500000,26.965719
25800,62.200000,28.113342
25850,65.800000,26.006922
25900,63.100000,26.828902
25950,64.100000,26.799067
26000,63.700000,26.542607
26050,61.800000,27.863237
26100,62.900000,26.544114
26150,62.900000,27.169652
26200,62.000000,27.114572
26250,61.400000,27.936356
26300,60.400000,28.548905
26350,60.900000,28.308833
26400,62.800000,26.407575
26450,62.100000,25.435998
26500,60.000000,27.025913
26550,57.000000,27.802878
26600,57.600000,28.527881
26650,60.200000,26.160275
26700,59.500000,27.194669
26750,59.300000,27.027948
