window_end_episode,mean_reward_rate,std_reward_rate
50,27.500000,5.928744
100,28.000000,6.196773
150,31.200000,8.182909
200,33.400000,6.666333
250,35.200000,7.277362
300,40.000000,8.532292
350,42.300000,8.349251
400,45.200000,7.573638
450,48.200000,7.453858
500,51.900000,8.160270
550,54.700000,9.701031
600,62.100000,7.911384
650,64.300000,6.964912
700,65.500000,9.052624
750,68.000000,8.461678
800,71.400000,9.167333
850,75.100000,7.056203
900,78.700000,6.396093
950,79.100000,5.812917
1000,84.500000,6.982120
1050,84.000000,6.752777
1100,90.400000,5.986652
1150,89.400000,3.527038
1200,91.300000,4.702127
1250,92.500000,2.889637
1300,93.400000,5.141984
1350,94.400000,3.666061
1400,94.800000,4.069398
1450,95.400000,2.690725
1500,95.800000,3.515679
1550,97.100000,2.406242
1600,95.800000,2.357965
1650,96.800000,2.785678
1700,97.100000,2.406242
1750,98.500000,1.658312
1800,98.300000,1.819341
1850,98.800000,1.720465
1900,97.600000,1.959592
1950,97.400000,2.009975
2000,98.000000,1.264911
2050,98.400000,1.624808
2100,98.200000,1.536229
2150,98.300000,1.452584
2200,98.700000,1.452584
2250,98.700000,1.452584
2300,98.400000,2.244994
2350,98.000000,2.280351
2400,98.700000,1.705872
2450,98.700000,1.452584
2500,99.000000,1.341641
2550,98.700000,2.123676
2600,98.400000,1.624808
2650,98.300000,2.123676
2700,98.500000,1.658312
2750,98.500000,1.532971
2800,98.900000,1.609348
2850,98.800000,1.720465
2900,98.300000,1.705872
2950,99.000000,1.341641
3000,98.800000,1.326650
3050,99.400000,1.113553
3100,99.300000,1.144552
3150,98.700000,1.584298
3200,99.100000,1.337909
3250,98.500000,2.085665
3300,99.000000,1.843909
3350,98.800000,1.166190
3400,98.800000,1.833030
3450,99.300000,1.144552
3500,98.800000,1.600000
3550,99.100000,1.337909
3600,99.500000,0.866025
3650,99.000000,1.732051
3700,98.500000,1.532971
3750,98.500000,1.658312
3800,99.200000,1.600000
3850,99.600000,0.800000
3900,98.700000,1.144552
3950,99.000000,1.483240
4000,99.000000,1.341641
4050,99.100000,1.479865
4100,99.200000,1.469694
4150,99.100000,1.178983
4200,99.000000,1.483240
4250,98.600000,1.685230
4300,98.900000,1.178983
4350,99.100000,1.178983
4400,99.000000,1.732051
4450,98.800000,2.227106
4500,99.000000,1.183216
4550,98.500000,2.819574
4600,99.000000,1.949359
4650,98.400000,4.029888
4700,97.700000,3.421988
4750,97.500000,3.626293
4800,98.100000,4.448595
4850,98.100000,3.659235
4900,96.800000,5.075431
4950,97.100000,5.346962
5000,96.300000,6.042351
5050,95.900000,7.469270
5100,95.200000,7.386474
