run,seed,type,late_reward,n_rows
10_classic_multiswitch,10,classic,20539.000000,60000
10_icarus_multiswitch,10,ACE,21978.000000,60000
11_classic_multiswitch,11,classic,20444.000000,60000
11_icarus_multiswitch,11,ACE,31340.000000,60000
12_classic_multiswitch,12,classic,20571.000000,60000
12_icarus_multiswitch,12,ACE,27578.000000,60000
13_classic_multiswitch,13,classic,20547.000000,60000
13_icarus_multiswitch,13,ACE,23607.000000,60000
14_classic_multiswitch,14,classic,20685.000000,60000
14_icarus_multiswitch,14,ACE,15755.000000,60000
15_classic_multiswitch,15,classic,20998.000000,60000
15_icarus_multiswitch,15,ACE,30060.000000,60000
16_classic_multiswitch,16,classic,20564.000000,60000
16_icarus_multiswitch,16,ACE,28773.000000,60000
17_classic_multiswitch,17,classic,20569.000000,60000
17_icarus_multiswitch,17,ACE,23071.000000,60000
18_classic_multiswitch,18,classic,20543.000000,60000
18_icarus_multiswitch,18,ACE,24445.000000,60000
19_classic_multiswitch,19,classic,20548.000000,60000
19_icarus_multiswitch,19,ACE,26139.000000,60000
1_classic_multiswitch,1,classic,20619.000000,60000
1_icarus_multiswitch,1,ACE,21163.000000,60000
20_classic_multiswitch,20,classic,20431.000000,60000
20_icarus_multiswitch,20,ACE,19570.000000,60000
2_classic_multiswitch,2,classic,20056.000000,60000
2_icarus_multiswitch,2,ACE,21548.000000,60000
3_classic_multiswitch,3,classic,20672.000000,60000
3_icarus_multiswitch,3,ACE,16742.000000,60000
4_classic_multiswitch,4,classic,20553.000000,60000
4_icarus_multiswitch,4,ACE,26624.000000,60000
5_classic_multiswitch,5,classic,20471.000000,60000
5_icarus_multiswitch,5,ACE,18861.000000,60000
6_classic_multiswitch,6,classic,20494.000000,60000
6_icarus_multiswitch,6,ACE,9904.000000,60000
7_classic_multiswitch,7,classic,20423.000000,60000
7_icarus_multiswitch,7,ACE,25700.000000,60000
8_classic_multiswitch,8,classic,20691.000000,60000
8_icarus_multiswitch,8,ACE,12862.000000,60000
9_classic_multiswitch,9,classic,20746.000000,60000
9_icarus_multiswitch,9,ACE,21959.000000,60000
