episode,is_optimal,expected,unexpected
0,1,0.008326,0.000000
1,0,0.016587,0.000000
2,0,0.024787,0.000000
3,1,0.032922,0.000000
4,0,0.040997,0.000000
5,1,0.049008,0.000000
6,0,0.056959,0.000000
7,1,0.064849,0.000000
8,0,0.072678,0.000000
9,0,0.080447,0.000000
10,0,0.088153,0.000080
11,1,0.095794,0.000064
12,0,0.103382,0.000086
13,0,0.110906,0.000225
14,1,0.118366,0.000180
15,0,0.125775,0.000231
16,1,0.133121,0.000185
17,0,0.140418,0.000188
18,1,0.147652,0.000151
19,0,0.154836,0.000129
20,0,0.161960,0.000248
21,1,0.169020,0.000199
22,0,0.176035,0.000240
23,1,0.182988,0.000192
24,0,0.189895,0.000190
25,0,0.196741,0.000338
26,0,0.203526,0.000616
27,1,0.210248,0.000539
28,0,0.216930,0.000643
29,0,0.223549,0.000898
30,1,0.230106,0.000767
31,1,0.236625,0.000614
32,0,0.243104,0.000492
33,0,0.249524,0.000570
34,0,0.255883,0.000814
35,1,0.262181,0.000669
36,0,0.268444,0.000741
37,0,0.274647,0.000987
38,0,0.280789,0.001373
39,0,0.286868,0.001864
40,0,0.292884,0.002432
41,0,0.298835,0.003055
42,1,0.304722,0.002876
43,0,0.310587,0.002948
44,1,0.316388,0.002437
45,0,0.322166,0.002273
46,0,0.327883,0.002372
47,1,0.333538,0.001898
48,1,0.339171,0.001518
49,0,0.344778,0.001215
50,0,0.350328,0.001102
51,1,0.355819,0.000882
52,0,0.361286,0.000705
53,1,0.366696,0.000564
54,1,0.372081,0.000451
55,0,0.377437,0.000361
56,0,0.382741,0.000289
57,1,0.387991,0.000231
58,1,0.393214,0.000185
59,0,0.398408,0.000148
60,0,0.403552,0.000118
61,0,0.408645,0.000191
62,0,0.413685,0.000472
63,0,0.418671,0.000912
64,0,0.423603,0.001468
65,0,0.428478,0.002106
66,0,0.433297,0.002796
67,0,0.438058,0.003515
68,0,0.442761,0.004244
69,0,0.447405,0.004967
70,1,0.451989,0.004604
71,0,0.456571,0.004540
72,0,0.461095,0.004696
73,0,0.465561,0.005007
74,0,0.469969,0.005424
75,0,0.474318,0.005906
76,1,0.478607,0.005214
77,1,0.482902,0.004171
78,1,0.487196,0.003337
