episode,is_optimal,expected,unexpected
0,1,0.693247,0.000000
1,1,0.696319,0.000047
2,1,0.698972,0.000167
3,1,0.701229,0.000371
4,0,0.703113,0.000310
5,0,0.707702,0.000248
6,1,0.711764,0.000198
7,0,0.714097,0.000159
8,0,0.718046,0.000127
9,0,0.721500,0.000102
10,1,0.724488,0.000081
11,0,0.727631,0.000065
12,0,0.730579,0.000052
13,0,0.733086,0.000063
14,0,0.735177,0.000195
15,0,0.736878,0.000442
16,0,0.738211,0.000790
17,0,0.739199,0.001227
18,0,0.739862,0.001737
19,0,0.740221,0.002303
20,0,0.740293,0.002911
21,0,0.740097,0.003547
22,0,0.739649,0.004197
23,1,0.738965,0.003951
24,0,0.746122,0.003960
25,1,0.745626,0.003326
26,0,0.752394,0.003064
27,0,0.752074,0.003084
28,1,0.751500,0.002477
29,0,0.758258,0.002256
30,1,0.757863,0.001805
31,1,0.764255,0.001444
32,1,0.769943,0.001155
33,1,0.774969,0.000924
34,1,0.779373,0.000739
35,1,0.783193,0.000591
36,0,0.786464,0.000473
37,1,0.788371,0.000379
38,0,0.791544,0.000303
39,1,0.793454,0.000242
40,1,0.796534,0.000194
41,1,0.799102,0.000155
42,1,0.801191,0.000124
43,0,0.802830,0.000099
44,1,0.806013,0.000079
45,1,0.807666,0.000064
46,1,0.808893,0.000118
47,0,0.809721,0.000094
48,1,0.813632,0.000103
49,1,0.814526,0.000276
50,1,0.815038,0.000587
51,1,0.815192,0.001013
52,1,0.815011,0.001528
53,0,0.814516,0.001468
54,0,0.819871,0.001174
55,1,0.824533,0.001061
56,0,0.824636,0.000849
57,0,0.829061,0.000679
58,0,0.832851,0.000543
59,1,0.836045,0.000435
60,0,0.837153,0.000348
61,1,0.840222,0.000278
62,1,0.841362,0.000223
63,0,0.842079,0.000178
64,1,0.845460,0.000142
65,1,0.846235,0.000210
66,0,0.846606,0.000168
67,1,0.850268,0.000182
68,1,0.850718,0.000359
69,0,0.850782,0.000288
70,1,0.854696,0.000355
71,1,0.854858,0.000584
72,1,0.854650,0.000944
73,0,0.854095,0.000858
74,1,0.858653,0.000977
75,1,0.858235,0.001261
76,0,0.857481,0.001088
77,1,0.862201,0.001150
78,1,0.861595,0.001398
79,0,0.860664,0.001172
80,1,0.865527,0.001204
81,1,0.864753,0.001436
82,1,0.863661,0.001821
83,1,0.862273,0.002320
84,1,0.860609,0.002898
85,1,0.858687,0.003529
86,1,0.856527,0.004189
87,1,0.854144,0.004862
88,1,0.851555,0.005531
89,0,0.848775,0.005101
90,1,0.856449,0.004980
91,1,0.853932,0.005085
92,1,0.851216,0.005352
93,1,0.848317,0.005728
94,1,0.845248,0.006175
95,0,0.842022,0.005439
96,1,0.850579,0.005106
97,0,0.847636,0.004084
98,1,0.855590,0.003447
99,1,0.852918,0.003229
100,1,0.850058,0.003316
101,1,0.847025,0.003618
102,1,0.843831,0.004065
103,1,0.840488,0.004603
104,1,0.837007,0.005193
105,1,0.833400,0.005804
106,1,0.829677,0.006413
107,1,0.825846,0.007002
108,1,0.821918,0.007562
109,1,0.817899,0.008083
110,1,0.813799,0.008561
111,1,0.809625,0.008993
112,1,0.805383,0.009378
113,1,0.801080,0.009716
114,1,0.796722,0.010008
115,1,0.792316,0.010255
116,1,0.787866,0.010461
117,1,0.783378,0.010627
118,1,0.778856,0.010757
119,1,0.774305,0.010852
120,1,0.769730,0.010916
121,1,0.765133,0.010951
122,1,0.760520,0.010961
123,1,0.755894,0.010946
124,1,0.751257,0.010911
125,1,0.746613,0.010856
126,1,0.741965,0.010785
127,1,0.737315,0.010699
128,1,0.732667,0.010599
129,1,0.728022,0.010489
130,1,0.723383,0.010368
131,1,0.718751,0.010239
132,1,0.714130,0.010103
133,1,0.709520,0.009961
134,1,0.704923,0.009814
135,1,0.700341,0.009663
136,1,0.695776,0.009509
137,1,0.691228,0.009353
138,1,0.686699,0.009195
139,1,0.682191,0.009036
140,1,0.677704,0.008876
141,1,0.673239,0.008717
142,1,0.668797,0.008558
143,1,0.664380,0.008400
144,1,0.659988,0.008243
145,1,0.655621,0.008087
146,1,0.651281,0.007933
147,1,0.646968,0.007782
148,1,0.642682,0.007632
149,1,0.638425,0.007484
150,1,0.634196,0.007339
151,1,0.629996,0.007197
152,1,0.625825,0.007056
153,1,0.621684,0.006919
154,1,0.617573,0.006784
155,1,0.613493,0.006652
156,1,0.609443,0.006523
157,1,0.605423,0.006397
158,1,0.601435,0.006273
159,1,0.597477,0.006152
160,1,0.593551,0.006034
161,1,0.589656,0.005918
162,1,0.585792,0.005806
163,1,0.581960,0.005695
164,1,0.578159,0.005588
165,1,0.574389,0.005483
166,1,0.570650,0.005380
167,1,0.566943,0.005280
168,1,0.563267,0.005183
169,1,0.559622,0.005088
170,1,0.556009,0.004995
171,1,0.552426,0.004904
172,1,0.548874,0.004816
173,1,0.545353,0.004730
174,1,0.541863,0.004646
175,1,0.538403,0.004564
176,1,0.534974,0.004484
177,1,0.531574,0.004406
178,1,0.528205,0.004330
179,1,0.524866,0.004256
180,1,0.521556,0.004183
181,1,0.518276,0.004113
182,1,0.515026,0.004044
183,1,0.511804,0.003976
184,1,0.508611,0.003911
185,1,0.505447,0.003847
186,1,0.502312,0.003784
187,1,0.499205,0.003723
188,1,0.496126,0.003663
189,1,0.493075,0.003605
190,1,0.490051,0.003548
191,1,0.487055,0.003493
192,1,0.484087,0.003438
193,1,0.481145,0.003385
194,1,0.478230,0.003333
195,1,0.475341,0.003283
196,1,0.472479,0.003233
197,1,0.469643,0.003185
198,1,0.466832,0.003138
199,1,0.464047,0.003091
200,1,0.461288,0.003046
201,1,0.458554,0.003002
202,1,0.455844,0.002958
203,1,0.453159,0.002916
204,1,0.450499,0.002875
205,1,0.447862,0.002834
206,1,0.445250,0.002794
207,1,0.442662,0.002756
208,1,0.440096,0.002718
209,1,0.437555,0.002680
210,1,0.435036,0.002644
211,1,0.432540,0.002608
212,1,0.430066,0.002573
213,1,0.427615,0.002539
214,1,0.425186,0.002505
215,1,0.422779,0.002472
216,1,0.420393,0.002440
217,1,0.418029,0.002408
218,1,0.415686,0.002377
219,1,0.413364,0.002347
220,1,0.411063,0.002317
221,1,0.408783,0.002288
222,1,0.406522,0.002259
223,1,0.404282,0.002231
224,1,0.402062,0.002203
225,1,0.399862,0.002176
226,1,0.397681,0.002149
227,1,0.395519,0.002123
228,1,0.393377,0.002098
229,1,0.391253,0.002072
230,1,0.389148,0.002048
231,1,0.387062,0.002023
232,1,0.384994,0.002000
233,1,0.382944,0.001976
234,1,0.380911,0.001953
235,1,0.378897,0.001931
236,1,0.376900,0.001908
237,1,0.374921,0.001887
238,1,0.372958,0.001865
239,1,0.371013,0.001844
240,1,0.369084,0.001823
241,1,0.367173,0.001803
242,1,0.365277,0.001783
243,1,0.363398,0.001763
244,1,0.361535,0.001744
245,1,0.359688,0.001725
246,1,0.357856,0.001706
247,1,0.356040,0.001688
248,1,0.354240,0.001670
249,1,0.352454,0.001652
250,1,0.350684,0.001634
251,1,0.348929,0.001617
252,1,0.347189,0.001600
253,1,0.345463,0.001583
254,1,0.343751,0.001567
255,1,0.342054,0.001551
256,1,0.340371,0.001535
257,1,0.338702,0.001519
258,1,0.337047,0.001504
259,1,0.335406,0.001489
260,1,0.333778,0.001474
261,1,0.332164,0.001459
262,1,0.330562,0.001444
263,1,0.328974,0.001430
264,1,0.327399,0.001416
265,1,0.325837,0.001402
266,1,0.324287,0.001388
267,1,0.322751,0.001375
268,1,0.321226,0.001362
269,1,0.319714,0.001349
270,1,0.318214,0.001336
271,1,0.316726,0.001323
272,1,0.315250,0.001310
273,1,0.313786,0.001298
274,1,0.312333,0.001286
275,1,0.310892,0.001274
276,1,0.309463,0.001262
277,1,0.308044,0.001250
278,1,0.306637,0.001239
279,1,0.305241,0.001228
280,1,0.303856,0.001216
281,1,0.302482,0.001205
282,1,0.301119,0.001194
283,1,0.299766,0.001184
284,1,0.298424,0.001173
285,1,0.297092,0.001163
286,1,0.295771,0.001152
287,1,0.294459,0.001142
288,1,0.293158,0.001132
289,1,0.291867,0.001122
290,1,0.290586,0.001112
291,1,0.289314,0.001103
292,1,0.288052,0.001093
293,1,0.286800,0.001084
294,1,0.285557,0.001075
295,1,0.284324,0.001065
296,1,0.283100,0.001056
297,1,0.281885,0.001047
298,1,0.280680,0.001039
299,1,0.279483,0.001030
300,1,0.278295,0.001021
301,1,0.277116,0.001013
302,1,0.275946,0.001005
303,1,0.274784,0.000996
304,1,0.273632,0.000988
305,1,0.272487,0.000980
306,1,0.271351,0.000972
307,1,0.270224,0.000964
308,1,0.269104,0.000956
309,1,0.267993,0.000949
310,1,0.266890,0.000941
311,1,0.265794,0.000934
312,1,0.264707,0.000926
313,1,0.263628,0.000919
314,1,0.262556,0.000912
315,1,0.261492,0.000905
316,1,0.260436,0.000897
317,1,0.259387,0.000890
318,1,0.258346,0.000884
319,1,0.257312,0.000877
320,1,0.256285,0.000870
321,1,0.255266,0.000863
322,1,0.254254,0.000857
323,1,0.253249,0.000850
324,1,0.252251,0.000844
325,1,0.251260,0.000837
326,1,0.250276,0.000831
327,1,0.249299,0.000825
328,1,0.248328,0.000819
329,1,0.247365,0.000813
330,1,0.246408,0.000807
331,1,0.245457,0.000801
332,1,0.244513,0.000795
333,1,0.243576,0.000789
334,1,0.242645,0.000783
335,1,0.241720,0.000778
336,1,0.240802,0.000772
337,1,0.239890,0.000766
338,1,0.238983,0.000761
339,1,0.238084,0.000756
340,1,0.237190,0.000750
341,1,0.236302,0.000745
342,1,0.235420,0.000740
343,1,0.234544,0.000734
344,1,0.233674,0.000729
345,1,0.232810,0.000724
346,1,0.231951,0.000719
347,1,0.231098,0.000714
348,1,0.230251,0.000709
349,1,0.229409,0.000704
350,1,0.228573,0.000699
351,1,0.227742,0.000695
352,1,0.226917,0.000690
353,1,0.226097,0.000685
354,1,0.225282,0.000680
355,1,0.224473,0.000676
356,1,0.223669,0.000671
357,1,0.222870,0.000667
358,1,0.222076,0.000662
359,1,0.221288,0.000658
360,1,0.220504,0.000653
361,1,0.219725,0.000649
362,1,0.218952,0.000645
363,1,0.218183,0.000641
364,1,0.217419,0.000636
365,1,0.216660,0.000632
366,1,0.215906,0.000628
367,1,0.215156,0.000624
368,1,0.214412,0.000620
369,1,0.213671,0.000616
370,1,0.212936,0.000612
371,1,0.212205,0.000608
372,1,0.211479,0.000604
373,1,0.210757,0.000600
374,1,0.210039,0.000597
375,1,0.209326,0.000593
376,1,0.208618,0.000589
377,1,0.207913,0.000585
378,1,0.207214,0.000582
379,1,0.206518,0.000578
380,1,0.205826,0.000574
381,1,0.205139,0.000571
382,1,0.204456,0.000567
383,1,0.203777,0.000564
384,1,0.203102,0.000560
385,1,0.202432,0.000557
386,1,0.201765,0.000554
387,1,0.201102,0.000550
388,1,0.200443,0.000547
389,1,0.199789,0.000544
390,1,0.199138,0.000540
391,1,0.198491,0.000537
392,1,0.197847,0.000534
393,1,0.197208,0.000531
394,1,0.196572,0.000527
395,1,0.195940,0.000524
396,1,0.195312,0.000521
397,1,0.194687,0.000518
398,1,0.194066,0.000515
399,1,0.193449,0.000512
400,1,0.192835,0.000509
401,1,0.192225,0.000506
402,1,0.191619,0.000503
403,1,0.191016,0.000500
404,1,0.190416,0.000497
405,1,0.189820,0.000494
406,1,0.189227,0.000492
407,1,0.188637,0.000489
408,1,0.188051,0.000486
409,1,0.187469,0.000483
410,1,0.186889,0.000480
411,1,0.186313,0.000478
412,1,0.185740,0.000475
413,1,0.185170,0.000472
414,1,0.184604,0.000470
415,1,0.184041,0.000467
416,1,0.183481,0.000464
417,1,0.182924,0.000462
418,1,0.182370,0.000459
419,1,0.181819,0.000457
420,1,0.181271,0.000454
421,1,0.180726,0.000452
422,1,0.180185,0.000449
423,1,0.179646,0.000447
424,1,0.179110,0.000444
425,1,0.178577,0.000442
426,1,0.178047,0.000439
427,1,0.177520,0.000437
428,1,0.176996,0.000435
429,1,0.176475,0.000432
430,1,0.175956,0.000430
431,1,0.175441,0.000428
432,1,0.174928,0.000425
433,1,0.174418,0.000423
434,1,0.173910,0.000421
435,1,0.173405,0.000419
436,1,0.172903,0.000416
437,1,0.172404,0.000414
438,1,0.171908,0.000412
439,1,0.171413,0.000410
440,1,0.170922,0.000408
441,1,0.170433,0.000406
442,1,0.169947,0.000403
443,1,0.169463,0.000401
444,1,0.168982,0.000399
445,1,0.168504,0.000397
446,1,0.168028,0.000395
447,1,0.167554,0.000393
448,1,0.167083,0.000391
449,1,0.166614,0.000389
450,1,0.166148,0.000387
451,1,0.165684,0.000385
452,1,0.165223,0.000383
453,1,0.164763,0.000381
454,1,0.164307,0.000379
455,1,0.163852,0.000377
456,1,0.163400,0.000376
457,1,0.162951,0.000374
458,1,0.162503,0.000372
459,1,0.162058,0.000370
460,1,0.161615,0.000368
461,1,0.161174,0.000366
462,1,0.160736,0.000364
463,1,0.160300,0.000363
464,1,0.159866,0.000361
