run,seed,type,total_reward,n_rows
10_classic_multiswitch,10,classic,32342.000000,60000
10_icarus_multiswitch,10,ACE,33550.000000,60000
11_classic_multiswitch,11,classic,32699.000000,60000
11_icarus_multiswitch,11,ACE,44010.000000,60000
12_classic_multiswitch,12,classic,32154.000000,60000
12_icarus_multiswitch,12,ACE,43084.000000,60000
13_classic_multiswitch,13,classic,32785.000000,60000
13_icarus_multiswitch,13,ACE,39200.000000,60000
14_classic_multiswitch,14,classic,32856.000000,60000
14_icarus_multiswitch,14,ACE,24842.000000,60000
15_classic_multiswitch,15,classic,33420.000000,60000
15_icarus_multiswitch,15,ACE,44979.000000,60000
16_classic_multiswitch,16,classic,32389.000000,60000
16_icarus_multiswitch,16,ACE,43803.000000,60000
17_classic_multiswitch,17,classic,32586.000000,60000
17_icarus_multiswitch,17,ACE,37991.000000,60000
18_classic_multiswitch,18,classic,32670.000000,60000
18_icarus_multiswitch,18,ACE,37407.000000,60000
19_classic_multiswitch,19,classic,33010.000000,60000
19_icarus_multiswitch,19,ACE,41640.000000,60000
1_classic_multiswitch,1,classic,32200.000000,60000
1_icarus_multiswitch,1,ACE,37385.000000,60000
20_classic_multiswitch,20,classic,32656.000000,60000
20_icarus_multiswitch,20,ACE,34990.000000,60000
2_classic_multiswitch,2,classic,32094.000000,60000
2_icarus_multiswitch,2,ACE,36927.000000,60000
3_classic_multiswitch,3,classic,32167.000000,60000
3_icarus_multiswitch,3,ACE,31704.000000,60000
4_classic_multiswitch,4,classic,32813.000000,60000
4_icarus_multiswitch,4,ACE,39515.000000,60000
5_classic_multiswitch,5,classic,32795.000000,60000
5_icarus_multiswitch,5,ACE,32811.000000,60000
6_classic_multiswitch,6,classic,33054.000000,60000
6_icarus_multiswitch,6,ACE,24864.000000,60000
7_classic_multiswitch,7,classic,32303.000000,60000
7_icarus_multiswitch,7,ACE,37364.000000,60000
8_classic_multiswitch,8,classic,33300.000000,60000
8_icarus_multiswitch,8,ACE,26456.000000,60000
9_classic_multiswitch,9,classic,32887.000000,60000
9_icarus_multiswitch,9,ACE,34784.000000,60000
