episode,is_optimal,expected,unexpected
0,0,0.693247,0.000000
1,0,0.696319,0.000047
2,1,0.698972,0.000037
3,0,0.702811,0.000030
4,1,0.705462,0.000024
5,1,0.709211,0.000019
6,0,0.712485,0.000015
7,0,0.715526,0.000012
8,1,0.718133,0.000010
9,0,0.721744,0.000008
10,0,0.724342,0.000043
11,1,0.726527,0.000034
12,0,0.730443,0.000031
13,1,0.732645,0.000025
14,1,0.736448,0.000020
15,1,0.739749,0.000016
16,0,0.742577,0.000013
17,1,0.745601,0.000010
18,1,0.748392,0.000008
19,0,0.750734,0.000007
20,0,0.754107,0.000005
21,0,0.756990,0.000004
22,1,0.759411,0.000003
23,1,0.762565,0.000003
24,0,0.765235,0.000002
25,0,0.768051,0.000002
26,1,0.770400,0.000001
27,1,0.773442,0.000001
28,1,0.775998,0.000012
29,1,0.778097,0.000116
30,1,0.779767,0.000319
31,1,0.781034,0.000620
32,0,0.781923,0.000596
33,1,0.786296,0.000719
34,0,0.787263,0.000587
35,0,0.791451,0.000470
36,1,0.795057,0.000376
37,1,0.796525,0.000434
38,0,0.797589,0.000347
39,1,0.801475,0.000357
40,0,0.802597,0.000285
41,0,0.806327,0.000228
42,1,0.809491,0.000183
43,1,0.811100,0.000195
44,1,0.812282,0.000347
45,0,0.813065,0.000278
46,0,0.816959,0.000222
47,1,0.820267,0.000178
48,0,0.821560,0.000142
49,0,0.824744,0.000114
50,1,0.827382,0.000091
51,1,0.829145,0.000073
52,0,0.830455,0.000058
53,1,0.833448,0.000047
54,1,0.834779,0.000147
55,0,0.835681,0.000118
56,0,0.838996,0.000094
57,0,0.841742,0.000075
58,1,0.843956,0.000060
59,1,0.845801,0.000048
60,1,0.847170,0.000130
61,0,0.848096,0.000104
62,1,0.851132,0.000146
63,0,0.852097,0.000117
64,1,0.855011,0.000135
65,1,0.856010,0.000271
66,1,0.856581,0.000518
67,1,0.856754,0.000867
68,1,0.856553,0.001304
69,0,0.856004,0.001266
70,1,0.860512,0.001408
71,0,0.860098,0.001189
72,0,0.864355,0.000951
73,0,0.867951,0.000761
74,0,0.870928,0.000609
75,0,0.873327,0.000487
76,1,0.875186,0.000390
77,1,0.876745,0.000312
78,0,0.877819,0.000249
79,0,0.880085,0.000200
80,1,0.881813,0.000160
81,1,0.883359,0.000128
82,0,0.884414,0.000102
83,0,0.886559,0.000082
84,1,0.888168,0.000065
85,1,0.889695,0.000052
86,1,0.890726,0.000104
87,1,0.891294,0.000267
88,1,0.891431,0.000537
89,1,0.891165,0.000903
90,1,0.890523,0.001353
91,1,0.889532,0.001872
92,0,0.888216,0.001820
93,1,0.892896,0.001960
94,1,0.891750,0.002253
95,1,0.890285,0.002663
96,1,0.888526,0.003159
97,0,0.886492,0.002930
98,0,0.892129,0.002344
99,1,0.896976,0.002064
100,1,0.895629,0.002064
101,1,0.893974,0.002279
102,0,0.892034,0.001903
103,0,0.897408,0.001522
104,1,0.902003,0.001218
105,0,0.900745,0.000974
106,1,0.905049,0.000779
107,1,0.903951,0.000741
108,1,0.902522,0.000944
109,1,0.900784,0.001328
110,0,0.898760,0.001096
111,1,0.904070,0.001158
112,0,0.902254,0.000926
113,1,0.907209,0.000821
114,0,0.905587,0.000657
115,1,0.910214,0.000526
116,1,0.908774,0.000619
117,1,0.907020,0.000931
118,1,0.904976,0.001404
119,1,0.902661,0.001990
120,0,0.900095,0.001786
121,1,0.906093,0.001874
122,0,0.903766,0.001499
123,1,0.909344,0.001354
124,1,0.907241,0.001495
125,0,0.904870,0.001196
126,1,0.910478,0.001082
127,1,0.908333,0.001254
128,0,0.905921,0.001003
129,1,0.911555,0.000906
130,1,0.909371,0.001095
131,1,0.906923,0.001491
132,1,0.904228,0.002032
133,0,0.901306,0.001728
134,1,0.907768,0.001760
135,1,0.905103,0.002037
136,0,0.902208,0.001630
137,1,0.908607,0.001524
138,1,0.905967,0.001709
139,1,0.903095,0.002103
140,1,0.900007,0.002639
141,1,0.896720,0.003269
142,0,0.893249,0.002852
143,1,0.900745,0.002797
144,0,0.897560,0.002237
145,1,0.904505,0.001867
146,1,0.901592,0.001868
147,1,0.898468,0.002135
148,1,0.895147,0.002588
149,1,0.891646,0.003165
150,1,0.887978,0.003816
151,1,0.884157,0.004505
152,1,0.880194,0.005204
153,0,0.876102,0.004572
154,0,0.885104,0.003657
155,1,0.893072,0.002926
156,1,0.889743,0.002559
157,1,0.886238,0.002560
158,1,0.882570,0.002822
159,1,0.878753,0.003263
160,0,0.874799,0.002610
161,1,0.883608,0.002338
162,1,0.879963,0.002414
163,1,0.876169,0.002734
164,0,0.872238,0.002187
165,0,0.881084,0.001750
166,1,0.888913,0.001400
167,1,0.885740,0.001120
168,1,0.882385,0.001028
169,1,0.878861,0.001264
170,1,0.875182,0.001725
171,1,0.871359,0.002335
172,0,0.867405,0.001868
173,0,0.876435,0.001494
174,1,0.884440,0.001195
175,0,0.881242,0.000956
176,0,0.888664,0.000765
177,1,0.895166,0.000612
178,1,0.892708,0.000490
179,0,0.890016,0.000392
180,0,0.896459,0.000313
181,1,0.902046,0.000251
182,1,0.900075,0.000201
183,1,0.897833,0.000160
184,1,0.895340,0.000128
185,1,0.892614,0.000396
186,1,0.889672,0.000891
187,1,0.886530,0.001539
188,1,0.883202,0.002282
189,1,0.879704,0.003076
190,1,0.876049,0.003887
191,0,0.872248,0.003432
192,1,0.880878,0.003352
193,1,0.877380,0.003540
194,0,0.873727,0.002832
195,1,0.882073,0.002466
196,1,0.878717,0.002473
197,1,0.875196,0.002744
198,1,0.871522,0.003194
199,1,0.867707,0.003759
200,0,0.863763,0.003062
201,1,0.872885,0.002823
202,1,0.869251,0.002912
203,0,0.865475,0.002329
204,1,0.874263,0.001864
205,1,0.870791,0.001809
206,1,0.867166,0.002053
207,0,0.863401,0.001642
208,1,0.872233,0.001314
209,1,0.868770,0.001334
210,1,0.865157,0.001644
211,1,0.861404,0.002148
212,1,0.857523,0.002778
213,1,0.853524,0.003478
214,0,0.849417,0.002782
215,1,0.859257,0.002549
216,1,0.855466,0.002650
217,0,0.851553,0.002120
