type,seed,mean_optimal,std_optimal,total_optimal
classic,1,0.6961,0.45993998521546264,13922.0
icarus_upgraded,1,0.78875,0.4081953423301153,15775.0
only_ach,1,0.7072,0.4550474260997418,14144.0
only_ne,1,0.81895,0.3850596025292708,16379.0
classic,2,0.7416,0.43775499997144524,14832.0
icarus_upgraded,2,0.80695,0.3946919019944544,16139.0
only_ach,2,0.6883,0.4631879855954815,13766.0
only_ne,2,0.86005,0.34693514883908777,17201.0
classic,3,0.7415,0.4378101757611397,14830.0
icarus_upgraded,3,0.88405,0.3201649535786202,17681.0
only_ach,3,0.62775,0.48340452780254345,12555.0
only_ne,3,0.83165,0.3741767997885492,16633.0
classic,4,0.73555,0.44103990465716364,14711.0
icarus_upgraded,4,0.88325,0.3211221535490817,17665.0
only_ach,4,0.694,0.4608296865437382,13880.0
only_ne,4,0.8781,0.3271702767673127,17562.0
classic,5,0.61975,0.48544818209567947,12395.0
icarus_upgraded,5,0.8948,0.3068109515646402,17896.0
only_ach,5,0.6553,0.4752703546403878,13106.0
only_ne,5,0.8903,0.3125154556177982,17806.0
classic,6,0.7,0.458257569495584,14000.0
icarus_upgraded,6,0.8215,0.3829330881498751,16430.0
only_ach,6,0.73515,0.44125330310378413,14703.0
only_ne,6,0.7865,0.40977768362857436,15730.0
classic,7,0.6204,0.4852873787767409,12408.0
icarus_upgraded,7,0.8806,0.3242586005027469,17612.0
only_ach,7,0.6479,0.4776249470033993,12958.0
only_ne,7,0.8652,0.3415098241632296,17304.0
classic,8,0.72445,0.44679099979744447,14489.0
icarus_upgraded,8,0.8576,0.3494599261718001,17152.0
only_ach,8,0.66525,0.471902995858259,13305.0
only_ne,8,0.81415,0.38898557492534347,16283.0
classic,9,0.7484,0.4339325293176348,14968.0
icarus_upgraded,9,0.8816,0.3230811662725019,17632.0
only_ach,9,0.6033,0.4892127451324219,12066.0
only_ne,9,0.8547,0.35240305049758014,17094.0
classic,10,0.6782,0.4671667368295821,13564.0
icarus_upgraded,10,0.90265,0.2964337657892569,18053.0
only_ach,10,0.6407,0.47979527925981097,12814.0
only_ne,10,0.8478,0.35921464335408154,16956.0
classic,11,0.7097,0.4539007710942999,14194.0
icarus_upgraded,11,0.8869,0.31671499806608466,17738.0
only_ach,11,0.61045,0.48764823131023455,12209.0
only_ne,11,0.85475,0.3523527174579472,17095.0
classic,12,0.6017,0.4895478628285492,12034.0
icarus_upgraded,12,0.8603,0.3466755111051255,17206.0
only_ach,12,0.6651,0.4719554957832359,13302.0
only_ne,12,0.88395,0.320284869296069,17679.0
classic,13,0.6514,0.47652706114133747,13028.0
icarus_upgraded,13,0.9136,0.2809538040319084,18272.0
only_ach,13,0.71035,0.45359990906083747,14207.0
only_ne,13,0.84505,0.36185701250632135,16901.0
classic,14,0.76325,0.4250875645087727,15265.0
icarus_upgraded,14,0.81695,0.38670750897803885,16339.0
only_ach,14,0.6142,0.4867836891269057,12284.0
only_ne,14,0.77825,0.4154238046862505,15565.0
classic,15,0.7569,0.42895499763961253,15138.0
icarus_upgraded,15,0.83885,0.36766925014202645,16777.0
only_ach,15,0.6855,0.4643164330497037,13710.0
only_ne,15,0.8486,0.3584383350033866,16972.0
classic,16,0.7307,0.4435961113445428,14614.0
icarus_upgraded,16,0.91175,0.28365813490890757,18235.0
only_ach,16,0.59405,0.49107494081860864,11881.0
only_ne,16,0.88895,0.3141940443420276,17779.0
classic,17,0.63455,0.48155612082082394,12691.0
icarus_upgraded,17,0.87365,0.3322434009878902,17473.0
only_ach,17,0.65645,0.47489303795696985,13129.0
only_ne,17,0.84835,0.3586813035272399,16967.0
classic,18,0.7369,0.4403162386285566,14738.0
icarus_upgraded,18,0.84105,0.365629453819027,16821.0
only_ach,18,0.613,0.4870636508712183,12260.0
only_ne,18,0.8583,0.34874218270808593,17166.0
classic,19,0.6981,0.4590821168375,13962.0
icarus_upgraded,19,0.89935,0.30086471627626926,17987.0
only_ach,19,0.6488,0.47734532573389676,12976.0
only_ne,19,0.8876,0.3158579427527508,17752.0
classic,20,0.65375,0.4757740403805151,13075.0
icarus_upgraded,20,0.8896,0.3133876832295743,17792.0
only_ach,20,0.6826,0.46546454215117183,13652.0
only_ne,20,0.8832,0.3211818176671899,17664.0
