episode,is_optimal,expected,unexpected
0,0,0.693247,0.000000
1,0,0.696319,0.000047
2,0,0.698972,0.000167
3,0,0.701229,0.000371
4,1,0.703113,0.000310
5,1,0.707702,0.000248
6,0,0.711764,0.000198
7,0,0.714097,0.000249
8,1,0.716041,0.000199
9,0,0.720371,0.000189
10,1,0.722355,0.000151
11,0,0.726546,0.000121
12,1,0.728563,0.000097
13,1,0.732623,0.000077
14,0,0.736167,0.000062
15,1,0.738619,0.000050
16,1,0.742075,0.000040
17,1,0.745047,0.000032
18,0,0.747562,0.000025
19,1,0.750814,0.000020
20,1,0.753311,0.000016
21,1,0.755376,0.000122
22,1,0.757034,0.000343
23,0,0.758310,0.000291
24,1,0.762679,0.000387
25,1,0.764018,0.000617
26,0,0.764989,0.000528
27,1,0.769580,0.000612
28,1,0.770632,0.000845
29,0,0.771329,0.000720
30,0,0.776118,0.000576
31,1,0.780300,0.000464
32,1,0.781520,0.000542
33,1,0.782365,0.000778
34,1,0.782859,0.001143
35,1,0.783024,0.001612
36,0,0.782880,0.001513
37,1,0.788454,0.001633
38,1,0.788453,0.001922
39,0,0.788148,0.001671
40,1,0.793817,0.001685
41,1,0.793662,0.001904
42,0,0.793211,0.001588
43,1,0.798961,0.001563
44,1,0.798666,0.001762
45,1,0.798078,0.002129
46,0,0.797217,0.001842
47,0,0.803412,0.001473
48,0,0.808874,0.001179
49,1,0.813649,0.000943
50,1,0.813848,0.000754
51,0,0.813710,0.000604
52,1,0.818647,0.000483
53,1,0.818637,0.000514
54,0,0.818301,0.000411
55,1,0.823380,0.000331
56,0,0.823183,0.000265
57,1,0.827991,0.000212
58,1,0.827921,0.000324
59,1,0.827520,0.000639
60,0,0.826810,0.000511
61,1,0.832166,0.000581
62,0,0.831613,0.000465
63,1,0.836668,0.000405
64,1,0.836262,0.000590
65,1,0.835540,0.000962
66,1,0.834521,0.001471
67,1,0.833226,0.002077
68,0,0.831673,0.001906
69,1,0.838015,0.002010
70,1,0.836667,0.002318
71,1,0.835062,0.002772
72,1,0.833218,0.003326
73,1,0.831150,0.003944
74,1,0.828875,0.004597
75,1,0.826406,0.005264
76,1,0.823757,0.005925
77,1,0.820942,0.006569
78,1,0.817973,0.007185
79,1,0.814860,0.007766
80,1,0.811615,0.008307
81,1,0.808247,0.008806
82,1,0.804767,0.009260
83,1,0.801183,0.009669
84,1,0.797504,0.010033
85,1,0.793737,0.010352
86,1,0.789890,0.010629
87,1,0.785970,0.010865
88,1,0.781983,0.011062
89,1,0.777937,0.011223
90,1,0.773836,0.011348
91,1,0.769686,0.011442
92,1,0.765493,0.011506
93,1,0.761262,0.011542
94,1,0.756996,0.011553
95,1,0.752700,0.011541
96,1,0.748379,0.011509
97,1,0.744035,0.011457
98,1,0.739674,0.011388
99,1,0.735297,0.011304
100,0,0.730909,0.009118
101,1,0.745129,0.007639
102,0,0.741028,0.006111
103,1,0.754219,0.004889
104,1,0.750412,0.003911
105,1,0.746555,0.003129
106,1,0.742652,0.002693
107,1,0.738708,0.002609
108,1,0.734728,0.002769
109,1,0.730716,0.003090
110,0,0.726676,0.002472
111,1,0.740183,0.001978
112,0,0.736431,0.001582
113,1,0.748980,0.001266
114,1,0.745518,0.001013
115,1,0.741990,0.000810
116,0,0.738401,0.000648
117,1,0.750540,0.000518
118,1,0.747240,0.000415
119,1,0.743864,0.000332
120,1,0.740418,0.000265
121,0,0.736908,0.000212
122,1,0.748924,0.000170
123,1,0.745702,0.000136
124,1,0.742400,0.000109
125,1,0.739025,0.000318
126,1,0.735584,0.000775
127,1,0.732080,0.001388
128,1,0.728521,0.002091
129,1,0.724911,0.002834
130,1,0.721255,0.003580
131,1,0.717558,0.004306
132,1,0.713823,0.004992
133,1,0.710055,0.005628
134,0,0.706258,0.004503
135,1,0.719824,0.003651
136,1,0.716306,0.003263
137,1,0.712742,0.003204
138,1,0.709137,0.003373
139,1,0.705494,0.003692
140,1,0.701818,0.004102
141,0,0.698112,0.003282
142,0,0.711707,0.002625
143,1,0.724156,0.002100
144,0,0.721057,0.001680
145,1,0.732661,0.001344
146,1,0.729841,0.001075
147,1,0.726929,0.000860
148,1,0.723932,0.000688
149,1,0.720857,0.000551
150,1,0.717709,0.000672
151,1,0.714495,0.001057
152,1,0.711219,0.001613
153,1,0.707888,0.002269
154,0,0.704506,0.001815
155,1,0.717164,0.001452
156,1,0.714060,0.001233
157,0,0.710889,0.000986
158,1,0.722915,0.000789
159,1,0.720022,0.000631
160,1,0.717047,0.000505
161,0,0.713997,0.000404
162,1,0.725689,0.000323
163,1,0.722916,0.000259
164,1,0.720052,0.000207
165,1,0.717105,0.000430
166,1,0.714080,0.000897
167,1,0.710985,0.001519
168,1,0.707824,0.002229
169,1,0.704604,0.002978
170,1,0.701328,0.003731
171,1,0.698002,0.004461
172,1,0.694631,0.005153
173,1,0.691218,0.005793
174,1,0.687768,0.006377
175,1,0.684284,0.006901
176,1,0.680769,0.007363
177,1,0.677229,0.007766
178,1,0.673665,0.008110
179,1,0.670080,0.008400
180,1,0.666478,0.008639
181,1,0.662860,0.008831
182,1,0.659231,0.008980
183,1,0.655591,0.009090
184,1,0.651944,0.009164
185,1,0.648290,0.009207
186,1,0.644634,0.009222
187,1,0.640975,0.009211
188,1,0.637316,0.009179
189,1,0.633659,0.009128
190,0,0.630005,0.007303
191,1,0.645604,0.005842
192,1,0.642185,0.004674
193,1,0.638754,0.003958
194,1,0.635313,0.003592
195,1,0.631864,0.003476
196,1,0.628410,0.003533
197,1,0.624951,0.003705
198,1,0.621491,0.003949
199,1,0.618029,0.004231
200,1,0.614569,0.004530
201,1,0.611111,0.004827
202,1,0.607657,0.005111
203,1,0.604207,0.005375
204,1,0.600764,0.005613
205,1,0.597329,0.005824
206,1,0.593902,0.006005
207,1,0.590484,0.006158
208,1,0.587077,0.006282
209,1,0.583681,0.006380
210,1,0.580297,0.006453
211,1,0.576927,0.006503
212,1,0.573569,0.006532
213,1,0.570226,0.006543
214,1,0.566898,0.006537
215,1,0.563586,0.006516
216,1,0.560289,0.006482
217,1,0.557009,0.006437
