episode,reward,unexpected_uncertainty,expected_uncertainty,mean_variance,mean_td_error_sq,mean_delta_var,mean_actor_lr,mean_abs_td
0,23.0,0.0,0.3075520615999462,0.029051669374374405,0.00010865300805562583,0.0001447150818315939,0.010000000000000004,0.004391518255163517
1,19.0,0.0,0.3094053433874957,0.004881301852046818,9.972291969461367e-05,2.4250977974998022e-05,0.010000000000000002,0.004855979075655341
2,25.0,0.0,0.25395677639475966,0.003021826112994712,7.17533380778942e-05,1.4986607424317857e-05,0.010000000000000004,0.004431015541476588
3,9.0,0.0,0.002016931191978685,0.0015497697135742783,0.0001348639862650695,7.342704433767721e-06,0.01,0.0042296495288610455
4,33.0,0.0,0.002000000000000031,9.999999974752427e-07,6.520926058911778e-05,3.2258476449279e-07,0.010000000000000005,0.004520193596060078
5,27.0,0.0,0.2505379685240124,0.003615455923336826,0.00011772860461584942,1.8473887229065028e-05,0.010000000000000004,0.005639118819751523
6,13.0,0.0,0.0020009318131652375,0.0007715294506588658,0.00021157046055457997,3.822424189545352e-06,0.010000000000000002,0.0066934780119673205
7,27.0,0.0,0.0020000000000001085,9.999999974752427e-07,9.392826199693832e-05,4.6645949181090674e-07,0.010000000000000004,0.005335200027647344
8,14.0,0.0,0.002,9.999999974752427e-07,0.000164779960141459,8.218998007123447e-07,0.010000000000000002,0.005854134145192802
9,11.0,0.0,0.002,9.999999974752427e-07,0.00013875098203938892,6.922843219653635e-07,0.01,0.004826251033912687
10,15.0,0.0,0.002,9.999999974752427e-07,0.00010843301823201945,5.400222340226503e-07,0.010000000000000002,0.005008448757940815
11,20.0,0.0,0.002,9.999999974752427e-07,0.0001463362863992538,7.289891243107587e-07,0.010000000000000002,0.006480407480222101
12,15.0,0.0,0.002,9.999999974752427e-07,0.00011212029243151413,5.584586050201237e-07,0.010000000000000002,0.004920932242558116
13,10.0,0.0,0.002,9.999999974752427e-07,0.00012594239092322823,6.284619546192971e-07,0.01,0.004829199577216059
14,10.0,0.0,0.002,9.999999974752427e-07,0.00010244708323625673,5.109854161844396e-07,0.01,0.004654400399886072
15,38.0,0.0,0.002,9.999999974752427e-07,6.47214866686144e-05,3.1997106971588936e-07,0.010000000000000005,0.005010061151221056
16,11.0,0.0,0.002,9.999999974752427e-07,0.00014974210181903532,7.472399208635954e-07,0.01,0.0057549796286312975
17,23.0,0.00011497220684470263,0.002,9.999999974752427e-07,0.0001540176575057056,7.671572530531696e-07,0.010000000000000004,0.007457886356860399
18,10.0,3.2361799243985418e-06,0.002,9.999999974752427e-07,0.000184999030580002,9.23745152903166e-07,0.01,0.006642727326834574
19,16.0,4.982566217590153e-07,0.002,9.999999974752427e-07,0.00014499747083556775,7.227146269108495e-07,0.010000000000000002,0.006029139082370834
20,27.0,0.0003575968344824953,0.028719863516983447,2.4254267676345382e-05,0.00015248412984709086,8.640999475794547e-07,0.010000000000000004,0.007120761674631274
21,13.0,0.002923122543324382,0.0020003348596383344,0.00030033708759746283,0.00019706257769844102,2.1093162205201416e-06,0.010000000000000002,0.007987642844550703
22,12.0,8.543737396951135e-05,0.002000000001277388,9.999999974752427e-07,0.00010698112307889258,5.332389487320042e-07,0.010000000000000002,0.004534974629576836
23,15.0,7.880206859726961e-07,0.002000000000000001,9.999999974752427e-07,9.6860820641658e-05,4.821612460708431e-07,0.010000000000000002,0.004487190528639725
24,13.0,1.1356574936662013e-08,0.002,9.999999974752427e-07,7.806300522803979e-05,3.8847292088169194e-07,0.010000000000000002,0.004195315052608126
25,32.0,2.358668334693826e-12,0.002,9.999999974752427e-07,6.202142814895763e-05,3.0668608812184654e-07,0.010000000000000004,0.005227140635006914
26,14.0,0.0012407829622910942,0.002,9.999999974752427e-07,0.0001413559882166737,7.047799410884182e-07,0.010000000000000002,0.006614899844862521
27,12.0,3.1599951295925266e-05,0.002,9.999999974752427e-07,0.00011084608589347529,5.525637628049177e-07,0.010000000000000002,0.005227408604696393
28,33.0,0.00021374029724400678,0.20436969669680333,0.001905332755165126,0.00011497905313426133,1.0007588854061094e-05,0.010000000000000005,0.006727618756345832
29,23.0,0.017216670468321277,0.0020000007941710514,0.0004412666660379006,0.00032124712454568565,3.5782918866030304e-06,0.010000000000000004,0.010691323815363234
30,33.0,0.0005745263717859265,0.002,9.999999974752427e-07,0.00012447975202051637,6.189372216497829e-07,0.010000000000000005,0.007172197055740234
31,32.0,0.002144586475909945,0.002,9.999999974752427e-07,0.00022699172514924277,1.1315375731232722e-06,0.010000000000000004,0.008764698960524248
32,33.0,0.02045076308293621,0.002,9.999999974752427e-07,0.00041906447978152963,2.0918608604548492e-06,0.010000000000000005,0.013107333356180252
33,10.0,0.0007246316386018067,0.002,9.999999974752427e-07,0.00013032825393111125,6.503912696587122e-07,0.01,0.004838013410335407
34,22.0,1.4016414361846115e-06,0.002,9.999999974752427e-07,6.678891401991547e-05,3.310874272496481e-07,0.010000000000000004,0.0047845467758764115
35,11.0,3.156215924854034e-08,0.002,9.999999974752427e-07,8.803483091041391e-05,4.387035663204883e-07,0.01,0.004405610044212902
36,27.0,2.00048950579556e-11,0.002,9.999999974752427e-07,7.453269559350288e-05,3.694816597937295e-07,0.010000000000000004,0.005476161117919467
37,15.0,1.8451258967776217e-13,0.002,9.999999974752427e-07,7.909308416336509e-05,3.9332256367937846e-07,0.010000000000000002,0.004911536217800209
38,16.0,0.0007968660960875561,0.002,9.999999974752427e-07,0.0001253128187024479,6.242913662452503e-07,0.010000000000000002,0.0064987691055813975
39,11.0,2.3321400178561244e-05,0.002,9.999999974752427e-07,8.336824398344e-05,4.153706316856187e-07,0.01,0.00421615585903911
40,18.0,0.00012722226931633214,0.002,9.999999974752427e-07,0.0001039799720577624,5.173998602951239e-07,0.010000000000000004,0.006228836680141588
41,32.0,0.002155633711108062,0.002,9.999999974752427e-07,8.293915724559491e-05,4.1127473360503295e-07,0.010000000000000004,0.006477529072741929
42,20.0,0.003875949000597495,0.002,9.999999974752427e-07,0.00015597716740628058,7.771935293458928e-07,0.010000000000000002,0.0073601613000321845
43,12.0,8.529087184972617e-05,0.002,9.999999974752427e-07,0.00010818643265035159,5.392654965892992e-07,0.010000000000000002,0.005327570924742354
44,14.0,9.833368030221617e-07,0.002,9.999999974752427e-07,9.277418384954217e-05,4.618709192527604e-07,0.010000000000000002,0.00512172831222415
45,54.0,1.5069592658007861e-12,0.002,9.999999974752427e-07,5.140657882899783e-05,2.530328941550882e-07,0.010000000000000005,0.005039661036183436
46,34.0,2.003092444609891e-16,0.002,9.999999974752427e-07,8.949591801865608e-05,4.4397959010211705e-07,0.010000000000000005,0.005641625099815428
47,17.0,0.002700024614484411,0.002,9.999999974752427e-07,0.0001688974464385588,8.420959278510054e-07,0.010000000000000004,0.006409024131362853
48,28.0,0.0043452118919791085,0.002,9.999999974752427e-07,0.00010201051041162024,5.068172579486226e-07,0.010000000000000004,0.006500783650314107
49,15.0,6.697500215443585e-05,0.002,9.999999974752427e-07,9.924520504899279e-05,4.94083168107517e-07,0.010000000000000002,0.0050187694973179275
50,17.0,1.3627403498300953e-06,0.002,9.999999974752427e-07,8.781890787561323e-05,4.367032350362775e-07,0.010000000000000004,0.005200387960623788
51,73.0,0.0001825216013865943,0.002,9.999999974752427e-07,8.382576957449635e-05,4.1488834155407405e-07,0.010000000000000005,0.006475180310869142
52,21.0,0.0004215583382464607,0.002,9.999999974752427e-07,0.00018372649167388403,9.158546805986555e-07,0.010000000000000002,0.005898422302885188
53,10.0,0.0056873340111393555,0.002,9.999999974752427e-07,0.00022159069203553372,1.1067034601808246e-06,0.01,0.007338043302297592
54,15.0,0.002807740154619068,0.002,9.999999974752427e-07,0.0001233352089738695,6.145331877319005e-07,0.010000000000000002,0.005914614957180761
55,53.0,0.0017167274641318,0.002,9.999999974752427e-07,8.00401226038279e-05,3.962175621817381e-07,0.010000000000000005,0.0063692375986000235
56,18.0,0.008010777332023825,0.002,9.999999974752427e-07,0.0001501609297823355,7.483046489179894e-07,0.010000000000000004,0.0075536413545099395
57,62.0,0.0002594878131610008,0.002,9.999999974752427e-07,0.00014981433629573612,7.449540344302531e-07,0.010000000000000005,0.008234744747717153
58,61.0,4.335844642613044e-06,0.02598431433138986,0.0001721520657207266,0.00017207347565402674,1.5635055680591064e-06,0.010000000000000005,0.00784149308994746
59,11.0,0.004616718087469748,0.0020002465920005417,2.512550161233829e-06,0.0005674904716536676,2.828419019217964e-06,0.01,0.008316276101943324
