episode,reward,unexpected_uncertainty,expected_uncertainty,mean_variance,mean_td_error_sq,mean_delta_var,mean_actor_lr,mean_abs_td
0,17.0,0.0,0.3104111189901751,0.03586331864988262,0.00013676211752185324,0.00017863278266180382,0.010000000000000002,0.004650163654745979
1,16.0,0.0,0.03420520138119642,0.001228630890368136,7.104267718783707e-05,5.989685186126404e-06,0.010000000000000002,0.003767327553677288
2,9.0,0.0,0.02430246355834844,0.001156593348127899,9.411006843341359e-05,5.471494632843133e-06,0.01,0.0035113399693121514
3,16.0,0.0,0.02756867296761728,0.0008053694655452339,8.817041204813656e-05,3.916169830724604e-06,0.010000000000000002,0.004939233016392047
4,22.0,0.0,0.038645759844783766,0.00010405860506271633,7.347570324002715e-05,3.7428328643126666e-07,0.010000000000000004,0.004025434268571969
5,38.0,0.0,0.029034763276235116,0.00020222281918594572,5.1994610575175926e-05,1.0647017911289616e-06,0.010000000000000005,0.004437793231442232
6,40.0,0.0,0.002057733415828983,0.0035326946338984826,8.546376157819e-05,1.7543976301770112e-05,0.010000000000000005,0.005449234563654855
7,14.0,0.0,0.002000000055058876,9.999999974752427e-07,0.00014142308191367192,7.051154095734091e-07,0.010000000000000002,0.0046336682280525565
8,34.0,0.0,0.24754665332348988,0.00293017817689929,7.227534475759967e-05,1.4451186522791205e-05,0.010000000000000005,0.0043513222422916446
9,18.0,0.0,0.0020000320011435506,0.0008973164197480324,0.0001518282585190415,4.4476584821732485e-06,0.010000000000000004,0.006367810866019378
10,20.0,0.0,0.002000000000000477,9.999999974752427e-07,0.0001546905705953787,7.707605452913832e-07,0.010000000000000002,0.006300399169469109
11,10.0,0.0,0.0020003781835410527,1.2147136793316804e-05,0.0002528337448666207,1.2071830403570517e-06,0.01,0.00552555441390723
12,106.0,0.0,0.002,9.999999974752427e-07,7.631210845764664e-05,3.7709625658521875e-07,0.010000000000000007,0.006171043486184706
13,18.0,8.083044475209739e-07,0.002,9.999999974752427e-07,0.0002496841959024702,1.245920979518663e-06,0.010000000000000004,0.0068854484319066005
14,10.0,2.0679132961960005e-05,0.002,9.999999974752427e-07,0.0003196976576873567,1.5972382884399395e-06,0.01,0.0071671004698146135
15,17.0,1.0126150614597531e-05,0.002000004403679443,1.7438926939259705e-05,0.00022516919141154452,1.0412600180070119e-06,0.010000000000000004,0.006526262114715317
16,11.0,3.506221596094781e-05,0.00200029860095717,2.5828723022748498e-05,0.0002550341082764242,1.1495563380241732e-06,0.01,0.00618529919644489
17,9.0,1.6661288874434022e-05,0.0020015968998101535,5.012356042849812e-05,0.00020531998840548718,7.799821398748463e-07,0.01,0.006191763995836179
18,11.0,3.7517887183206665e-07,0.0020004815766179137,6.33024128011825e-05,0.00017209016657622722,5.474681806310186e-07,0.01,0.005826396703281824
19,15.0,0.0009206974399561332,0.002000016445405661,1.6802102501450073e-05,0.0002073827576428552,9.557604185569549e-07,0.010000000000000002,0.0071143606855046185
20,11.0,2.0732263237537078e-05,0.014392581396151375,3.101166713376562e-05,0.00012359879699087127,5.398187426622184e-07,0.01,0.004738243817187408
21,34.0,2.755790471131675e-09,0.06635789327348805,0.000136349234219324,7.965688982949359e-05,7.847371340403697e-07,0.010000000000000005,0.005470755463466048
22,45.0,0.0036712484418742614,0.0020000000000000634,3.25459752462741e-05,0.00018578428895196732,8.170038116157444e-07,0.010000000000000004,0.00910013101483677
23,21.0,0.011291520064909941,0.0020000001846599324,7.605710691307279e-06,0.00025107616784225684,1.2195745079713595e-06,0.010000000000000002,0.009470655772559068
24,8.0,0.0006616931491119659,0.002003819057518297,7.538340411526536e-05,0.00017161147115984932,4.854260494978136e-07,0.009999999999999998,0.005860953857856137
25,12.0,1.2800726847442422e-05,0.0020001210076026274,1.673439457919004e-05,0.0001353323014478115,5.963228676680249e-07,0.010000000000000002,0.005267854831698868
26,36.0,1.0889654074890302e-09,0.0020000000000083996,1.0002269513214352e-05,8.122196344456392e-05,3.5752704108171243e-07,0.010000000000000005,0.00587413505473662
27,14.0,0.0016663914980981646,0.002000027213214445,1.2604922125092343e-05,0.0001958826218469767,9.193884986018475e-07,0.010000000000000002,0.007143893232569099
28,21.0,0.00024091386326782844,0.008965551012102365,3.3129630689169667e-06,0.00013129732832129338,6.447192497152746e-07,0.010000000000000002,0.006314800957355786
29,13.0,0.0016502547402656989,0.002000115363191335,4.1503246740448e-05,0.00016914526254128615,6.4136797373306e-07,0.010000000000000002,0.007064496681682374
30,13.0,3.612538653750806e-05,0.002000000000220038,9.999999974752427e-07,0.00011054321945075092,5.508739919952476e-07,0.010000000000000002,0.005231446120887995
31,38.0,1.9668531259067325e-09,0.002,9.999999974752427e-07,7.414247288166239e-05,3.6707600078112926e-07,0.010000000000000005,0.005789754764092239
32,11.0,0.002437892882695087,0.002,9.999999974752427e-07,0.00024192652263616978,1.2081620249492677e-06,0.01,0.007093510097440551
33,34.0,3.793878610209041e-05,0.002000000000049176,2.0623698796384814e-05,9.816494589358627e-05,3.8920623548222007e-07,0.010000000000000005,0.00632935845060274
34,12.0,0.005936949822597625,0.0020002062588750933,4.4608219550607624e-05,0.0001857109570361596,7.088470207526775e-07,0.010000000000000002,0.007685720118590527
35,22.0,0.02026869907669246,0.0020000000923307342,7.369792452241849e-06,0.00022967872272212326,1.1136875084868538e-06,0.010000000000000004,0.010461284446396999
36,16.0,0.001358913165198386,0.002000007562064652,1.3873595564332804e-05,0.00011311225650636267,4.989205774305365e-07,0.010000000000000002,0.00618699612095952
37,35.0,1.4450443384179123e-07,0.07022386258170513,0.0001075137863137304,5.991394981520432e-05,6.958620144953273e-07,0.010000000000000005,0.005189117356544224
38,13.0,0.004709953546824092,0.00200029400227426,0.00010265230312861125,0.00021097267907814392,7.873441839628388e-07,0.010000000000000002,0.007628249494652999
39,26.0,0.0005678126590696539,0.0020000000126758266,2.5856996114015374e-05,8.59462860489657e-05,4.2702797985683106e-07,0.010000000000000004,0.006266985343245324
40,44.0,0.0008407879996617612,0.002,9.999999974752427e-07,0.00014376936058397406,7.150468029294644e-07,0.010000000000000004,0.007934234188869595
41,93.0,1.0171977178250216e-09,0.002,4.351961134682025e-06,9.56150559964825e-05,4.5692153491353287e-07,0.010000000000000007,0.006802465707872703
42,61.0,0.0051251447611392826,0.2528527011725781,0.0020968906696704035,0.00016615521333244657,1.1170878836194912e-05,0.010000000000000005,0.007487614437548527
43,16.0,0.004527491252459626,0.002000121584884478,0.0007757169693305018,0.00021947890838253608,3.7810410370298088e-06,0.010000000000000002,0.007506144444712184
44,36.0,0.002627385440944311,0.002,9.999999974752427e-07,0.00021642665922713821,1.0785618675732795e-06,0.010000000000000005,0.00822648625554783
45,67.0,0.000742816354870873,0.002,9.999999974752427e-07,0.0001187682618402592,5.896632270200639e-07,0.010000000000000005,0.007024234613684351
46,22.0,0.006431040657448012,0.002,9.999999974752427e-07,0.00023126384972523998,1.1534621057762707e-06,0.010000000000000004,0.008210139432256775
47,39.0,0.0036510840202317483,0.002,9.999999974752427e-07,0.00018265771800037733,9.096219233444774e-07,0.010000000000000005,0.00826434897672799
48,47.0,0.004751463099073219,0.002,9.999999974752427e-07,0.00019183772891201957,9.553207200415615e-07,0.010000000000000005,0.008210838499988587
49,88.0,0.004026193801542807,0.002,9.999999974752427e-07,0.0001348195433394644,6.697360145806748e-07,0.010000000000000007,0.008443248522606618
50,47.0,0.006436956381855686,0.002,9.999999974752427e-07,0.00033349332693862106,1.663598710174569e-06,0.010000000000000005,0.011459037002597778
51,66.0,6.079332446430251e-05,0.002,9.999999974752427e-07,0.00024860279548496084,1.2388473107686574e-06,0.010000000000000005,0.010750089080021199
52,16.0,4.4857555911319017e-07,0.002,9.999999974752427e-07,0.00023219698538344926,1.1587121996502571e-06,0.010000000000000002,0.006103838370604949
53,20.0,1.3557364386500119e-09,0.002,9.999999974752427e-07,0.0001017308783887599,5.059620842582891e-07,0.010000000000000002,0.005434822058305144
54,38.0,7.381331268236651e-14,0.002,9.999999974752427e-07,0.00010979347271958514,5.453309999707431e-07,0.010000000000000005,0.007208790153857659
55,200.0,0.007026799504761807,0.002,6.4227771780926414e-06,8.515449622985754e-05,4.219117976499679e-07,0.01,0.007138923501134715
56,24.0,0.037077593969061455,0.002,9.999999974752427e-07,0.0007440574653931738,3.7172873269734437e-06,0.010000000000000004,0.01584032589259247
57,362.0,0.009824001386908839,0.002,9.999999974752427e-07,0.00019054119138796403,9.478690004302932e-07,0.009999999999999907,0.00999286916814289
58,52.0,0.0003330069419492066,0.002,9.999999974752427e-07,0.0005083025517423862,2.5375472414805637e-06,0.010000000000000005,0.012079654293584412
59,53.0,9.229895529933305e-07,0.002,9.999999974752427e-07,0.0003089165461229425,1.540599679777311e-06,0.010000000000000005,0.00963832716599612
60,149.0,3.161625078696421e-05,0.002,1.0343437446452651e-05,0.00028701155209883805,1.3837276700351434e-06,0.010000000000000007,0.012395626126277832
61,71.0,2.5944373603532836e-06,0.002,9.999999974752427e-07,0.0003597560342243085,1.7945593919114196e-06,0.010000000000000005,0.010667086817783776
62,205.0,0.0025719978131850353,0.031993765664504556,6.242072079063266e-06,0.0001511939718464298,7.689708348242076e-07,0.009999999999999995,0.00866065421737554
63,10.0,0.007587853918762467,0.002000827537733375,1.1695692727187179e-05,0.0010661836845429207,5.2761899590692e-06,0.01,0.011520035157445818
64,154.0,1.4761272726253416e-07,0.002,9.999999974752427e-07,0.00026932016448881767,1.3419758224557653e-06,0.010000000000000007,0.010835169737401885
65,192.0,1.0413201769535039e-15,0.05561090468183234,0.0008083895117815792,0.00022340451958352604,4.909874874566743e-06,0.010000000000000007,0.01079791024529535
66,453.0,0.003814808444246472,0.04682780658055316,7.753835023051147e-06,0.0002311392555099041,1.149863764572473e-06,0.009999999999999884,0.01091959739681171
67,500.0,6.790446140210495e-27,0.002,1.979504035982691e-06,0.0002209558166239429,1.0950001400146005e-06,0.009999999999999875,0.010719902294627189
68,106.0,2.2894821646986906e-10,0.002,9.999999974752427e-07,0.00013851198739140664,6.880956512540186e-07,0.010000000000000007,0.008456648824254185
69,500.0,0.039974326071925345,0.002,8.569116781704853e-06,0.000297801094885389,1.4944326075772052e-06,0.009999999999999875,0.012656766408686286
70,13.0,0.0014546120513955958,0.002,9.999999974752427e-07,0.0001388456971893136,6.92386380688061e-07,0.010000000000000002,0.00826140610795272
71,500.0,0.012964735865349212,0.002,9.999999974752427e-07,0.0002540557739118984,1.265397870930238e-06,0.009999999999999875,0.011554480146335092
72,500.0,2.3166271986258522e-05,0.002,9.999999974752427e-07,0.00018534458987006462,9.218415264377464e-07,0.009999999999999875,0.010976437515608613
73,500.0,0.0011289231041268259,0.002,9.999999974752427e-07,0.00010816490868744036,5.359431205246251e-07,0.009999999999999875,0.008206592920133218
74,500.0,1.1263969953088983e-22,0.002,9.999999974752427e-07,0.00015303928238260232,7.603149890004348e-07,0.009999999999999875,0.009668884174014798
75,500.0,1.7200051933293766e-14,0.002,9.999999974752427e-07,0.00012508708817297705,6.205540179523085e-07,0.009999999999999875,0.00904061195666979
76,500.0,4.907542583612117e-09,0.002,9.999999974752427e-07,8.636858106918139e-05,4.2696148243333023e-07,0.009999999999999875,0.007243736586791165
77,500.0,6.6287172318528615e-06,0.002,9.999999974752427e-07,9.044790870938604e-05,4.4735812063435347e-07,0.009999999999999875,0.007477203718103145
78,500.0,0.004522430139819188,0.002,9.999999974752427e-07,0.00011466898083537255,5.68463481264286e-07,0.009999999999999875,0.008369440012224932
79,500.0,0.00014924580901784303,0.002,9.999999974752427e-07,7.177594847119978e-05,3.539983194434222e-07,0.009999999999999875,0.006716362145460642
80,500.0,3.0853623136735837e-07,0.002,9.999999974752427e-07,8.063379121055549e-05,3.9828753314020063e-07,0.009999999999999875,0.007171632621709714
81,500.0,0.005121468931443843,0.002,9.999999974752427e-07,6.132690973195149e-05,3.017531257471807e-07,0.009999999999999875,0.006176456609343292
82,500.0,0.0021541178602980057,0.002,9.999999974752427e-07,7.411027212648284e-05,3.656699377198374e-07,0.009999999999999875,0.006827545821622544
83,500.0,3.555446577344487e-17,0.002,9.999999974752427e-07,6.29977172487451e-05,3.1010716333114874e-07,0.009999999999999875,0.006091669192187959
84,500.0,1.018756402472177e-05,0.002,9.999999974752427e-07,5.31587419008653e-05,2.609122865917497e-07,0.009999999999999875,0.005669941745602743
85,500.0,4.973741049010374e-16,0.002,9.999999974752427e-07,5.8059968339358264e-05,2.8541841878421455e-07,0.009999999999999875,0.006086005546288793
86,500.0,2.797440578270867e-06,0.002,9.999999974752427e-07,8.665076960924736e-05,4.2837242513366e-07,0.009999999999999875,0.007542884340574192
87,500.0,1.0691343266882614e-07,0.002,9.999999974752427e-07,6.774363773837264e-05,3.3383676577928645e-07,0.009999999999999875,0.006617632772306002
88,500.0,6.295872075846447e-10,0.002,9.999999974752427e-07,6.662142070248944e-05,3.2822568059987045e-07,0.009999999999999875,0.006487240557919584
89,500.0,1.2448993484918906e-06,0.002,9.999999974752427e-07,5.4298025774683495e-05,2.666087059608407e-07,0.009999999999999875,0.005872248216410694
90,500.0,8.381049525243171e-07,0.002,9.999999974752427e-07,5.758840525735067e-05,2.830606033741766e-07,0.009999999999999875,0.006039635328439767
91,500.0,8.897769694379517e-05,0.002,9.999999974752427e-07,5.606510956697359e-05,2.754441249222912e-07,0.009999999999999875,0.005986898789631402
92,500.0,0.0004624566963058432,0.002,9.999999974752427e-07,4.576455192295636e-05,2.2394133670220499e-07,0.009999999999999875,0.0053863480793893805
93,500.0,5.448432507488428e-06,0.002,9.999999974752427e-07,4.610089131023659e-05,2.256230336386062e-07,0.009999999999999875,0.0052932648636076765
94,500.0,2.502249013945315e-11,0.002,9.999999974752427e-07,4.5059019369729484e-05,2.2041367393607065e-07,0.009999999999999875,0.0052895601196932375
95,500.0,1.4315353996818703e-05,0.002,9.999999974752427e-07,4.2779326596019914e-05,2.090152100675228e-07,0.009999999999999875,0.005187550656729389
96,500.0,6.64602132166669e-06,0.002,9.999999974752427e-07,4.856660593184269e-05,2.3795160674663666e-07,0.009999999999999875,0.00555873792314821
