episode,reward,unexpected_uncertainty,expected_uncertainty,mean_variance,mean_td_error_sq,mean_delta_var,mean_actor_lr,mean_abs_td
0,22.0,0.0,0.3522115597374814,0.02938512326390655,0.00014719458145177837,0.00014618964341227386,0.010000000000000002,0.0055011347177679895
1,19.0,0.0,0.14029766615432365,0.0020904660247970243,6.750294684024993e-05,1.0384137916503277e-05,0.010000000000000002,0.004067767253145576
2,12.0,0.0,0.06679169045788669,0.001465257974814449,9.665194900460645e-05,7.1918048629666174e-06,0.010000000000000002,0.004383202202411162
3,14.0,0.0,0.0020003745360801135,0.0013616873461103295,8.831077002469101e-05,6.777976384142904e-06,0.010000000000000002,0.004475008079316467
4,13.0,0.0,0.21371173880946204,0.002151281327578066,8.828596918120686e-05,1.0804007089111686e-05,0.010000000000000002,0.004696628789564497
5,24.0,0.0,0.0020000004721768875,0.0007374497910594376,6.482859031772628e-05,3.5902329958806452e-06,0.010000000000000004,0.003749076354627808
6,14.0,0.0,0.002000036532752665,2.1258548116520615e-05,7.683651656407165e-05,2.8088984223018086e-07,0.010000000000000002,0.0038980566430836918
7,27.0,0.0,0.0020000000000000044,9.999999974752427e-07,8.679424062200158e-05,4.3078938493622313e-07,0.010000000000000004,0.0053408238260696335
8,17.0,0.0,0.1675449098660528,0.0009665106782429813,0.00010348330903545265,4.9364637842917664e-06,0.010000000000000004,0.005070054498703584
9,16.0,0.0,0.1311277171125396,0.001756010951846127,0.00010950193675605327,8.50716746552652e-06,0.010000000000000002,0.004812632772055539
10,16.0,0.0,0.002000086923610984,0.0006416989735178256,0.00010672464395611314,2.947192729850072e-06,0.010000000000000002,0.004222619294358248
11,38.0,0.0,0.024596515154649827,0.0001877473018871776,6.29188577725224e-05,1.1337028789558768e-06,0.010000000000000005,0.004935703811828385
12,31.0,0.0,0.0020000000011086384,0.000118299178617186,9.39994189212558e-05,6.260909045473405e-07,0.010000000000000004,0.0056589277259804106
13,19.0,0.0,0.027581148874645797,2.9222299017419572e-05,0.0001474688892631093,8.567860536459193e-07,0.010000000000000002,0.0058676845394074915
14,22.0,0.0,0.02156911067144585,0.0001500213279622845,0.00015273239010379517,5.61150983823414e-07,0.010000000000000004,0.006051939903824989
15,25.0,0.0,0.0020000000444864705,4.998805586124476e-05,0.000143875762836204,4.713740187408773e-07,0.010000000000000004,0.006386433472676623
16,16.0,0.0,0.0020000000000000104,9.999999974752427e-07,0.00016473444313967113,8.213994884313665e-07,0.010000000000000002,0.00573050694286146
17,19.0,0.0,0.14301049549854417,0.0006984713798919984,0.00015635241034033242,3.6134787575065275e-06,0.010000000000000002,0.006744389291852713
18,12.0,0.0016408126917378597,0.002001645873729618,0.0011887823340670264,0.0002648242686215478,6.179010862644595e-06,0.010000000000000002,0.007747094302127759
19,77.0,1.943282946716558e-11,0.03469162543170684,0.00047326567544242134,6.313469303534815e-05,2.511811329209633e-06,0.010000000000000005,0.005342363455635776
20,31.0,8.534665883204966e-05,0.002000000000892484,5.812542023606413e-05,0.00019645077761221751,6.932484084982944e-07,0.010000000000000004,0.00700638908263598
21,19.0,2.84164144055586e-06,0.002,9.999999974752427e-07,0.00014001873874804006,6.974936937467647e-07,0.010000000000000002,0.00511616743169725
22,13.0,4.0952369064985423e-08,0.019244103641140816,4.807322548123537e-05,0.0001775319599944755,8.053048885944678e-07,0.010000000000000002,0.005374211352318525
23,16.0,3.0217514854155494e-10,0.0020000153156660553,2.8232462439477373e-05,0.00013598406051394042,5.414852630927023e-07,0.010000000000000002,0.005243358689106323
24,23.0,2.730236635221474e-05,0.0020000000642389974,1.2442901810698395e-05,0.00010633023427136981,4.7150562781537486e-07,0.010000000000000004,0.005939537900146739
25,20.0,0.0015014640767868767,0.002000000550459931,1.5542127676746113e-05,0.00013320055670472077,5.905998374417393e-07,0.010000000000000002,0.006511728136012187
26,17.0,2.5733994815453938e-05,0.0020000000000000655,9.999999974752427e-07,0.0001327528511667523,6.613729514919729e-07,0.010000000000000004,0.005455705337226391
27,99.0,0.0018882766015883693,0.0026984741828339474,0.0004918255040192456,8.480335542290482e-05,2.6820377091997306e-06,0.010000000000000007,0.0064866160885209126
28,26.0,0.03539762085661418,0.0020000000115274956,2.113932158565035e-05,0.0006394659136503833,3.093507960318931e-06,0.010000000000000004,0.015360779536422342
29,35.0,0.00046081547805956177,0.002,9.999999974752427e-07,0.00015295283331552792,7.61227581220715e-07,0.010000000000000005,0.0071204580571048144
30,27.0,1.1083575516433437e-06,0.05250392947780164,0.0001394116135453728,0.00015403494547750927,1.1396467301389722e-06,0.010000000000000004,0.0058500516284821615
31,50.0,0.002532911606286962,0.0020000000000000026,7.522416002002177e-05,0.00012095064763733327,5.260537034347733e-07,0.010000000000000005,0.006858457274834758
32,15.0,0.014071350748589057,0.002,9.999999974752427e-07,0.000405374821552652,2.024731250625813e-06,0.010000000000000002,0.010047004868586859
33,35.0,0.000546766928383779,0.04573687775531705,6.299954966324572e-05,0.0001947535821029039,1.1334627704372463e-06,0.010000000000000005,0.00823897020550581
34,65.0,0.0002182813192929652,0.002,9.213292115342022e-05,0.00014783388572871278,8.9634122827205e-07,0.010000000000000005,0.00843574492339517
35,81.0,0.0005561783059718332,0.047837272314498774,2.1788839505681045e-05,0.0002931220820421171,1.5531329664154643e-06,0.010000000000000007,0.010997228897123158
36,17.0,0.012835621219071012,0.0020000176443863236,0.00011891674574579393,0.0004084222104132135,1.4501360189826856e-06,0.010000000000000004,0.010918496783984743
37,49.0,0.00027112804568791996,0.10593481831219986,0.00018410082524992916,0.00023198657214710362,1.8816130489292185e-06,0.010000000000000005,0.010002193837003275
38,73.0,0.00018570736792540498,0.002,0.00022039489210006258,0.00020558856455483947,1.8828119654319634e-06,0.010000000000000005,0.010548944803119837
39,102.0,1.791820871300794e-10,0.0055066051446616745,0.0014364487097743171,0.000137421023231986,7.681514014192485e-06,0.010000000000000007,0.007841321232262999
