episode,reward,unexpected_uncertainty,expected_uncertainty,mean_variance,mean_td_error_sq,mean_delta_var,mean_actor_lr,mean_abs_td
0,25.0,0.0,0.3180698864162021,0.026495230880876384,0.00011913806732385031,0.00013188046406776267,0.010000000000000004,0.005118863439808289
1,18.0,0.0,0.0634596204930501,0.0015117299120295986,8.754923464948661e-05,7.347795704125323e-06,0.010000000000000004,0.00465973400666068
2,20.0,0.0,0.3077245521021438,0.004804843133443298,8.404237618938518e-05,2.3832644947302783e-05,0.010000000000000002,0.00506803450676111
3,12.0,0.0,0.146165098471914,0.002321671649364513,0.00010576780272862784,1.1392881633614455e-05,0.010000000000000002,0.004246786896449824
4,9.0,0.0,0.05477567582044194,0.0018530726056345279,9.827384346863254e-05,8.99785589729163e-06,0.01,0.004086388368159532
5,13.0,0.0,0.04866749152930709,0.0012058544997623692,8.059458205503975e-05,5.798105117408245e-06,0.010000000000000002,0.0036051507279472915
6,14.0,0.0,0.0020002714648850667,0.0007208544339334822,7.112720795703354e-05,3.5491946543118044e-06,0.010000000000000002,0.004238613741472363
7,17.0,0.0,0.0020000168656971744,0.00022472122603413362,7.923126672128843e-05,1.0225167403385295e-06,0.010000000000000004,0.0042918592731913795
8,38.0,0.0,0.00200000000000429,3.507985539386027e-05,7.04378311928105e-05,2.9425210813242714e-07,0.010000000000000005,0.005136409515133974
9,18.0,0.0,0.1950521522844411,0.0012752440780208947,0.00010043043281863599,6.687718120896117e-06,0.010000000000000004,0.004768901155330241
10,39.0,0.0,0.0020000000000135712,0.0004567946957245618,9.0716197195838e-05,2.4155040104637416e-06,0.010000000000000005,0.005806647230767541
11,14.0,0.0,0.002000156405959449,0.0003454146717956519,0.0001442643831978785,1.4436826683379423e-06,0.010000000000000002,0.005034731421619654
12,28.0,0.0,0.002000000000000009,9.999999974752427e-07,0.00013690799930961528,6.813047024385977e-07,0.010000000000000004,0.007239188670235521
13,18.0,0.0,0.008965551012102162,3.6020834528471823e-06,0.00019099065745346402,9.408337678233163e-07,0.010000000000000004,0.006785111841357623
