run,seed,type,late_reward,n_rows
10_classic,10,classic,19274.000000,10000
10_flagship,10,ACE,514937.000000,10000
11_classic,11,classic,19327.000000,10000
11_flagship,11,ACE,356707.000000,10000
1234_classic,1234,classic,1539905.000000,20000
1234_flagship,1234,ACE,126271.000000,15000
1234_spike,1234,spike,92478.000000,15000
12_classic,12,classic,19477.000000,10000
12_flagship,12,ACE,180716.000000,10000
13_classic,13,classic,19462.000000,10000
13_flagship,13,ACE,352459.000000,10000
14_classic,14,classic,19370.000000,10000
14_flagship,14,ACE,305269.000000,10000
15_classic,15,classic,19371.000000,10000
15_flagship,15,ACE,460177.000000,10000
16_classic,16,classic,19587.000000,10000
16_flagship,16,ACE,186141.000000,10000
17_classic,17,classic,19227.000000,10000
17_flagship,17,ACE,562245.000000,10000
18_classic,18,classic,19295.000000,10000
18_flagship,18,ACE,194344.000000,10000
19_classic,19,classic,19483.000000,10000
19_flagship,19,ACE,348168.000000,10000
1_classic,1,classic,19545.000000,10000
1_flagship,1,ACE,379470.000000,10000
20_classic,20,classic,19317.000000,10000
20_flagship,20,ACE,355701.000000,10000
2_classic,2,classic,19428.000000,10000
2_flagship,2,ACE,455219.000000,10000
3_classic,3,classic,19385.000000,10000
3_flagship,3,ACE,517963.000000,10000
4_classic,4,classic,19558.000000,10000
4_flagship,4,ACE,523179.000000,10000
5_classic,5,classic,19235.000000,10000
5_flagship,5,ACE,403286.000000,10000
6_classic,6,classic,19545.000000,10000
6_flagship,6,ACE,355969.000000,10000
7_classic,7,classic,19702.000000,10000
7_flagship,7,ACE,595688.000000,10000
8_classic,8,classic,19193.000000,10000
8_flagship,8,ACE,241198.000000,10000
9_classic,9,classic,19501.000000,10000
9_flagship,9,ACE,249512.000000,10000
