run,seed,type,total_reward,n_rows
10_classic,10,classic,909617.000000,10000
10_flagship,10,ACE,1960998.000000,10000
11_classic,11,classic,819190.000000,10000
11_flagship,11,ACE,1354533.000000,10000
1234_classic,1234,classic,3359321.000000,20000
1234_flagship,1234,ACE,661903.000000,15000
1234_spike,1234,spike,845347.000000,15000
12_classic,12,classic,779998.000000,10000
12_flagship,12,ACE,1016699.000000,10000
13_classic,13,classic,1138273.000000,10000
13_flagship,13,ACE,1497273.000000,10000
14_classic,14,classic,736000.000000,10000
14_flagship,14,ACE,1221378.000000,10000
15_classic,15,classic,725292.000000,10000
15_flagship,15,ACE,1455520.000000,10000
16_classic,16,classic,734948.000000,10000
16_flagship,16,ACE,1015203.000000,10000
17_classic,17,classic,902805.000000,10000
17_flagship,17,ACE,1624011.000000,10000
18_classic,18,classic,942902.000000,10000
18_flagship,18,ACE,1032387.000000,10000
19_classic,19,classic,1040176.000000,10000
19_flagship,19,ACE,1853694.000000,10000
1_classic,1,classic,879947.000000,10000
1_flagship,1,ACE,1474578.000000,10000
20_classic,20,classic,1030931.000000,10000
20_flagship,20,ACE,1372579.000000,10000
2_classic,2,classic,848611.000000,10000
2_flagship,2,ACE,1666283.000000,10000
3_classic,3,classic,790970.000000,10000
3_flagship,3,ACE,1817089.000000,10000
4_classic,4,classic,840495.000000,10000
4_flagship,4,ACE,1797272.000000,10000
5_classic,5,classic,975907.000000,10000
5_flagship,5,ACE,1654211.000000,10000
6_classic,6,classic,834162.000000,10000
6_flagship,6,ACE,1416983.000000,10000
7_classic,7,classic,1032867.000000,10000
7_flagship,7,ACE,2075604.000000,10000
8_classic,8,classic,662850.000000,10000
8_flagship,8,ACE,1066735.000000,10000
9_classic,9,classic,1116500.000000,10000
9_flagship,9,ACE,1386885.000000,10000
