10: Ret: -174.40; Last 100 Avg Ret: -213.85; Var: 0.00192530; NE: 1.142; ACh: 0.597; ActLR: 0.00006250; EpCount0: 1; Solved: N
20: Ret: -144.87; Last 100 Avg Ret: -242.57; Var: 0.00199305; NE: 1.142; ACh: 0.599; ActLR: 0.00006250; EpCount0: 2; Solved: N
30: Ret: -193.17; Last 100 Avg Ret: -272.58; Var: 0.00304750; NE: 1.142; ACh: 0.624; ActLR: 0.00006250; EpCount0: 2; Solved: N
40: Ret: -342.84; Last 100 Avg Ret: -276.00; Var: 0.00192098; NE: 1.142; ACh: 0.597; ActLR: 0.00006250; EpCount0: 3; Solved: N
50: Ret: -338.70; Last 100 Avg Ret: -277.02; Var: 0.00337717; NE: 1.142; ACh: 0.631; ActLR: 0.00006250; EpCount0: 3; Solved: N
60: Ret: -69.79; Last 100 Avg Ret: -264.54; Var: 0.00115737; NE: 1.142; ACh: 0.573; ActLR: 0.00006250; EpCount0: 4; Solved: N
70: Ret: -251.80; Last 100 Avg Ret: -263.42; Var: 0.00349190; NE: 1.142; ACh: 0.633; ActLR: 0.00006250; EpCount0: 5; Solved: N
80: Ret: -168.40; Last 100 Avg Ret: -254.15; Var: 0.00204322; NE: 1.142; ACh: 0.600; ActLR: 0.00006250; EpCount0: 5; Solved: N
90: Ret: -348.06; Last 100 Avg Ret: -254.32; Var: 0.00076292; NE: 1.142; ACh: 0.557; ActLR: 0.00006250; EpCount0: 6; Solved: N
100: Ret: -76.35; Last 100 Avg Ret: -254.38; Var: 0.00326671; NE: 1.142; ACh: 0.629; ActLR: 0.00006250; EpCount0: 7; Solved: N
110: Ret: -72.84; Last 100 Avg Ret: -244.80; Var: 0.00124905; NE: 1.142; ACh: 0.576; ActLR: 0.00006250; EpCount0: 7; Solved: N
120: Ret: -289.28; Last 100 Avg Ret: -242.15; Var: 0.00101788; NE: 1.142; ACh: 0.568; ActLR: 0.00006250; EpCount0: 8; Solved: N
130: Ret: -120.57; Last 100 Avg Ret: -237.99; Var: 0.00076376; NE: 1.142; ACh: 0.557; ActLR: 0.00006250; EpCount0: 9; Solved: N
140: Ret: -263.25; Last 100 Avg Ret: -229.93; Var: 0.00019512; NE: 1.144; ACh: 0.523; ActLR: 0.00006250; EpCount0: 10; Solved: N
150: Ret: -62.50; Last 100 Avg Ret: -216.67; Var: 0.00332422; NE: 1.142; ACh: 0.630; ActLR: 0.00006250; EpCount0: 11; Solved: N
160: Ret: -249.57; Last 100 Avg Ret: -206.90; Var: 0.00064621; NE: 1.143; ACh: 0.552; ActLR: 0.00006250; EpCount0: 11; Solved: N
170: Ret: -19.98; Last 100 Avg Ret: -198.69; Var: 0.00072646; NE: 1.144; ACh: 0.555; ActLR: 0.00006250; EpCount0: 12; Solved: N
180: Ret: -131.80; Last 100 Avg Ret: -200.02; Var: 0.00052986; NE: 1.142; ACh: 0.545; ActLR: 0.00006250; EpCount0: 13; Solved: N
190: Ret: -245.08; Last 100 Avg Ret: -202.16; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 14; Solved: N
200: Ret: -202.16; Last 100 Avg Ret: -194.87; Var: 0.00152690; NE: 1.142; ACh: 0.585; ActLR: 0.00006250; EpCount0: 14; Solved: N
210: Ret: -105.11; Last 100 Avg Ret: -200.07; Var: 0.00071999; NE: 1.143; ACh: 0.555; ActLR: 0.00006250; EpCount0: 15; Solved: N
220: Ret: -30.33; Last 100 Avg Ret: -189.32; Var: 0.00001710; NE: 1.142; ACh: 0.498; ActLR: 0.00006250; EpCount0: 16; Solved: N
230: Ret: -290.76; Last 100 Avg Ret: -171.16; Var: 0.00148778; NE: 1.142; ACh: 0.584; ActLR: 0.00006250; EpCount0: 16; Solved: N
240: Ret: -83.29; Last 100 Avg Ret: -166.72; Var: 0.00025377; NE: 1.144; ACh: 0.528; ActLR: 0.00006250; EpCount0: 17; Solved: N
250: Ret: -67.95; Last 100 Avg Ret: -170.60; Var: 0.00015752; NE: 1.143; ACh: 0.519; ActLR: 0.00006250; EpCount0: 18; Solved: N
260: Ret: -218.36; Last 100 Avg Ret: -177.01; Var: 0.00028768; NE: 1.144; ACh: 0.530; ActLR: 0.00006250; EpCount0: 19; Solved: N
270: Ret: -51.93; Last 100 Avg Ret: -178.59; Var: 0.00143016; NE: 1.142; ACh: 0.582; ActLR: 0.00006250; EpCount0: 19; Solved: N
280: Ret: -165.42; Last 100 Avg Ret: -175.64; Var: 0.00043455; NE: 1.144; ACh: 0.540; ActLR: 0.00006250; EpCount0: 20; Solved: N
290: Ret: -334.99; Last 100 Avg Ret: -165.35; Var: 0.00020235; NE: 1.144; ACh: 0.523; ActLR: 0.00006250; EpCount0: 21; Solved: N
300: Ret: -120.01; Last 100 Avg Ret: -161.34; Var: 0.00056809; NE: 1.142; ACh: 0.548; ActLR: 0.00006250; EpCount0: 21; Solved: N
310: Ret: -212.72; Last 100 Avg Ret: -156.01; Var: 0.00032554; NE: 1.142; ACh: 0.533; ActLR: 0.00006250; EpCount0: 22; Solved: N
320: Ret: -2.89; Last 100 Avg Ret: -152.56; Var: 0.00057859; NE: 1.143; ACh: 0.548; ActLR: 0.00006250; EpCount0: 23; Solved: N
330: Ret: -152.14; Last 100 Avg Ret: -158.39; Var: 0.00197418; NE: 1.142; ACh: 0.599; ActLR: 0.00006250; EpCount0: 24; Solved: N
340: Ret: -65.99; Last 100 Avg Ret: -152.93; Var: 0.00118978; NE: 1.142; ACh: 0.574; ActLR: 0.00006250; EpCount0: 24; Solved: N
350: Ret: -73.54; Last 100 Avg Ret: -138.59; Var: 0.00020206; NE: 1.142; ACh: 0.523; ActLR: 0.00006250; EpCount0: 25; Solved: N
360: Ret: 8.61; Last 100 Avg Ret: -132.09; Var: 0.00077478; NE: 1.142; ACh: 0.558; ActLR: 0.00006250; EpCount0: 26; Solved: N
370: Ret: -101.12; Last 100 Avg Ret: -119.29; Var: 0.00140147; NE: 1.145; ACh: 0.581; ActLR: 0.00006250; EpCount0: 26; Solved: N
380: Ret: -169.79; Last 100 Avg Ret: -108.42; Var: 0.00072833; NE: 1.142; ACh: 0.555; ActLR: 0.00006250; EpCount0: 26; Solved: N
390: Ret: -196.01; Last 100 Avg Ret: -100.60; Var: 0.00121058; NE: 1.142; ACh: 0.575; ActLR: 0.00006250; EpCount0: 26; Solved: N
400: Ret: -133.76; Last 100 Avg Ret: -93.14; Var: 0.00031429; NE: 1.142; ACh: 0.532; ActLR: 0.00006250; EpCount0: 26; Solved: N
410: Ret: -163.39; Last 100 Avg Ret: -92.33; Var: 0.00069733; NE: 1.142; ACh: 0.554; ActLR: 0.00006250; EpCount0: 26; Solved: N
420: Ret: -69.11; Last 100 Avg Ret: -87.98; Var: 0.00063772; NE: 1.142; ACh: 0.551; ActLR: 0.00006250; EpCount0: 26; Solved: N
430: Ret: -165.33; Last 100 Avg Ret: -80.44; Var: 0.00064271; NE: 1.142; ACh: 0.551; ActLR: 0.00006250; EpCount0: 26; Solved: N
440: Ret: -45.61; Last 100 Avg Ret: -75.87; Var: 0.00090944; NE: 1.144; ACh: 0.563; ActLR: 0.00006250; EpCount0: 27; Solved: N
450: Ret: -284.16; Last 100 Avg Ret: -77.81; Var: 0.00057122; NE: 1.143; ACh: 0.548; ActLR: 0.00006250; EpCount0: 27; Solved: N
460: Ret: -49.77; Last 100 Avg Ret: -71.94; Var: 0.00093129; NE: 1.142; ACh: 0.564; ActLR: 0.00006250; EpCount0: 28; Solved: N
470: Ret: -193.90; Last 100 Avg Ret: -73.31; Var: 0.00146177; NE: 1.142; ACh: 0.583; ActLR: 0.00006250; EpCount0: 28; Solved: N
480: Ret: -46.06; Last 100 Avg Ret: -74.60; Var: 0.00043063; NE: 1.142; ACh: 0.540; ActLR: 0.00006250; EpCount0: 29; Solved: N
490: Ret: -56.07; Last 100 Avg Ret: -72.47; Var: 0.00014785; NE: 1.142; ACh: 0.518; ActLR: 0.00006250; EpCount0: 30; Solved: N
500: Ret: -146.51; Last 100 Avg Ret: -69.65; Var: 0.00144508; NE: 1.145; ACh: 0.583; ActLR: 0.00006250; EpCount0: 31; Solved: N
510: Ret: -24.53; Last 100 Avg Ret: -71.25; Var: 0.00087891; NE: 1.142; ACh: 0.562; ActLR: 0.00006250; EpCount0: 32; Solved: N
520: Ret: 185.16; Last 100 Avg Ret: -68.38; Var: 0.00141407; NE: 1.143; ACh: 0.582; ActLR: 0.00006250; EpCount0: 33; Solved: N
530: Ret: -33.03; Last 100 Avg Ret: -57.95; Var: 0.00080197; NE: 1.142; ACh: 0.559; ActLR: 0.00006250; EpCount0: 33; Solved: N
540: Ret: -71.64; Last 100 Avg Ret: -58.24; Var: 0.00025310; NE: 1.142; ACh: 0.528; ActLR: 0.00006250; EpCount0: 34; Solved: N
550: Ret: -22.87; Last 100 Avg Ret: -53.38; Var: 0.00035154; NE: 1.150; ACh: 0.535; ActLR: 0.00006250; EpCount0: 35; Solved: N
560: Ret: -11.62; Last 100 Avg Ret: -53.24; Var: 0.00177429; NE: 1.142; ACh: 0.593; ActLR: 0.00006250; EpCount0: 36; Solved: N
570: Ret: -36.07; Last 100 Avg Ret: -46.74; Var: 0.00075990; NE: 1.142; ACh: 0.557; ActLR: 0.00006250; EpCount0: 36; Solved: N
580: Ret: -153.20; Last 100 Avg Ret: -48.34; Var: 0.00060331; NE: 1.142; ACh: 0.549; ActLR: 0.00006250; EpCount0: 37; Solved: N
590: Ret: -9.16; Last 100 Avg Ret: -48.33; Var: 0.00009252; NE: 1.142; ACh: 0.512; ActLR: 0.00006250; EpCount0: 37; Solved: N
600: Ret: -101.99; Last 100 Avg Ret: -47.39; Var: 0.00019628; NE: 1.142; ACh: 0.523; ActLR: 0.00006250; EpCount0: 37; Solved: N
610: Ret: -26.29; Last 100 Avg Ret: -30.52; Var: 0.00042057; NE: 1.142; ACh: 0.539; ActLR: 0.00006250; EpCount0: 37; Solved: N
620: Ret: 192.63; Last 100 Avg Ret: -28.47; Var: 0.00032649; NE: 1.142; ACh: 0.533; ActLR: 0.00006250; EpCount0: 37; Solved: N
630: Ret: 61.75; Last 100 Avg Ret: -31.30; Var: 0.00083308; NE: 1.143; ACh: 0.560; ActLR: 0.00006250; EpCount0: 38; Solved: N
640: Ret: -7.88; Last 100 Avg Ret: -26.42; Var: 0.00118560; NE: 1.145; ACh: 0.574; ActLR: 0.00006250; EpCount0: 40; Solved: N
650: Ret: -36.20; Last 100 Avg Ret: -23.74; Var: 0.00041784; NE: 1.142; ACh: 0.539; ActLR: 0.00006250; EpCount0: 41; Solved: N
660: Ret: -16.76; Last 100 Avg Ret: -15.39; Var: 0.00032741; NE: 1.142; ACh: 0.533; ActLR: 0.00006250; EpCount0: 41; Solved: N
670: Ret: -11.29; Last 100 Avg Ret: -7.50; Var: 0.00031294; NE: 1.143; ACh: 0.532; ActLR: 0.00006250; EpCount0: 42; Solved: N
680: Ret: -4.69; Last 100 Avg Ret: -1.33; Var: 0.00130084; NE: 1.143; ACh: 0.578; ActLR: 0.00006250; EpCount0: 43; Solved: N
690: Ret: 105.08; Last 100 Avg Ret: 11.47; Var: 0.00047401; NE: 1.142; ACh: 0.542; ActLR: 0.00006250; EpCount0: 43; Solved: N
700: Ret: 23.26; Last 100 Avg Ret: 19.87; Var: 0.00012387; NE: 1.142; ACh: 0.516; ActLR: 0.00006250; EpCount0: 43; Solved: N
710: Ret: -57.53; Last 100 Avg Ret: 20.89; Var: 0.00044810; NE: 1.142; ACh: 0.541; ActLR: 0.00006250; EpCount0: 43; Solved: N
720: Ret: -121.93; Last 100 Avg Ret: 24.04; Var: 0.00052125; NE: 1.148; ACh: 0.545; ActLR: 0.00006250; EpCount0: 44; Solved: N
730: Ret: -38.58; Last 100 Avg Ret: 26.47; Var: 0.00084812; NE: 1.142; ACh: 0.561; ActLR: 0.00006250; EpCount0: 45; Solved: N
740: Ret: 120.10; Last 100 Avg Ret: 31.79; Var: 0.00031927; NE: 1.142; ACh: 0.533; ActLR: 0.00006250; EpCount0: 45; Solved: N
750: Ret: -62.34; Last 100 Avg Ret: 30.40; Var: 0.00039151; NE: 1.142; ACh: 0.537; ActLR: 0.00006250; EpCount0: 45; Solved: N
760: Ret: -310.92; Last 100 Avg Ret: 24.48; Var: 0.00057740; NE: 1.144; ACh: 0.548; ActLR: 0.00006250; EpCount0: 46; Solved: N
770: Ret: -54.14; Last 100 Avg Ret: 16.08; Var: 0.00090575; NE: 1.142; ACh: 0.563; ActLR: 0.00006250; EpCount0: 47; Solved: N
780: Ret: 159.04; Last 100 Avg Ret: 25.42; Var: 0.00010354; NE: 1.142; ACh: 0.513; ActLR: 0.00006250; EpCount0: 48; Solved: N
790: Ret: 115.11; Last 100 Avg Ret: 21.26; Var: 0.00062821; NE: 1.143; ACh: 0.551; ActLR: 0.00006250; EpCount0: 48; Solved: N
800: Ret: -68.45; Last 100 Avg Ret: 18.37; Var: 0.00101872; NE: 1.144; ACh: 0.568; ActLR: 0.00006250; EpCount0: 49; Solved: N
810: Ret: 143.11; Last 100 Avg Ret: 11.53; Var: 0.00014668; NE: 1.142; ACh: 0.518; ActLR: 0.00006250; EpCount0: 49; Solved: N
820: Ret: 99.32; Last 100 Avg Ret: 12.93; Var: 0.00009755; NE: 1.142; ACh: 0.512; ActLR: 0.00006250; EpCount0: 49; Solved: N
830: Ret: 253.39; Last 100 Avg Ret: 22.04; Var: 0.00037910; NE: 1.142; ACh: 0.537; ActLR: 0.00006250; EpCount0: 50; Solved: N
840: Ret: 215.43; Last 100 Avg Ret: 36.22; Var: 0.00010385; NE: 1.142; ACh: 0.513; ActLR: 0.00006250; EpCount0: 50; Solved: N
850: Ret: 17.10; Last 100 Avg Ret: 43.31; Var: 0.00078525; NE: 1.142; ACh: 0.558; ActLR: 0.00006250; EpCount0: 52; Solved: N
860: Ret: 226.75; Last 100 Avg Ret: 52.74; Var: 0.00005144; NE: 1.142; ACh: 0.506; ActLR: 0.00006250; EpCount0: 52; Solved: N
870: Ret: 36.00; Last 100 Avg Ret: 58.47; Var: 0.00060122; NE: 1.142; ACh: 0.549; ActLR: 0.00006250; EpCount0: 53; Solved: N
880: Ret: -13.27; Last 100 Avg Ret: 62.40; Var: 0.00068420; NE: 1.142; ACh: 0.553; ActLR: 0.00006250; EpCount0: 54; Solved: N
890: Ret: 254.85; Last 100 Avg Ret: 68.67; Var: 0.00047289; NE: 1.142; ACh: 0.542; ActLR: 0.00006250; EpCount0: 55; Solved: N
900: Ret: 244.24; Last 100 Avg Ret: 71.37; Var: 0.00060953; NE: 1.142; ACh: 0.550; ActLR: 0.00006250; EpCount0: 56; Solved: N
910: Ret: -229.03; Last 100 Avg Ret: 72.96; Var: 0.00111119; NE: 1.142; ACh: 0.571; ActLR: 0.00006250; EpCount0: 58; Solved: N
920: Ret: -27.66; Last 100 Avg Ret: 70.40; Var: 0.00052394; NE: 1.142; ACh: 0.545; ActLR: 0.00006250; EpCount0: 58; Solved: N
930: Ret: 197.91; Last 100 Avg Ret: 68.27; Var: 0.00076772; NE: 1.143; ACh: 0.557; ActLR: 0.00006250; EpCount0: 59; Solved: N
940: Ret: 256.07; Last 100 Avg Ret: 61.50; Var: 0.00053828; NE: 1.142; ACh: 0.546; ActLR: 0.00006250; EpCount0: 60; Solved: N
950: Ret: -7.36; Last 100 Avg Ret: 62.57; Var: 0.00021112; NE: 1.142; ACh: 0.524; ActLR: 0.00006250; EpCount0: 60; Solved: N
960: Ret: -30.20; Last 100 Avg Ret: 61.63; Var: 0.00090273; NE: 1.142; ACh: 0.563; ActLR: 0.00006250; EpCount0: 61; Solved: N
970: Ret: 12.48; Last 100 Avg Ret: 70.04; Var: 0.00052493; NE: 1.142; ACh: 0.545; ActLR: 0.00006250; EpCount0: 62; Solved: N
