Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
10: Ret: -68.30; Last 100 Avg Ret: -111.94; Var: 0.00260393; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
20: Ret: -76.97; Last 100 Avg Ret: -148.15; Var: 0.00185216; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
30: Ret: -168.57; Last 100 Avg Ret: -167.24; Var: 0.00261782; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
40: Ret: -483.08; Last 100 Avg Ret: -177.39; Var: 0.00247030; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
50: Ret: -70.92; Last 100 Avg Ret: -173.55; Var: 0.00341486; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
60: Ret: -155.25; Last 100 Avg Ret: -182.44; Var: 0.00128198; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
70: Ret: -218.96; Last 100 Avg Ret: -189.52; Var: 0.00142108; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
80: Ret: -174.86; Last 100 Avg Ret: -182.91; Var: 0.00192353; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
90: Ret: -108.41; Last 100 Avg Ret: -184.21; Var: 0.00092091; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
100: Ret: -214.42; Last 100 Avg Ret: -185.08; Var: 0.00422001; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
110: Ret: -333.00; Last 100 Avg Ret: -189.20; Var: 0.00130940; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
120: Ret: -275.82; Last 100 Avg Ret: -187.71; Var: 0.00193512; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
130: Ret: -83.86; Last 100 Avg Ret: -183.01; Var: 0.00115726; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
140: Ret: -325.25; Last 100 Avg Ret: -186.87; Var: 0.00057883; NE: 1.144; ACh: 0.000; ActLR: 0.00006250; Solved: N
150: Ret: -62.98; Last 100 Avg Ret: -186.40; Var: 0.00387906; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
160: Ret: -122.84; Last 100 Avg Ret: -183.24; Var: 0.00097033; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
170: Ret: -389.33; Last 100 Avg Ret: -185.57; Var: 0.00205369; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
180: Ret: -284.16; Last 100 Avg Ret: -188.58; Var: 0.00110783; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
190: Ret: -136.00; Last 100 Avg Ret: -182.23; Var: 0.00452501; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
200: Ret: -190.64; Last 100 Avg Ret: -175.12; Var: 0.00170047; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
210: Ret: -251.98; Last 100 Avg Ret: -178.30; Var: 0.00069839; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
