Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
/Users/a../Desktop/Icarus/.venv-tdstdp/lib/python3.11/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
CUDA not available; falling back to CPU.
Input shape: (16, 17)
Initializing ll_std network..
10: Ret: -24.06; Last 100 Avg Ret: -126.78; Var: 0.00080985; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
20: Ret: -139.07; Last 100 Avg Ret: -189.36; Var: 0.00175683; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
30: Ret: -93.99; Last 100 Avg Ret: -186.51; Var: 0.00265706; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
40: Ret: -88.27; Last 100 Avg Ret: -193.30; Var: 0.00142627; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
50: Ret: -82.37; Last 100 Avg Ret: -192.85; Var: 0.00247799; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
60: Ret: -147.71; Last 100 Avg Ret: -189.35; Var: 0.00172480; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
70: Ret: -98.76; Last 100 Avg Ret: -184.43; Var: 0.00095043; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
80: Ret: -133.57; Last 100 Avg Ret: -178.43; Var: 0.00135732; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
90: Ret: -160.35; Last 100 Avg Ret: -172.88; Var: 0.00138801; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
100: Ret: -146.40; Last 100 Avg Ret: -175.12; Var: 0.00087318; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
110: Ret: -406.63; Last 100 Avg Ret: -193.91; Var: 0.00115437; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
120: Ret: -85.44; Last 100 Avg Ret: -188.24; Var: 0.00117390; NE: 1.143; ACh: 0.000; ActLR: 0.00006250; Solved: N
130: Ret: -185.38; Last 100 Avg Ret: -184.56; Var: 0.00204735; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
140: Ret: -65.19; Last 100 Avg Ret: -180.06; Var: 0.00125434; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
150: Ret: -338.63; Last 100 Avg Ret: -177.40; Var: 0.00388861; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
160: Ret: -192.99; Last 100 Avg Ret: -179.19; Var: 0.00147059; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
170: Ret: -116.99; Last 100 Avg Ret: -177.28; Var: 0.00094594; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
180: Ret: -100.51; Last 100 Avg Ret: -174.92; Var: 0.00160916; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
