1: Ret: -138.97; Last 100 Avg Ret: -138.97; Var: 0.00241408; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
2: Ret: -166.92; Last 100 Avg Ret: -152.94; Var: 0.00225898; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
3: Ret: -98.42; Last 100 Avg Ret: -134.77; Var: 0.00213655; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
4: Ret: -76.53; Last 100 Avg Ret: -120.21; Var: 0.00198598; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
5: Ret: -422.05; Last 100 Avg Ret: -180.58; Var: 0.00193879; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
6: Ret: -220.19; Last 100 Avg Ret: -187.18; Var: 0.00193423; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
7: Ret: -235.90; Last 100 Avg Ret: -194.14; Var: 0.00008174; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
8: Ret: -325.56; Last 100 Avg Ret: -210.57; Var: 0.00053510; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
9: Ret: -401.77; Last 100 Avg Ret: -231.81; Var: 0.00069228; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
10: Ret: -289.06; Last 100 Avg Ret: -237.54; Var: 0.00078703; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
11: Ret: -271.58; Last 100 Avg Ret: -240.63; Var: 0.00088992; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
12: Ret: -77.93; Last 100 Avg Ret: -227.07; Var: 0.00111488; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
13: Ret: -111.27; Last 100 Avg Ret: -218.17; Var: 0.00166188; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
14: Ret: -318.94; Last 100 Avg Ret: -225.36; Var: 0.00177998; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
15: Ret: -126.60; Last 100 Avg Ret: -218.78; Var: 0.00201621; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
16: Ret: -115.48; Last 100 Avg Ret: -212.32; Var: 0.00241260; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
17: Ret: -124.03; Last 100 Avg Ret: -207.13; Var: 0.00278586; NE: 1.142; ACh: 0.000; ActLR: 0.00006250; Solved: N
