1: Ret: -165.04; Last 100 Avg Ret: -165.04; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 1; Solved: N
2: Ret: -113.63; Last 100 Avg Ret: -139.33; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 1; Solved: N
3: Ret: -59.10; Last 100 Avg Ret: -112.59; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 1; Solved: N
4: Ret: -141.74; Last 100 Avg Ret: -119.88; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 1; Solved: N
5: Ret: -117.56; Last 100 Avg Ret: -119.41; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 1; Solved: N
6: Ret: -184.81; Last 100 Avg Ret: -130.31; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 1; Solved: N
7: Ret: -33.33; Last 100 Avg Ret: -116.46; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 1; Solved: N
8: Ret: -302.66; Last 100 Avg Ret: -139.73; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 1; Solved: N
9: Ret: -331.14; Last 100 Avg Ret: -161.00; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 1; Solved: N
10: Ret: -213.96; Last 100 Avg Ret: -166.30; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 1; Solved: N
11: Ret: -276.88; Last 100 Avg Ret: -176.35; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 1; Solved: N
12: Ret: -280.47; Last 100 Avg Ret: -185.03; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 1; Solved: N
13: Ret: -164.89; Last 100 Avg Ret: -183.48; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 1; Solved: N
14: Ret: -110.41; Last 100 Avg Ret: -178.26; Var: 0.00000100; NE: 1.142; ACh: 0.490; ActLR: 0.00006250; EpCount0: 1; Solved: N
