episode,reward,unexpected_uncertainty,expected_uncertainty,mean_variance,mean_td_error_sq,mean_delta_var,mean_actor_lr,mean_abs_td
0,-365.11749255594674,0.6200783678157615,0.5172195928772106,0.6902535551602078,0.03317720156750302,-4.956025887574367e-05,6.250000000000004e-05,0.07384198632081683
1,-154.33481748680168,0.1382882065662319,0.7004556362794716,0.6846001690693115,0.020349891077889332,-5.36403147988436e-05,6.250000000000006e-05,0.037069699433998446
2,-122.09962131182436,0.16673552897194036,0.7654349518156084,0.6797518657671439,0.022786218413568423,-5.248643799724332e-05,6.250000000000027e-05,0.04158919538698486
3,-113.15983178654156,0.1307488527887139,0.7956865038334161,0.6752896262453748,0.025268169214975007,-5.259001426694473e-05,6.25000000000004e-05,0.035321442325684155
4,-91.6571890966407,0.12977342621319982,0.8084310270145525,0.6706651248037815,0.027169769961579233,-5.119809605163792e-05,6.250000000000058e-05,0.03877467768033967
5,-195.33006943832908,0.20537654896730476,0.8124214797494621,0.6661860000442814,0.02998995788173145,-4.972511606557534e-05,6.250000000000057e-05,0.04422383786909081
6,-336.61345872376705,0.3394537964252651,0.8129640104868963,0.661961494286855,0.03601204113502375,-4.388697140608695e-05,6.250000000000064e-05,0.0772183778633674
7,-154.25992882393228,0.1390591419067063,0.8117854800623007,0.6576413001332965,0.02530020165655587,-4.910984629479142e-05,6.250000000000064e-05,0.03981610754045186
8,-435.9409885095022,0.5290998650029656,0.8093223775015606,0.6528777480125427,0.02589396789912799,-4.076719941526348e-05,6.250000000000069e-05,0.09032561735032087
9,-208.74307738262644,0.1082688629829629,0.8068981925033046,0.6480216082040365,0.021667262921679895,-4.716407954195248e-05,6.250000000000064e-05,0.042069886049086395
10,-187.89568433203272,0.10331665647533468,0.8040251924380905,0.64350240463498,0.019660063520599635,-4.7453723107862353e-05,6.250000000000068e-05,0.03467967179229205
11,-178.71418705210476,0.10647096814881345,0.800765260948392,0.6384941493113017,0.01455029020914193,-4.735367104550149e-05,6.25000000000007e-05,0.02958189605821654
12,-146.31981678921974,0.22064391057827334,0.797658656237626,0.6332700318760343,0.02277575182888778,-4.434150199732876e-05,6.250000000000068e-05,0.0469456906326943
13,-447.2228898697524,0.7167319639401615,0.7939793187106468,0.6279463022947311,0.03128818599269519,-3.964791778155516e-05,6.250000000000072e-05,0.0778080113404603
14,-403.01842775875997,0.3416199567384018,0.7900871427959808,0.6219930653986724,0.022874139604868348,-3.9778516225575834e-05,6.250000000000073e-05,0.06337632230766442
15,-140.22292007444008,0.12004724561139166,0.7873263027453192,0.6167385475135144,0.023181972633466396,-4.323044009540081e-05,6.250000000000065e-05,0.03631094889140424
16,-123.23878294131467,0.12522749587504245,0.7844873791846285,0.6123177021382803,0.019376124424792897,-4.155571967783116e-05,6.250000000000062e-05,0.04402815189257444
17,-130.4375732603956,0.11240828861253309,0.7808120271229333,0.6073561803861098,0.01820891950715175,-4.232020370458436e-05,6.250000000000068e-05,0.030655368146571247
18,-464.70320899585664,1.3499197729334043,0.7772382941599942,0.601806211909023,0.051293427390221566,-3.190523564609226e-05,6.250000000000068e-05,0.12071521098323919
19,-259.30669801679346,0.09331343087400705,0.7740636463246533,0.596643152893806,0.015304684311478578,-3.961086518740663e-05,6.250000000000065e-05,0.039806929017816274
20,-366.1949945599278,0.17579344123621876,0.7703431370468874,0.5913393450819928,0.013993207558651502,-3.7599277749493845e-05,6.250000000000069e-05,0.04851202763940977
21,-365.845002810888,0.2093132107898335,0.7671021525088005,0.5859882450103759,0.016947881197180475,-3.551306183685527e-05,6.250000000000033e-05,0.059273951910436155
22,-150.4365445488209,0.10891890194500294,0.7632615382139009,0.5804915864919794,0.015989470278799937,-3.830333537359308e-05,6.250000000000029e-05,0.03160903782680117
23,-383.1302023949774,0.34827325117949864,0.760500682026201,0.5756657767569882,0.020461466135826827,-3.3158142196574424e-05,6.250000000000037e-05,0.06803330350881336
24,-199.71185713148714,0.8176860468798388,0.7579784326090666,0.5715104666623202,0.051930047673354074,-3.228310631603246e-05,6.250000000000041e-05,0.08752426979216663
25,-174.93214616598658,0.07333051980597155,0.7554569490798577,0.5678855784237384,0.01626998692068047,-3.6758280609810646e-05,6.25000000000004e-05,0.03262989846989513
26,-94.69258707604865,0.09131907358029064,0.7532604954624559,0.5642630501069884,0.018620105873947832,-3.6163295378892846e-05,6.250000000000045e-05,0.03465619991007059
27,-57.323158295349394,0.11510615076066565,0.7506690802783471,0.5608142657452319,0.022498335725541385,-3.4788741632945146e-05,6.250000000000038e-05,0.03976984497114836
28,-205.14982288888717,0.13337601806576208,0.7469749013764979,0.5561650564273198,0.019548231509770597,-3.39753208212704e-05,6.250000000000026e-05,0.03802182121823231
29,-254.33772995038066,0.18063759848960567,0.7447679297951337,0.5517203295734566,0.025873858824612628,-3.161420154384932e-05,6.250000000000041e-05,0.05556643890662932
30,-339.7185123299025,0.332111564228867,0.7423085013623332,0.5481834816627014,0.02150882890428464,-2.9654593701909196e-05,6.250000000000038e-05,0.06869467634421128
31,-106.0183911837224,0.2661421116429611,0.7392997892391326,0.5442555242655228,0.01852829279437795,-3.204876651163907e-05,6.250000000000031e-05,0.04717480360853429
32,-439.8053812810676,0.4743656739094739,0.7362828783483899,0.5399226850271225,0.021789072278066594,-2.784654611809281e-05,6.250000000000031e-05,0.07533321373164653
33,-142.1392819844716,0.0996273461103257,0.7342814928722731,0.535929593347734,0.02728101970201403,-3.090697469238148e-05,6.250000000000046e-05,0.04610126020927583
34,-363.42153818445365,0.25258635923425016,0.7314119490403486,0.5328135575566973,0.016499444212455805,-2.8634108121388572e-05,6.250000000000031e-05,0.06004061420657197
35,-99.01205454060555,0.07492293529756615,0.7291139493025638,0.5286781241496404,0.017245177779460906,-3.152852407265707e-05,6.250000000000035e-05,0.033697825546065964
36,-259.21684583874264,0.2444694936663485,0.7267323260233992,0.5257353007075298,0.028974622316883556,-2.7808511543790998e-05,6.250000000000031e-05,0.057845082268657456
37,-152.91461159889394,0.11788570644247084,0.7234921496626202,0.521573558178815,0.015136097330128974,-3.1106450820128295e-05,6.250000000000026e-05,0.027318364923650567
38,-236.23880777270284,0.23704081186926937,0.7207417917859829,0.5172065855354391,0.01694149200544599,-2.8221571888987063e-05,6.250000000000029e-05,0.048350364931168094
39,-276.0824421615122,0.3266566806672617,0.7176778032861952,0.5130028823047008,0.01993261578456233,-2.6838098009553303e-05,6.250000000000027e-05,0.058143828462049796
40,-110.97191612558785,0.10517217958091865,0.7143578106375815,0.5084894257309163,0.013805556064279904,-2.9306405317450928e-05,6.250000000000025e-05,0.028363500416806315
41,-164.93560081771648,0.1362800483684478,0.7106513346536728,0.503517480627183,0.013346218433788706,-2.8856061151469284e-05,6.250000000000023e-05,0.02702241919694408
42,-460.8335641282662,0.8309830225384833,0.7076989100042214,0.4990593548690047,0.02734245938909597,-2.1494635920338358e-05,6.250000000000025e-05,0.09395358077833586
43,-103.07547937969116,0.1166914653602753,0.7054266349815209,0.4949252472535984,0.028099211330150652,-2.6107461141241697e-05,6.250000000000034e-05,0.04229347810551927
44,-120.01877667049686,0.15847933388562968,0.702755437722163,0.49193367331298354,0.015399681056422913,-2.723327840871108e-05,6.250000000000012e-05,0.03220330624236274
45,-46.54834140283036,0.23104259597544607,0.7009967157596341,0.48872103277714024,0.02994209004611279,-2.5174516405991695e-05,6.250000000000016e-05,0.052135981499187405
46,-249.27586200876098,0.20402376324052635,0.6990631878269691,0.48631368577480316,0.021850563066005104,-2.3873830807915957e-05,6.250000000000015e-05,0.055952018747727074
47,-368.71085491518437,0.3895855550506587,0.6963458819617717,0.4829598157381525,0.02187927112460814,-2.1870458630542404e-05,6.250000000000012e-05,0.070530040227637
48,-283.50624946691164,0.09178236334128101,0.6933238235230939,0.479043344388137,0.011057920664870753,-2.5074312821358533e-05,6.250000000000012e-05,0.03534670724525108
49,-239.63765763770368,0.12395919877830758,0.6900982801552825,0.47466006720888204,0.013128685355895403,-2.3049519278897045e-05,6.250000000000011e-05,0.04901665076613426
50,-476.35776348518357,0.7076262853601587,0.6873769824366194,0.47063995510339734,0.02612492267258767,-1.8318593625673824e-05,6.250000000000012e-05,0.09613303810358048
51,-134.0221201394916,0.10369630069791437,0.6842775257399104,0.4664977048045007,0.016079955139003073,-2.3995610753236078e-05,6.250000000000012e-05,0.0314226092718472
52,-79.95464557742918,0.10079727329595799,0.6816477630602733,0.4627803361292967,0.016170612329996635,-2.3238388659460657e-05,6.250000000000012e-05,0.03532979506807229
53,-72.3321281766656,0.10844153269036132,0.6797195770892563,0.4595537645476205,0.02400408014170054,-2.2708569713672543e-05,6.250000000000015e-05,0.037674316018819806
54,-156.29321905894327,0.11652383282940786,0.6773524191840968,0.456756008225818,0.024569087206149656,-2.2333887368921305e-05,6.250000000000014e-05,0.03531015083886856
55,-81.64010690675185,0.11049306236009322,0.6750474411974742,0.4536896049976349,0.013338860877131405,-2.2544395321844023e-05,6.250000000000014e-05,0.03453094332382597
56,-117.4391832525684,0.1111755527289611,0.6722379093693029,0.4503300348917643,0.016309651220930525,-2.224673875409918e-05,6.250000000000012e-05,0.030823661457924617
57,-173.98883135455566,0.12971337583344159,0.6696617836980853,0.44682683655531097,0.02076543584357811,-2.111862091637317e-05,6.250000000000012e-05,0.03633308381137281
58,-140.50073003450967,0.12597876615730547,0.6665395145182971,0.4430973188877106,0.01614739759104397,-2.0676574558050273e-05,6.250000000000011e-05,0.03754338502883911
59,-379.9929271202057,0.6322643292390588,0.6629720214569496,0.4385977347551937,0.017065844774383263,-1.790238462463397e-05,6.250000000000011e-05,0.06520747393369675
60,-238.8738118361878,0.08177185328287574,0.660432701435905,0.43443012784938423,0.011221726222332024,-2.067152066029386e-05,6.250000000000012e-05,0.03179530495283555
61,-95.36666183292779,0.10788846296480425,0.6587099181867333,0.43152602994814515,0.028617960348927114,-1.945123178640535e-05,6.250000000000015e-05,0.03878662455826998
62,-93.00771420368777,0.09640654295495706,0.6566727810629606,0.4292320903390646,0.013658348645879111,-2.0294264757137898e-05,6.250000000000014e-05,0.031708152033388615
63,14.315014089794744,0.3893725178094063,0.653884643254829,0.4261006365675445,0.024611840402967,-1.8940757994252297e-05,6.250000000000011e-05,0.04266098927740657
64,-51.010360952757864,0.09494436736166224,0.6520753922982503,0.422999552194623,0.016302482174912262,-1.914078435471179e-05,6.250000000000014e-05,0.038260538616906044
65,-115.82443599747069,0.10648279416456245,0.6503788582717082,0.42094974560397014,0.02315863677917315,-1.852501920603359e-05,6.250000000000014e-05,0.03822678529790469
66,-239.08221578674957,0.2726892933628998,0.6480019442778026,0.4182813047748251,0.017957122518671265,-1.801889327258346e-05,6.250000000000012e-05,0.0474190049871956
67,-120.26447724648199,0.0932945224043108,0.6457427896055721,0.4150256457098995,0.012822147266579912,-1.9078988547284916e-05,6.250000000000012e-05,0.029169750859938472
68,-356.0757902342473,0.4170985091432714,0.6426519092485676,0.4122147064123835,0.012084857028182646,-1.6369929867035193e-05,6.250000000000011e-05,0.05412273875304631
69,-256.8729241982003,0.08724437653743417,0.6401081086053975,0.4083292894768265,0.0102047275595583,-1.8040514988210466e-05,6.250000000000011e-05,0.031752335575391664
70,-121.26665000642288,0.11382162292171227,0.6375810558113489,0.4048714699204435,0.017794309017155046,-1.7763085459690434e-05,6.250000000000012e-05,0.02878320862337486
71,-221.66485693017881,0.5101961486944351,0.635718996198756,0.4022474837930579,0.030613282275458873,-1.5445788667532782e-05,6.250000000000014e-05,0.06688910683518962
72,-445.26273038039005,0.33868036083827374,0.6328221139161059,0.3994905740715737,0.014277547779051445,-1.3848631589923148e-05,6.250000000000011e-05,0.07027349615281867
73,-224.59453036740655,0.13808310707191845,0.6309631987748673,0.3962486711415378,0.01781387475039512,-1.561210761027357e-05,6.250000000000014e-05,0.0459278074951915
74,-67.28392017516265,0.07900906978112818,0.6283479638112198,0.3933795963014875,0.010267119243976594,-1.6268930570846445e-05,6.250000000000011e-05,0.036087526168142044
75,-279.81628716270257,0.1564466015569741,0.626432532793949,0.3908605835465498,0.013828478671065049,-1.5019742025400573e-05,6.250000000000012e-05,0.04767447103594625
76,-352.3267678828212,0.20916648578885833,0.6244346356557001,0.3883856126431669,0.014672948486904671,-1.3859465963902499e-05,6.250000000000011e-05,0.05916741122020764
77,-364.3124022802359,0.40488363460736854,0.6220908062598938,0.38561539322722194,0.016121458192433578,-1.3793075244858126e-05,6.250000000000011e-05,0.05845109986908296
78,-377.37767215691775,0.3240220883899583,0.6201144769552468,0.3829336166381836,0.016797280806650376,-1.2743365498695174e-05,6.250000000000011e-05,0.06793817375288454
79,-355.1980185327029,0.4266243950229584,0.6173482194563662,0.37993226601527286,0.018290275576934346,-1.3431513665535986e-05,6.25000000000001e-05,0.05797885205501165
80,-145.28556171228354,0.09282046879547691,0.6147952918583025,0.37671004587953744,0.012802083042632204,-1.5440509906015304e-05,6.25000000000001e-05,0.026371795616366645
81,-57.954685319129574,0.19518455985980013,0.6131331502633154,0.37409318039115047,0.022391804830200437,-1.392560903961251e-05,6.250000000000012e-05,0.04668799399490088
82,-418.5434539698101,1.5802485956995513,0.6110305399252887,0.3719450113020445,0.07054474236842301,-9.325698196286178e-06,6.250000000000011e-05,0.13314472687871834
83,-110.83731925658302,0.08367216573761106,0.608112258737904,0.3688960514068603,0.012509531752579905,-1.4346988235559394e-05,6.250000000000007e-05,0.0302237628698349
84,-164.1618232965733,0.06324363749035866,0.6062605874353406,0.3662336548169454,0.010341305579592293,-1.4505336931138799e-05,6.250000000000007e-05,0.02879894326130549
