episode,reward
0,-163.76634666862898
1,-100.39266541521685
2,-287.3349532120602
3,-104.42384208507684
4,-99.44655014711773
5,-314.94422387493614
6,-273.91146365058864
7,-229.82470844923284
8,-300.52759754911403
9,-104.64453555231992
10,-432.1449045383155
11,-321.77193242827303
12,-275.77867834127017
13,-145.37529739588075
14,-271.5075426276899
15,-187.68330518668125
16,-195.26882825812632
17,-334.03238144981657
18,-181.2327824696069
19,-225.55616112012558
20,-291.68969778488486
21,-189.82609617229718
22,-352.382450145377
23,-341.2400436393152
24,-100.63751020030124
25,-92.05607413751214
26,-175.68415023461156
27,-80.0965773716799
28,-246.3118403374888
29,-79.92365918502776
30,-92.9186825969862
31,-207.44614121355426
32,-91.61252826261122
33,-114.61272090727317
34,-142.14524393548407
35,-45.18783601450855
36,-277.698662513635
37,-134.1810959137842
38,-133.30773088535568
39,-163.09429691756006
40,-378.15393818075705
41,-108.13004024068378
42,-160.66801317861322
43,-79.52162407409752
44,-217.92590723109527
45,-139.11667292842785
46,-203.40942814451859
47,-355.20344875068906
48,-125.25916767973104
49,-345.7198606263054
50,-270.3772475064381
51,-248.39029692799724
52,-93.03453163781975
53,-91.1878966757886
54,-131.73943199764565
55,-213.91276270044483
56,-133.02463694766436
57,-68.07227118261065
58,-124.66939120634338
59,-364.03282377775975
60,-203.38231908141626
61,-74.25511200036797
62,-174.2994351725233
63,-129.0696633305893
64,-68.55742966788463
65,-115.13938325633299
66,-132.1734996139886
67,-155.87509520385956
68,-293.51074663195595
69,-469.44201527501696
70,-390.93957508750185
71,-83.81148355718818
72,-549.7185129530754
73,-89.55372983454266
74,-118.35380746384489
75,-436.50964403968004
76,-366.0129171763487
77,-101.47635440951912
78,-259.44290258376554
79,-101.97298082333425
80,-174.51783099015987
81,-99.83400905422623
82,-109.07515453021395
83,-127.67709935417798
84,-167.45841912985577
85,-220.96727305024862
86,-256.2482888359617
87,-354.02701569219084
88,-146.9483175675707
89,-49.01507230813871
90,-76.31468976340892
91,-168.86359794431763
92,-170.42366959160998
93,-120.30273663566997
94,-444.08548286860577
95,-161.1563447289447
96,-228.33429125193442
97,-225.33946252000447
98,-252.57029179394343
99,-86.43029029980285
100,-117.01401566164263
101,-122.24996070622198
102,-70.29950617633659
103,-183.92024327199653
104,-133.82461305785574
105,-132.4129415317901
106,-128.04286978913225
107,-411.5425788002598
108,-58.30072469378091
109,-85.94009224615024
110,-420.0095698547146
111,-260.16543976413686
112,-257.5570826281032
113,-80.8590467836617
114,-66.02409981287036
115,-285.8322784984791
116,-249.29705306886353
117,-124.1905943475751
118,-284.2119490572529
119,-458.0367752270328
120,-124.45692693653305
121,-115.86183734956404
122,-114.16863084177405
123,-89.4852559842796
124,-136.2436552060754
125,-81.29220355603462
126,-416.33644764227387
127,-107.83570601034278
128,-80.93160319507209
129,-56.005784018922945
130,-233.37309708844728
131,-194.2335919972171
132,-90.83795773223308
133,-76.70160014321192
134,-242.12314909544511
135,-213.01125290917736
136,-192.98677860508135
137,-145.06795444332147
138,-174.96883956827608
139,-258.52190529837424
140,-113.72026196582692
141,-110.68658591503473
142,-123.68018943549629
143,-218.11858975041702
144,-107.9191942599167
145,-129.69746760912884
146,-165.57297569849567
147,-335.13335555928023
148,-153.94206185784572
149,-92.01854123430878
150,-411.1826673588637
151,-350.0783185838633
152,-152.55042252808616
153,-67.16219779316425
154,26.927019049616277
155,-142.17083988382143
156,-105.69058264949882
157,-132.59659908141748
158,-104.58137839184846
159,-383.62636459332793
160,-113.49708293699011
161,-5.93310388541299
162,-155.71408147033299
163,-25.777890188752863
164,-70.05740214737958
165,-315.56582778291954
166,-355.2384333220007
167,-293.7118732170347
168,-419.3234719704266
169,-38.948721839325245
170,-175.86901827839745
171,-392.8435184753648
172,-243.335179824302
173,-165.27706602249106
174,-101.24473389673213
175,-139.88165483713715
176,-199.98896089278605
177,-65.80003204753075
178,-76.52770753986061
179,-220.14136100522543
180,-115.87461386921461
181,-192.4578971330469
182,-82.66331983959722
183,-22.669152305535917
184,-96.29846399110569
185,-108.62804488614643
186,-157.84420418188517
187,-127.64942049267728
188,-147.03095660616762
189,-98.73559048894224
190,-286.66760643618096
191,-74.03976920356985
192,-182.01987996867507
193,-108.15298959957929
194,-338.9345765072692
195,-91.29558820504629
196,-98.87572384245782
197,-266.05633920070346
198,-84.1164076419339
199,-293.49418857381147
200,-200.95447080316342
201,-41.189811373292876
202,-99.8841058857859
203,-206.21608234778358
204,-80.15080673477013
205,-161.30001418763754
206,-109.21628492744826
207,-305.11410030122784
208,-228.96536160716747
209,-112.25492648181206
210,-248.8202924906608
211,-269.6958450113225
212,-61.85348170248512
213,-200.0065040186083
214,-273.0779596586061
215,-47.4835838397457
216,-106.58629276745634
217,-185.09368599164014
218,-280.4629330107051
219,-176.47033283806945
220,-315.72476322116415
221,-89.22650715978617
222,-101.17626648466151
223,-454.2846620515842
224,-174.22072696259832
225,-203.98710767904691
226,-85.00666633008609
227,-258.77427005514596
228,-190.68595784800732
229,-118.03077774766935
230,-121.4592976683142
231,-210.28941705998488
232,-136.14509344063865
233,-124.62407708992009
234,-138.39872151319804
235,-251.04003201340967
236,-106.07369830394562
237,-176.7847331735052
238,-244.86442526241038
239,-72.5502920302747
240,-146.0211177982331
241,-105.31665187302539
242,-329.3341742464405
243,-70.00039566796504
244,-60.7526801659355
245,-128.54186332991503
246,-109.25703653958094
247,-56.804193475696316
248,-261.2238026820759
249,-120.87112370438275
250,-169.89475267591163
251,-112.42901462472298
252,-104.98829553499856
253,-267.62767322630737
254,-229.65632801930798
255,-95.95716819943233
256,-185.19622565483792
257,-104.99847872681943
258,-79.66351458132473
259,-2.0672414967371395
260,-99.6289429203638
261,-280.35545026460323
262,-165.06807957146165
263,-108.83069654962995
264,-66.02706263300122
265,-421.67066325514793
266,-6.12730829860709
267,-109.60610912539795
268,-87.71910924265444
269,-59.99375515933771
270,-126.70869821569353
271,-253.03660071079133
272,-92.86048133049984
273,-89.46084206695144
274,-102.77785047142027
275,-232.84419814097393
276,-94.71551026710709
277,-199.61447925613226
278,-71.5198749312807
279,-180.8515358942465
280,-55.36351724857061
281,-144.92295360853376
282,-129.7085977988373
283,-165.40323188580095
284,-133.10163591203153
285,-103.3849870610186
286,-123.29968082118046
287,-96.78439528021485
288,-95.58545977765095
289,-39.918899701753745
290,-64.32359566303538
291,-84.23068293240524
292,-85.94117738132887
293,-303.391089535796
294,-77.76826887420387
295,-94.2030850242198
296,-59.83092390604302
297,-115.35548316203653
298,-97.0971674415178
299,-231.88746393120493
300,-88.45503191594668
301,-112.91764198114382
302,-278.8877048937492
303,-272.89798224382014
304,-85.9637899257406
305,-151.95237376611237
306,-82.67230449804306
307,-86.51431350384154
308,-74.98475950211999
309,-285.4289933405034
310,-102.51515757113096
311,-154.81311727265557
312,-223.27934087396437
313,-5.080454145184049
314,-134.65330011522065
315,-94.82272734871371
316,-268.0098543739813
317,-200.5505342153031
318,-146.11446916103876
319,-168.35451649796397
320,-143.72587836467153
321,-111.34585153061593
322,-67.87141871128053
323,-85.28934175071
324,-183.00401000431398
325,-119.56915545952654
326,-83.90978179179496
327,-69.56284994341726
328,-96.34793767788446
329,-90.16709843102547
330,-70.7224591616181
331,-108.23236608013609
332,-119.90259815677165
333,-195.0440209170942
334,-103.40756320058742
335,-44.52750865631637
336,-109.2044966458017
337,-106.65395323094566
338,-121.73330685614837
339,-99.44828866695065
340,-215.4177640322963
341,-220.670617316527
342,-131.27679181289824
343,-185.70561737079782
344,0.5153273049677551
345,-183.15357622168943
346,-76.91040861394848
347,-153.8268914951834
348,-133.0417195768799
349,-117.02355738889398
350,-219.77196247880062
351,-140.8127455062036
352,-102.66808095360021
353,-309.04116866727253
354,-90.4336783557164
355,-97.48806247456835
356,-212.89476173915216
357,-107.58195628769326
358,-139.94744356116473
359,-101.73021214824183
360,-308.8645826159856
361,-129.1713838888138
362,-427.0989403779033
363,-180.03249894961905
364,-135.21853162829063
365,-164.41254375003024
366,-187.29543484446498
367,-66.62936922286426
368,29.819002825413946
369,-105.37848280679636
370,-114.37799548348733
371,-103.70177696923889
372,-148.08693361217104
373,-83.93755008558354
374,-183.1982338572194
375,-84.75582279179882
376,-58.684188990420964
377,-87.22150700803905
378,-75.05562961761687
379,-103.69504615024603
380,-207.5651584029511
381,-68.43490406976798
382,-129.4050843022608
383,-178.75468264425336
384,-104.74293354206259
385,-185.81891538858576
386,-121.15236411315503
387,-113.24831269573608
388,-385.9751835112218
389,-240.272298703645
390,-194.60789621413585
391,-117.29521545265501
392,-154.65065276044373
393,-51.41438858370557
394,-77.43510280415167
395,-341.59829922210804
396,-102.55090493514899
397,-102.45370245067141
398,-67.3267856348064
399,-65.44702874213579
400,-164.59976915780337
401,-144.27392804685246
402,-72.69133694059906
403,-135.26970142189091
404,-93.00250628673807
405,-132.5061008225436
406,-83.37288253562258
407,58.03875318928485
408,-48.68314141163196
409,-348.3454337455929
410,-145.99808374757635
411,-94.90916958753641
412,-56.53058277645368
413,-83.20492160875489
414,-148.28723027136635
415,-59.80777626765985
416,-91.1389939121771
417,-75.8545666698907
418,-157.4659906129247
419,-108.27541511854994
420,-118.12495946793787
421,-120.98168153157496
422,-39.445893068681904
423,-122.51623749579511
424,-69.74299943011215
425,-48.127423788440126
426,-68.824653869724
427,-98.54753967765078
428,-139.34358501873598
429,-270.88681125869573
430,-61.93328281155744
431,-80.38233706495762
432,-101.45404033315964
433,-121.78943631128685
434,-91.11559840813607
435,-98.60143613588562
436,-123.8833484405775
437,-80.27380523084585
438,-78.92751178249173
439,-158.9715549274112
440,-147.62047537747966
441,-113.32069541427269
442,-123.28364762339805
443,-14.889023279516948
444,-64.54461747221754
445,-113.70812904160815
446,-120.2260866435294
447,-326.53823515782983
448,-93.99743794108261
449,-50.28211304483769
450,-117.98669460385796
451,-88.78461245426305
452,-100.95666322775635
453,-54.132491040457026
454,40.9676990648762
455,-83.61254681427181
456,-114.85081771149386
457,-107.59783647549209
458,-73.99965727992867
459,-145.38387550028074
460,-129.82836056169694
461,-170.90238574552615
462,-118.76656169027359
463,-237.3671540973615
464,-177.0688593752265
465,-149.86182742760639
466,-59.01274734657079
467,-86.00892200594045
468,-49.43413594007003
469,-93.0600306918325
470,-32.52024334556505
471,-141.98417402061483
472,-146.78854626112954
473,-50.89887580919903
474,-3.8195220193424717
475,-119.30754616963856
476,-80.40967664386025
477,-188.49931634122254
478,-37.106403900337575
479,-41.517119038350536
480,-43.16997430792799
481,-73.89352564973764
482,-100.29306990442569
483,-169.72669844904436
484,-238.8652542679797
485,-81.26742872731042
486,-54.81398884046394
487,-141.21419656200828
488,-31.90406093899142
489,-105.45310561378247
490,-193.47976898488318
491,-123.12670267634525
492,-107.9678633931616
493,-159.68053484555378
