episode,is_optimal,expected,unexpected
1,1,0.693247,0.000000
2,1,0.698260,0.000023
3,0,0.703283,0.000019
4,0,0.708351,0.000015
5,0,0.713457,0.000012
6,0,0.718595,0.000010
7,0,0.723755,0.000008
8,0,0.728926,0.000006
9,0,0.734099,0.000005
10,0,0.739260,0.000004
11,1,0.744395,0.000003
12,1,0.749558,0.000003
13,1,0.754755,0.000002
14,1,0.759986,0.000002
15,1,0.765248,0.000001
16,1,0.770535,0.000001
17,0,0.775839,0.000001
18,1,0.781045,0.000001
19,0,0.786267,0.000001
20,0,0.791403,0.000034
21,1,0.796463,0.000037
22,0,0.801544,0.000084
23,1,0.806546,0.000094
24,1,0.811570,0.000081
25,1,0.816607,0.000065
26,0,0.821646,0.000081
27,0,0.826606,0.000121
28,1,0.831496,0.000138
29,0,0.836375,0.000173
30,1,0.841185,0.000187
31,1,0.845979,0.000190
32,0,0.850747,0.000204
33,1,0.855451,0.000211
34,1,0.860115,0.000217
35,1,0.864729,0.000228
36,1,0.869278,0.000249
37,1,0.873746,0.000284
38,1,0.878114,0.000337
39,1,0.882358,0.000410
40,1,0.886455,0.000505
41,1,0.890380,0.000624
42,1,0.894105,0.000766
43,0,0.897603,0.000728
44,0,0.901335,0.000582
45,1,0.905300,0.000568
46,1,0.908895,0.000666
47,0,0.912116,0.000559
48,1,0.915678,0.000613
49,1,0.918798,0.000776
50,1,0.921480,0.001011
51,1,0.923725,0.001291
52,1,0.925531,0.001598
53,1,0.926898,0.001919
54,1,0.927824,0.002243
55,1,0.928305,0.002567
56,1,0.928342,0.002885
57,1,0.927933,0.003195
58,1,0.927082,0.003497
59,1,0.925793,0.003790
60,1,0.924071,0.004074
61,0,0.921924,0.003682
62,1,0.921316,0.003542
63,1,0.920126,0.003579
64,1,0.918387,0.003736
65,0,0.916134,0.003192
66,0,0.915577,0.002554
67,1,0.916474,0.002051
68,1,0.916571,0.001948
69,1,0.915933,0.002117
70,0,0.914624,0.001694
71,0,0.914908,0.001355
72,0,0.916548,0.001084
73,1,0.919339,0.000867
74,1,0.921131,0.000694
75,1,0.922017,0.000832
76,1,0.922081,0.001246
77,1,0.921401,0.001823
78,1,0.920047,0.002485
79,1,0.918084,0.003176
80,1,0.915570,0.003859
81,1,0.912558,0.004508
82,1,0.909099,0.005109
83,1,0.905234,0.005654
84,1,0.901006,0.006140
85,1,0.896451,0.006567
86,1,0.891603,0.006938
87,0,0.886492,0.006097
88,1,0.883668,0.005665
89,1,0.880382,0.005518
90,1,0.876681,0.005564
91,0,0.872610,0.004484
92,1,0.870711,0.003972
93,1,0.868270,0.003853
94,1,0.865344,0.003996
95,1,0.861984,0.004308
96,1,0.858237,0.004717
97,1,0.854144,0.005173
98,1,0.849743,0.005642
99,1,0.845070,0.006101
100,1,0.840155,0.006533
101,1,0.835027,0.006929
102,1,0.829713,0.007286
103,0,0.824234,0.006063
104,1,0.821309,0.005405
105,1,0.817991,0.005144
106,1,0.814326,0.005153
107,1,0.810350,0.005339
108,0,0.806100,0.004271
109,0,0.804211,0.003417
110,0,0.804277,0.002733
111,0,0.805969,0.002187
112,1,0.809023,0.001749
113,1,0.811171,0.001400
114,1,0.812500,0.001120
115,1,0.813086,0.000922
116,1,0.813003,0.001256
117,1,0.812316,0.001923
118,1,0.811085,0.002777
119,1,0.809365,0.003715
120,1,0.807206,0.004666
121,1,0.804654,0.005581
122,0,0.801749,0.004679
123,1,0.800801,0.004384
124,1,0.799353,0.004494
125,0,0.797455,0.003595
126,1,0.797353,0.002924
127,1,0.796680,0.002852
128,1,0.795493,0.003174
129,1,0.793844,0.003735
130,1,0.791780,0.004428
131,0,0.789344,0.003542
132,1,0.788764,0.003121
133,1,0.787677,0.003200
134,0,0.786131,0.002560
135,1,0.786301,0.002048
136,1,0.785899,0.001955
137,1,0.784983,0.002306
138,1,0.783605,0.002929
139,1,0.781811,0.003703
140,1,0.779644,0.004538
