episode,is_optimal,expected,unexpected
1,0,0.693247,0.000000
2,0,0.698260,0.000023
3,0,0.703283,0.000084
4,0,0.708304,0.000190
5,0,0.713310,0.000343
6,1,0.718285,0.000308
7,0,0.723356,0.000400
8,0,0.728301,0.000583
9,0,0.733127,0.000832
10,1,0.737825,0.000773
11,0,0.742740,0.000881
12,0,0.747441,0.001103
13,0,0.751929,0.001400
14,1,0.756198,0.001287
15,1,0.760826,0.001030
16,0,0.765740,0.000938
17,0,0.770303,0.001067
18,1,0.774526,0.000854
19,0,0.779134,0.000892
20,0,0.783358,0.001123
21,0,0.787211,0.001473
22,0,0.790700,0.001892
23,0,0.793830,0.002344
24,1,0.796600,0.002184
25,0,0.800087,0.002257
26,0,0.803137,0.002484
27,0,0.805760,0.002806
28,0,0.807964,0.003180
29,1,0.809754,0.002855
30,1,0.812498,0.002284
31,1,0.816007,0.001827
32,1,0.820141,0.001462
33,1,0.824787,0.001169
34,0,0.829858,0.000936
35,1,0.834237,0.000748
36,0,0.839060,0.000599
37,1,0.843204,0.000479
38,1,0.847806,0.000383
39,1,0.852792,0.000307
40,0,0.858099,0.000245
41,1,0.862689,0.000196
42,1,0.867621,0.000157
43,0,0.872839,0.000126
44,1,0.877350,0.000100
45,1,0.882166,0.000080
46,0,0.887234,0.000064
47,1,0.891615,0.000051
48,1,0.896263,0.000041
49,1,0.901130,0.000033
50,1,0.906175,0.000026
51,0,0.911355,0.000021
52,0,0.915864,0.000027
53,0,0.919765,0.000316
54,1,0.923112,0.000344
55,0,0.926692,0.000621
56,0,0.929744,0.001043
57,0,0.932311,0.001537
58,0,0.934432,0.002052
59,1,0.936137,0.002145
60,1,0.938220,0.001953
61,1,0.940642,0.001584
62,1,0.943363,0.001267
63,0,0.946345,0.001122
64,0,0.948815,0.001208
65,1,0.950821,0.001062
66,1,0.953127,0.000850
67,0,0.955695,0.000827
68,1,0.957787,0.000661
69,1,0.960139,0.000529
70,1,0.962713,0.000423
71,0,0.965471,0.000339
72,1,0.967752,0.000271
73,0,0.970207,0.000282
74,1,0.972224,0.000226
75,1,0.974409,0.000181
76,1,0.976728,0.000145
77,0,0.979146,0.000116
78,1,0.981162,0.000093
79,1,0.983262,0.000074
80,1,0.985417,0.000059
81,1,0.987594,0.000047
82,1,0.989762,0.000038
83,1,0.991888,0.000030
84,1,0.993941,0.000024
85,1,0.995889,0.000019
86,1,0.997701,0.000039
87,1,0.999347,0.000115
88,1,1.000797,0.000241
89,1,1.002026,0.000412
90,1,1.003007,0.000621
91,1,1.003717,0.000865
92,0,1.004134,0.000914
93,0,1.004773,0.000819
94,1,1.005649,0.000895
95,1,1.006103,0.001091
96,0,1.006144,0.001040
97,1,1.006574,0.001164
98,1,1.006538,0.001405
99,1,1.006056,0.001719
100,0,1.005148,0.001662
101,1,1.004845,0.001787
102,1,1.004052,0.002029
103,1,1.002797,0.002344
104,1,1.001106,0.002700
105,1,0.999002,0.003074
106,1,0.996507,0.003451
107,1,0.993640,0.003820
108,1,0.990420,0.004174
109,1,0.986864,0.004511
110,1,0.982990,0.004829
111,1,0.978813,0.005126
112,1,0.974350,0.005403
113,1,0.969617,0.005662
114,1,0.964628,0.005904
115,1,0.959398,0.006129
116,0,0.953944,0.005459
117,1,0.950325,0.005120
118,1,0.946297,0.005016
119,1,0.941897,0.005075
120,1,0.937158,0.005240
121,0,0.932112,0.004450
122,0,0.929047,0.003560
123,1,0.927727,0.002848
124,1,0.925746,0.002573
125,1,0.923170,0.002655
