episode,is_optimal,expected,unexpected
1,0,0.693247,0.000000
2,1,0.698260,0.000000
3,1,0.703302,0.000000
4,0,0.708370,0.000000
5,1,0.713436,0.000000
6,0,0.718527,0.000000
7,0,0.723626,0.000000
8,1,0.728732,0.000000
9,1,0.733865,0.000000
10,1,0.739019,0.000000
11,0,0.744189,0.000000
12,0,0.749363,0.000000
13,0,0.754542,0.000000
14,0,0.759724,0.000000
15,0,0.764903,0.000011
16,1,0.770071,0.000009
17,0,0.775261,0.000027
18,1,0.780415,0.000022
19,0,0.785605,0.000043
20,0,0.790737,0.000097
21,0,0.795806,0.000176
22,0,0.800802,0.000278
23,0,0.805713,0.000399
24,1,0.810524,0.000381
25,0,0.815474,0.000439
26,1,0.820269,0.000359
27,0,0.825227,0.000391
28,0,0.829981,0.000503
29,0,0.834525,0.000670
30,0,0.838852,0.000873
31,0,0.842947,0.001103
32,0,0.846795,0.001349
33,0,0.850379,0.001606
34,0,0.853680,0.001871
35,0,0.856677,0.002140
36,0,0.859348,0.002412
37,0,0.861673,0.002686
38,0,0.863630,0.002960
39,0,0.865199,0.003234
40,0,0.866365,0.003508
41,0,0.867111,0.003780
42,1,0.867426,0.003403
43,1,0.869014,0.002722
44,1,0.871669,0.002178
45,0,0.875218,0.001742
46,0,0.877991,0.001534
47,0,0.880033,0.001627
48,0,0.881384,0.001916
49,1,0.882084,0.001546
50,0,0.884011,0.001551
51,0,0.885208,0.001803
52,0,0.885724,0.002212
53,0,0.885606,0.002710
54,0,0.884897,0.003249
55,0,0.883640,0.003796
56,1,0.881874,0.003403
57,0,0.881811,0.003346
58,0,0.881115,0.003513
59,0,0.879838,0.003822
60,1,0.878028,0.003204
61,0,0.877953,0.003022
62,0,0.877229,0.003136
63,0,0.875912,0.003440
64,0,0.874055,0.003858
65,1,0.871706,0.003227
66,1,0.871202,0.002582
67,0,0.872229,0.002065
68,1,0.872501,0.001652
69,0,0.874157,0.001322
70,0,0.875008,0.001166
71,1,0.875128,0.000932
72,0,0.876618,0.000746
73,0,0.877325,0.000882
74,0,0.877322,0.001344
75,0,0.876676,0.002000
76,1,0.875448,0.001600
77,0,0.875757,0.001652
78,0,0.875399,0.002034
79,0,0.874436,0.002614
80,0,0.872928,0.003300
81,0,0.870927,0.004025
82,0,0.868481,0.004743
83,0,0.865634,0.005427
84,1,0.862425,0.004734
85,0,0.861075,0.004499
86,0,0.859221,0.004570
87,0,0.856914,0.004838
88,1,0.854198,0.003871
89,1,0.853283,0.003096
90,1,0.853898,0.002477
91,1,0.855813,0.001982
92,1,0.858834,0.001585
93,0,0.862797,0.001268
94,0,0.865794,0.001015
95,1,0.867914,0.000812
96,0,0.871038,0.000649
97,0,0.873281,0.000520
98,1,0.874727,0.000416
99,0,0.877218,0.000332
