condition,seed,total,post,ach_min,ach_max,ne_min,ne_max,fallback
classic,1,9074.0,-548.0,0.01,0.01,1.0,1.0,0.7513
classic,2,6148.0,-3496.0,0.01,0.01,1.0,1.0,0.8043
classic,3,6216.0,-3460.0,0.01,0.01,1.0,1.0,0.77135
classic,4,9762.0,138.0,0.01,0.01,1.0,1.0,0.741
classic,5,1286.0,-8384.0,0.01,0.01,1.0,1.0,0.79795
classic,6,8682.0,-952.0,0.01,0.01,1.0,1.0,0.747
classic,7,12636.0,3016.0,0.01,0.01,1.0,1.0,0.691
classic,8,10952.0,1268.0,0.01,0.01,1.0,1.0,0.7349
classic,9,3460.0,-6128.0,0.01,0.01,1.0,1.0,0.79595
classic,10,10360.0,716.0,0.01,0.01,1.0,1.0,0.74725
classic,11,5090.0,-4550.0,0.01,0.01,1.0,1.0,0.79635
classic,12,9658.0,32.0,0.01,0.01,1.0,1.0,0.7366
classic,13,13598.0,3966.0,0.01,0.01,1.0,1.0,0.7714
classic,14,8846.0,-744.0,0.01,0.01,1.0,1.0,0.74325
classic,15,10644.0,1000.0,0.01,0.01,1.0,1.0,0.74235
classic,16,4332.0,-5296.0,0.01,0.01,1.0,1.0,0.7911
classic,17,6630.0,-2970.0,0.01,0.01,1.0,1.0,0.74275
classic,18,8278.0,-1368.0,0.01,0.01,1.0,1.0,0.7415
classic,19,12694.0,3076.0,0.01,0.01,1.0,1.0,0.72395
classic,20,8340.0,-1290.0,0.01,0.01,1.0,1.0,0.69745
ace,1,16950.0,7102.0,0.01,0.05,0.376027,0.698973,0.70885
ace,2,17012.0,7108.0,0.01,0.05,0.376027,0.698939,0.84805
ace,3,16384.0,6496.0,0.01,0.05,0.376027,0.698948,0.79825
ace,4,17402.0,7518.0,0.01,0.05,0.376027,0.698969,0.83425
ace,5,17686.0,7778.0,0.01,0.05,0.376027,0.691466,0.84465
ace,6,17056.0,7182.0,0.01,0.05,0.376027,0.698954,0.7467
