window_end_episode,classic_mean,classic_std,ace_mean,ace_std,only_ne_mean,only_ne_std,only_ach_mean,only_ach_std
50,51.9,5.948949487094339,65.9,7.961783719745219,55.5,7.317786550590281,66.0,8.024961059095553
100,56.9,7.224264668462805,80.8,5.81033561853358,63.6,7.863841300535,82.6,5.936328831862332
150,61.2,6.4,86.8,6.013318551349164,71.3,8.538735269347562,87.6,5.7827329179203835
200,65.0,7.784600182411426,89.8,4.512205669071392,74.1,4.624932431938871,89.6,4.800000000000001
250,73.6,5.425863986500214,91.8,4.331281565541543,81.9,4.958830507286975,92.1,4.311612227462019
300,76.7,5.5596762495670555,93.6,3.929376540877701,86.4,4.409081537009721,93.7,3.5930488446443367
350,78.5,6.1278054799414114,95.0,2.4083189157584592,88.4,3.0724582991474434,95.0,2.792848008753788
400,80.0,4.09878030638384,95.5,2.4392621835300936,88.8,3.0594117081556704,95.1,2.8618176042508368
450,85.5,4.189272013130682,96.7,2.7037011669191555,90.4,3.49857113690718,96.9,2.9983328701129897
500,88.5,3.1543620591175006,98.1,1.729161646579058,93.7,3.3030289129827497,98.0,1.7888543819998317
550,90.3,3.9635842365212826,97.7,2.551470164434615,95.0,2.8635642126552705,97.6,2.4166091947189146
600,90.3,3.8613469152615645,97.6,1.8547236990991407,93.6,2.154065922853802,97.7,1.9261360284258222
650,90.5,4.598912915026768,99.1,1.3379088160259651,95.4,3.2310988842807027,99.0,1.3416407864998738
700,90.7,3.4799425282610637,98.7,1.452583904633395,95.7,2.3895606290697042,98.8,1.4696938456699067
750,95.6,2.6532998322843198,98.6,1.6852299546352716,96.8,2.3151673805580453,98.9,1.609347693943108
800,95.7,3.3030289129827497,99.2,1.32664991614216,97.7,2.471841418861655,99.2,1.32664991614216
850,96.0,2.280350850198276,99.4,0.9165151389911678,98.1,1.841195263952197,99.4,0.9165151389911678
900,96.8,2.9257477676655586,99.7,0.9539392014169461,98.2,1.7776388834631176,99.7,0.9539392014169461
950,97.8,1.6613247725836147,99.9,0.43588989435406733,99.3,1.452583904633395,99.9,0.43588989435406733
1000,96.2,2.441311123146741,99.4,0.9165151389911678,98.6,1.8,99.4,0.9165151389911678
1050,97.5,1.8841443681416772,99.7,0.7141428428542849,99.3,1.1445523142259597,99.7,0.7141428428542849
1100,98.6,1.2806248474865696,99.9,0.43588989435406733,99.8,0.5999999999999999,99.9,0.43588989435406733
1150,98.6,1.2806248474865696,99.8,0.5999999999999998,99.3,1.1445523142259597,99.8,0.5999999999999998
1200,98.3,1.5842979517754858,99.9,0.43588989435406733,99.4,1.42828568570857,99.9,0.43588989435406733
1250,99.0,1.61245154965971,100.0,0.0,99.6,1.0198039027185568,100.0,0.0
1300,98.7,1.7058722109231976,99.7,0.9539392014169459,99.7,0.714142842854285,99.7,0.9539392014169459
1350,99.2,1.1661903789690604,100.0,0.0,99.7,0.7141428428542849,99.9,0.4358898943540674
1400,99.1,1.1789826122551592,100.0,0.0,99.8,0.5999999999999998,100.0,0.0
1450,98.9,1.479864858694874,99.7,0.7141428428542849,99.7,0.7141428428542849,99.7,0.7141428428542849
1500,99.6,0.7999999999999999,100.0,0.0,100.0,0.0,100.0,0.0
1550,99.4,1.1135528725660042,100.0,0.0,99.8,0.5999999999999999,99.8,0.5999999999999999
1600,99.3,1.14455231422596,99.9,0.43588989435406733,99.9,0.43588989435406733,99.9,0.43588989435406733
1650,99.7,0.7141428428542849,100.0,0.0,100.0,0.0,100.0,0.0
1700,99.5,0.8660254037844386,99.9,0.43588989435406733,99.9,0.43588989435406733,99.9,0.43588989435406733
1750,99.3,1.1445523142259602,100.0,0.0,100.0,0.0,100.0,0.0
1800,99.6,0.7999999999999998,100.0,0.0,100.0,0.0,100.0,0.0
1850,99.8,0.5999999999999998,99.9,0.43588989435406733,99.9,0.43588989435406733,99.9,0.43588989435406733
1900,99.9,0.43588989435406733,99.9,0.4358898943540674,99.9,0.4358898943540674,99.9,0.4358898943540674
1950,99.8,0.5999999999999999,99.9,0.4358898943540674,99.9,0.4358898943540674,99.9,0.4358898943540674
2000,99.9,0.43588989435406733,100.0,0.0,100.0,0.0,99.9,0.4358898943540674
2050,99.8,0.5999999999999999,99.9,0.4358898943540674,99.8,0.5999999999999999,99.8,0.5999999999999999
2100,99.7,0.714142842854285,100.0,0.0,100.0,0.0,100.0,0.0
2150,99.6,1.0198039027185568,99.8,0.6,99.9,0.43588989435406733,99.8,0.6
2200,99.7,0.9539392014169459,100.0,0.0,100.0,0.0,100.0,0.0
2250,99.9,0.4358898943540674,100.0,0.0,100.0,0.0,100.0,0.0
2300,99.9,0.4358898943540674,100.0,0.0,100.0,0.0,100.0,0.0
2350,99.9,0.43588989435406733,100.0,0.0,100.0,0.0,100.0,0.0
2400,99.7,0.7141428428542849,100.0,0.0,100.0,0.0,100.0,0.0
2450,99.8,0.5999999999999998,99.9,0.4358898943540674,99.9,0.4358898943540674,99.9,0.4358898943540674
2500,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2550,99.8,0.5999999999999998,100.0,0.0,100.0,0.0,100.0,0.0
2600,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2650,99.9,0.43588989435406733,100.0,0.0,100.0,0.0,100.0,0.0
2700,99.9,0.4358898943540674,100.0,0.0,100.0,0.0,100.0,0.0
2750,99.8,0.8717797887081346,99.9,0.4358898943540674,99.9,0.4358898943540674,99.9,0.4358898943540674
2800,99.8,0.5999999999999998,100.0,0.0,100.0,0.0,100.0,0.0
2850,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2900,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2950,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
3000,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
3050,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
3100,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
3150,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
3200,99.9,0.43588989435406733,100.0,0.0,100.0,0.0,100.0,0.0
3250,100.0,0.0,100.0,0.0,99.8,0.5999999999999999,99.9,0.43588989435406733
3300,99.9,0.4358898943540674,100.0,0.0,100.0,0.0,100.0,0.0
3350,99.9,0.43588989435406733,100.0,0.0,100.0,0.0,100.0,0.0
3400,99.9,0.43588989435406733,100.0,0.0,100.0,0.0,100.0,0.0
3450,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
3500,99.9,0.4358898943540674,100.0,0.0,100.0,0.0,100.0,0.0
3550,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
3600,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
3650,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
3700,99.8,0.5999999999999999,100.0,0.0,100.0,0.0,100.0,0.0
3750,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
3800,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
3850,99.8,0.5999999999999999,100.0,0.0,100.0,0.0,100.0,0.0
3900,99.9,0.43588989435406733,100.0,0.0,100.0,0.0,100.0,0.0
3950,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
4000,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
4050,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
4100,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
4150,99.8,0.5999999999999999,100.0,0.0,100.0,0.0,100.0,0.0
4200,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
4250,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
4300,99.9,0.43588989435406733,100.0,0.0,100.0,0.0,100.0,0.0
4350,99.8,0.5999999999999998,100.0,0.0,99.9,0.43588989435406733,100.0,0.0
4400,99.9,0.43588989435406733,100.0,0.0,100.0,0.0,100.0,0.0
4450,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
4500,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
