episode,is_optimal,expected,unexpected,ach,sigma_ne,argmax_fallback
0,1,0.693247,0.000000,0.010000,0.383471,0
1,0,1.484206,0.000000,0.049879,0.383471,1
2,1,0.456247,0.000000,0.050000,0.383471,0
3,1,1.811756,0.000014,0.018482,0.383471,0
4,0,0.157961,0.000011,0.050000,0.383471,0
5,0,2.053161,0.000009,0.010001,0.383471,1
6,1,0.109180,0.000007,0.050000,0.383471,1
7,1,1.647070,0.000006,0.010000,0.383471,1
8,1,0.244311,0.000067,0.050000,0.383471,1
9,1,1.666496,0.000234,0.010019,0.383471,0
10,1,0.178748,0.000504,0.050000,0.383471,1
11,1,1.384871,0.000867,0.010003,0.383471,1
12,1,0.280945,0.001312,0.050000,0.383471,0
13,1,1.274842,0.001825,0.010056,0.383471,1
14,0,0.295322,0.001748,0.050000,0.383471,0
15,1,2.977046,0.001870,0.010086,0.383471,1
16,1,0.010000,0.002149,0.050000,0.383471,1
17,0,0.059601,0.001883,0.010000,0.383471,1
18,0,2.297430,0.001507,0.010000,0.383471,0
19,0,0.125535,0.001205,0.050000,0.383471,0
20,0,2.351071,0.000964,0.010001,0.383471,0
21,0,0.072185,0.000771,0.050000,0.383471,1
22,0,1.689046,0.000617,0.010000,0.383471,1
23,0,0.291216,0.000494,0.050000,0.383471,1
24,0,1.924936,0.000395,0.010076,0.383471,0
25,1,0.118369,0.000316,0.050000,0.383471,1
26,1,1.914633,0.000253,0.010000,0.383471,1
27,0,0.156435,0.000202,0.050000,0.383471,0
28,1,1.814838,0.000162,0.010001,0.383471,1
29,0,0.201685,0.000129,0.050000,0.383471,1
30,1,1.899124,0.000104,0.010005,0.383471,0
31,0,0.161872,0.000083,0.050000,0.383471,1
32,0,1.833057,0.000066,0.010002,0.383471,0
33,0,0.154657,0.000066,0.050000,0.383471,1
34,1,1.561180,0.000053,0.010001,0.383471,1
35,0,0.479005,0.000044,0.050000,0.383471,0
36,1,1.586008,0.000035,0.023902,0.383471,0
37,0,0.443467,0.000028,0.050000,0.383471,0
38,0,1.642812,0.000139,0.016200,0.383471,0
39,0,0.200731,0.000369,0.050000,0.383471,0
40,1,1.459149,0.000322,0.010005,0.383471,1
41,1,0.713257,0.000258,0.050000,0.383471,1
42,1,1.840834,0.000206,0.049933,0.383471,0
43,1,0.220160,0.000165,0.050000,0.383471,1
44,1,1.983242,0.000132,0.010009,0.383471,1
45,1,0.110724,0.000106,0.050000,0.383471,0
46,1,1.469412,0.000201,0.010000,0.383471,0
47,1,0.308079,0.000416,0.050000,0.383471,0
48,0,1.509645,0.000363,0.010126,0.383471,0
49,1,0.640527,0.000459,0.050000,0.383471,1
50,1,1.230585,0.000688,0.049418,0.383471,0
51,1,0.432385,0.001032,0.050000,0.383471,1
52,1,1.279123,0.001471,0.014650,0.383471,0
53,1,0.317385,0.001987,0.050000,0.383471,1
54,1,1.179163,0.002561,0.010166,0.383471,1
55,1,0.328343,0.003176,0.050000,0.383471,0
56,1,1.037596,0.003818,0.010231,0.383471,0
57,1,0.375109,0.004472,0.050000,0.383471,0
58,1,0.903539,0.005127,0.010922,0.383471,1
59,0,0.421874,0.004796,0.050000,0.383471,0
60,1,3.543645,0.004739,0.013502,0.383471,1
61,1,0.010000,0.004885,0.050000,0.383471,0
62,1,0.010000,0.005177,0.010000,0.383471,1
63,1,0.055453,0.005569,0.010000,0.383471,1
64,1,0.421124,0.006027,0.010000,0.383471,0
65,1,0.710140,0.006523,0.013431,0.383471,1
66,1,0.468890,0.007034,0.049927,0.383471,1
67,1,0.613892,0.007545,0.021290,0.383471,0
68,0,0.488348,0.006752,0.048729,0.383471,0
69,1,4.115477,0.006349,0.026540,0.383471,1
70,1,0.010000,0.006232,0.050000,0.383471,1
71,1,0.010000,0.006321,0.010000,0.383471,1
72,1,0.010000,0.006551,0.010000,0.383471,1
73,1,0.026354,0.006875,0.010000,0.383471,1
74,0,0.167706,0.005864,0.010000,0.383471,0
75,1,4.375695,0.005333,0.010002,0.383471,1
76,1,0.010000,0.005153,0.050000,0.383471,0
77,0,0.010000,0.004122,0.010000,0.383471,0
78,0,0.099135,0.003298,0.010000,0.383471,0
79,1,3.640126,0.002638,0.010000,0.383471,1
80,1,0.010000,0.002111,0.050000,0.383471,1
81,1,0.010000,0.001813,0.010000,0.383471,1
82,1,0.020253,0.001883,0.010000,0.383471,1
83,0,0.158517,0.001507,0.010000,0.383471,0
84,1,4.045092,0.001205,0.010001,0.383471,1
85,0,0.010000,0.000964,0.050000,0.383471,0
86,1,0.027185,0.000771,0.010000,0.383471,0
87,0,0.253439,0.000617,0.010000,0.383471,0
