episode,is_optimal,expected,unexpected,ach,sigma_ne,argmax_fallback
0,0,0.693247,0.000000,0.010000,0.376027,1
1,0,1.484206,0.000047,0.049879,0.376027,1
2,1,0.350547,0.000037,0.050000,0.376678,1
3,0,2.170680,0.000030,0.010447,0.376547,0
4,1,0.060704,0.000024,0.050000,0.376443,1
5,1,1.529328,0.000019,0.010000,0.376359,1
6,1,0.400599,0.000015,0.050000,0.376292,0
7,0,1.823997,0.000012,0.011930,0.376239,1
8,0,0.211668,0.000010,0.050000,0.376197,0
9,0,1.901621,0.000008,0.010007,0.376163,0
10,0,0.127626,0.000064,0.050000,0.376135,0
11,0,1.475196,0.000229,0.010001,0.376921,1
12,1,0.285752,0.000183,0.050000,0.379297,0
13,0,2.438606,0.000247,0.010065,0.378627,1
14,1,0.022445,0.000198,0.050000,0.379565,1
15,0,1.086847,0.000205,0.010000,0.378839,1
16,0,0.683781,0.000351,0.050000,0.378949,1
17,0,1.144192,0.000621,0.049839,0.381120,1
18,0,0.500417,0.000997,0.050000,0.385346,0
19,0,1.190065,0.001461,0.030125,0.391727,1
20,0,0.374656,0.001995,0.050000,0.400420,1
21,1,1.134326,0.001908,0.010910,0.411586,1
22,1,1.658004,0.001526,0.050000,0.409674,1
23,1,0.605121,0.001221,0.050000,0.401719,1
24,0,2.282082,0.000977,0.048362,0.395812,0
25,1,0.030188,0.000781,0.050000,0.391374,1
26,1,1.397179,0.000625,0.010000,0.388002,0
27,0,0.715245,0.000500,0.050000,0.385416,0
28,0,1.217475,0.000400,0.049937,0.383418,0
29,1,0.489577,0.000320,0.050000,0.381863,1
30,0,2.320621,0.000256,0.026898,0.380648,1
31,1,0.030432,0.000205,0.050000,0.379693,1
32,0,1.304583,0.000164,0.010000,0.378940,0
33,1,0.435043,0.000131,0.050000,0.378345,1
34,1,2.306391,0.000105,0.014988,0.377873,0
35,1,0.067224,0.000084,0.050000,0.377499,1
36,1,1.494587,0.000067,0.010000,0.377201,1
37,1,0.393388,0.000054,0.050000,0.376964,1
38,1,1.738661,0.000043,0.011569,0.376776,0
39,1,0.166348,0.000161,0.050000,0.376625,1
40,0,1.450394,0.000129,0.010002,0.378299,0
41,1,0.693516,0.000177,0.050000,0.377837,1
42,1,1.188556,0.000370,0.049880,0.378529,1
43,1,0.487220,0.000688,0.050000,0.381398,1
44,0,1.256189,0.000627,0.026212,0.386442,1
45,0,1.148520,0.000501,0.050000,0.385443,0
46,0,1.192711,0.000401,0.050000,0.383439,1
47,1,0.986316,0.000321,0.050000,0.381880,1
48,1,0.860365,0.000296,0.050000,0.380661,0
49,1,0.950614,0.000437,0.049999,0.380292,0
50,0,0.753751,0.000349,0.050000,0.382427,0
51,1,1.981517,0.000397,0.049980,0.381089,1
52,1,0.072622,0.000604,0.050000,0.381818,1
53,0,0.972753,0.000484,0.010000,0.385074,0
54,0,1.645645,0.000387,0.050000,0.383164,0
55,1,0.460576,0.000310,0.050000,0.381665,1
56,1,1.481364,0.000390,0.019383,0.380492,0
57,1,0.255282,0.000628,0.050000,0.381711,1
58,1,1.374075,0.000995,0.010026,0.385462,0
59,1,0.264242,0.001465,0.050000,0.391697,1
60,1,1.206096,0.002014,0.010034,0.400505,1
61,1,0.319017,0.002621,0.050000,0.412008,0
62,0,1.061697,0.002498,0.010175,0.426268,1
63,1,1.962566,0.002607,0.050000,0.423265,1
64,0,0.045909,0.002181,0.050000,0.425938,0
65,0,2.183358,0.001745,0.010000,0.415770,1
66,1,0.183359,0.001396,0.050000,0.406200,0
67,1,1.242959,0.001330,0.010003,0.399148,1
68,1,0.328355,0.001501,0.050000,0.397871,0
69,1,1.140951,0.001850,0.010231,0.401209,1
70,0,0.342093,0.001575,0.050000,0.408433,1
71,1,3.173652,0.001596,0.010347,0.402709,1
72,1,0.010000,0.001840,0.050000,0.403131,1
73,1,0.025008,0.002248,0.010000,0.408215,1
74,0,0.317611,0.001940,0.010000,0.417309,0
75,1,3.331917,0.001945,0.010167,0.410383,0
76,1,0.010000,0.002182,0.050000,0.410486,1
77,1,0.012852,0.002588,0.010000,0.415798,1
78,1,0.166614,0.003112,0.010000,0.425467,0
79,1,0.818302,0.003713,0.010002,0.439002,1
80,1,0.470491,0.004359,0.049997,0.455927,1
81,1,0.721511,0.005024,0.021684,0.475595,1
82,1,0.489945,0.005691,0.049948,0.497133,1
83,1,0.635282,0.006344,0.027006,0.519507,1
84,0,0.500881,0.005735,0.049321,0.541672,1
85,1,3.980644,0.005485,0.030264,0.520991,1
86,1,0.010000,0.005495,0.050000,0.512518,0
87,1,0.010000,0.005691,0.010000,0.512881,0
88,1,0.010000,0.006013,0.010000,0.519508,1
89,0,0.049506,0.005119,0.010000,0.530447,0
90,1,3.382447,0.004685,0.010000,0.500252,0
91,1,0.010000,0.004589,0.050000,0.486025,0
92,1,0.010000,0.004732,0.010000,0.482912,0
93,1,0.028195,0.005041,0.010000,0.487548,1
94,0,0.186295,0.004109,0.010000,0.497681,0
95,1,4.323215,0.003676,0.010003,0.467837,0
96,1,0.010000,0.003607,0.050000,0.454868,0
97,1,0.010000,0.003794,0.010000,0.452835,0
98,1,0.010000,0.004156,0.010000,0.458311,1
