episode,is_optimal,expected,unexpected,ach,sigma_ne,argmax_fallback
0,0,0.693247,0.000000,0.010000,1.000000,1
1,0,1.484206,0.000047,0.010000,1.000000,1
2,0,0.350547,0.000167,0.010000,1.000000,0
3,1,1.638274,0.000133,0.010000,1.000000,0
4,0,0.417985,0.000162,0.010000,1.000000,0
5,0,1.615968,0.000299,0.010000,1.000000,1
6,1,0.203492,0.000239,0.010000,1.000000,1
7,1,2.388334,0.000191,0.010000,1.000000,0
8,1,0.055727,0.000153,0.010000,1.000000,0
9,1,1.412675,0.000122,0.010000,1.000000,0
10,0,0.485191,0.000098,0.010000,1.000000,0
11,0,1.871991,0.000078,0.010000,1.000000,1
12,1,0.148633,0.000063,0.010000,1.000000,1
13,1,1.938707,0.000050,0.010000,1.000000,0
14,1,0.135251,0.000040,0.010000,1.000000,1
15,1,1.623606,0.000072,0.010000,1.000000,1
16,0,0.227759,0.000057,0.010000,1.000000,0
17,1,2.272567,0.000057,0.010000,1.000000,1
18,0,0.041150,0.000046,0.010000,1.000000,1
19,0,1.367168,0.000037,0.010000,1.000000,0
20,0,0.612230,0.000029,0.010000,1.000000,1
21,0,1.649898,0.000024,0.010000,1.000000,0
22,0,0.247578,0.000065,0.010000,1.000000,0
23,1,1.685512,0.000052,0.010000,1.000000,0
24,1,0.359614,0.000042,0.010000,1.000000,1
25,0,2.094806,0.000033,0.010000,1.000000,0
26,1,0.080352,0.000027,0.010000,1.000000,0
27,1,1.639385,0.000021,0.010000,1.000000,1
28,1,0.292712,0.000017,0.010000,1.000000,1
29,0,1.820311,0.000014,0.010000,1.000000,0
30,0,0.226453,0.000011,0.010000,1.000000,1
31,0,1.967478,0.000009,0.010000,1.000000,1
32,1,0.113012,0.000007,0.010000,1.000000,1
33,1,1.830425,0.000006,0.010000,1.000000,1
34,1,0.182875,0.000010,0.010000,1.000000,0
35,1,1.750241,0.000107,0.010000,1.000000,1
36,1,0.168420,0.000303,0.010000,1.000000,1
37,0,1.487567,0.000272,0.010000,1.000000,0
38,1,0.622504,0.000366,0.010000,1.000000,0
39,1,1.314546,0.000578,0.010000,1.000000,1
40,0,0.385197,0.000513,0.010000,1.000000,0
41,1,2.474261,0.000599,0.010000,1.000000,1
42,0,0.018881,0.000479,0.010000,1.000000,0
43,1,1.032682,0.000503,0.010000,1.000000,1
44,1,0.717604,0.000673,0.010000,1.000000,1
