episode,is_optimal,expected,unexpected,ach,sigma_ne,argmax_fallback
0,1,0.693247,0.000000,0.010464,0.376027,1
1,1,1.484206,0.000047,0.010464,0.376027,1
2,1,0.350547,0.000167,0.010464,0.376678,1
3,0,1.638274,0.000133,0.010464,0.378383,0
4,1,0.417985,0.000162,0.010464,0.377904,1
5,1,1.615968,0.000299,0.010464,0.378318,0
6,1,0.203492,0.000540,0.010464,0.380326,0
7,0,1.419841,0.000463,0.010464,0.384055,0
8,1,0.802455,0.000540,0.010464,0.382829,1
9,1,0.969406,0.000756,0.010464,0.384055,1
10,1,0.683180,0.001088,0.010464,0.387569,1
11,1,0.967828,0.001518,0.010464,0.393369,0
12,1,0.574058,0.002024,0.010464,0.401551,1
13,1,0.953532,0.002589,0.010464,0.412234,1
14,1,0.499595,0.003195,0.010464,0.425490,0
15,1,0.902641,0.003827,0.010464,0.441266,1
16,1,0.471569,0.004472,0.010464,0.459318,1
17,1,0.819849,0.005118,0.010464,0.479187,1
18,0,0.476829,0.004750,0.010464,0.500218,0
19,0,3.531491,0.003802,0.010464,0.488144,0
20,0,0.010000,0.003042,0.010464,0.458563,0
21,1,0.867633,0.002433,0.010464,0.437117,1
22,0,0.633951,0.001947,0.010464,0.421691,1
23,0,2.662496,0.001557,0.010464,0.410523,0
24,0,0.046397,0.001246,0.010464,0.402345,0
25,1,1.745602,0.000997,0.010464,0.396280,0
26,0,0.130565,0.000797,0.010464,0.391727,0
27,0,2.339151,0.000638,0.010464,0.388272,0
28,0,0.072310,0.000510,0.010464,0.385624,0
29,1,1.665192,0.000408,0.010464,0.383579,1
30,1,0.228541,0.000327,0.010464,0.381989,1
31,0,1.637973,0.000261,0.010464,0.380746,0
32,1,0.417013,0.000209,0.010464,0.379770,1
33,0,1.619378,0.000167,0.010464,0.379001,1
34,1,0.423803,0.000134,0.010464,0.378394,0
35,1,1.635634,0.000107,0.010464,0.377912,1
36,1,0.198914,0.000116,0.010464,0.377530,1
37,0,1.435502,0.000093,0.010464,0.377664,1
38,1,0.762890,0.000075,0.010464,0.377333,1
39,0,1.039594,0.000060,0.010464,0.377069,1
40,1,1.392127,0.000048,0.010464,0.376859,1
41,1,0.341434,0.000179,0.010464,0.376691,1
42,1,1.436240,0.000466,0.010464,0.378565,1
43,1,0.246160,0.000878,0.010464,0.382879,0
44,0,1.258030,0.000810,0.010464,0.389647,0
45,1,1.270961,0.000952,0.010464,0.388494,0
46,1,0.343982,0.001259,0.010464,0.390937,1
47,1,1.219296,0.001693,0.010464,0.396523,1
48,0,0.318024,0.001543,0.010464,0.405124,0
49,1,3.042254,0.001636,0.010464,0.402062,1
50,0,0.010000,0.001309,0.010464,0.403938,1
51,1,0.332158,0.001248,0.010464,0.397468,1
52,0,1.252180,0.000998,0.010464,0.396321,0
53,0,1.289842,0.000799,0.010464,0.391758,0
54,0,1.066372,0.000639,0.010464,0.388295,0
55,1,1.316516,0.000511,0.010464,0.385642,1
56,1,0.413792,0.000409,0.010464,0.383593,1
57,1,1.413296,0.000404,0.010464,0.382000,1
58,1,0.266144,0.000608,0.010464,0.381928,1
59,1,1.282523,0.000973,0.010464,0.385133,1
60,0,0.293419,0.000828,0.010464,0.391313,1
61,1,2.962259,0.000929,0.010464,0.388791,0
62,1,0.010000,0.001222,0.010464,0.390543,0
63,1,0.063520,0.001658,0.010464,0.395831,0
64,1,0.678992,0.002200,0.010464,0.404406,1
65,0,0.747774,0.002020,0.010464,0.416210,0
66,1,2.663315,0.002105,0.010464,0.412136,1
67,0,0.010000,0.001684,0.010464,0.414051,0
68,0,0.804592,0.001347,0.010464,0.404940,1
69,1,2.220765,0.001078,0.010464,0.398213,0
70,1,0.027781,0.000989,0.010464,0.393184,0
71,0,0.439797,0.000791,0.010464,0.391591,0
72,0,2.871622,0.000633,0.010464,0.388168,1
73,0,0.023595,0.000506,0.010464,0.385544,0
74,1,1.229677,0.000405,0.010464,0.383517,1
75,1,0.467237,0.000324,0.010464,0.381941,0
76,0,1.312233,0.000259,0.010464,0.380708,1
77,0,1.013340,0.000207,0.010464,0.379741,1
78,0,1.396945,0.000166,0.010464,0.378978,1
79,0,0.660432,0.000133,0.010464,0.378375,0
80,1,1.715216,0.000106,0.010464,0.377897,1
81,1,0.221098,0.000085,0.010464,0.377518,0
82,1,1.709963,0.000068,0.010464,0.377216,1
83,0,0.170378,0.000054,0.010464,0.376976,1
84,0,2.268495,0.000043,0.010464,0.376785,0
85,1,0.073098,0.000035,0.010464,0.376632,0
86,1,1.294675,0.000028,0.010464,0.376511,0
87,1,0.471747,0.000092,0.010464,0.376414,1
88,1,1.435535,0.000309,0.010464,0.377315,1
89,1,0.274127,0.000654,0.010464,0.380475,1
90,0,1.348450,0.000598,0.010464,0.385884,0
91,1,1.017061,0.000731,0.010464,0.384973,1
92,1,0.624447,0.001020,0.010464,0.387164,1
93,1,1.034455,0.001432,0.010464,0.392144,0
94,1,0.504180,0.001940,0.010464,0.399859,0
95,0,1.019513,0.001828,0.010464,0.410368,1
96,1,1.919123,0.001943,0.010464,0.407957,1
97,1,0.057639,0.002233,0.010464,0.410447,1
98,0,0.656533,0.001946,0.010464,0.416967,1
99,0,2.674142,0.001556,0.010464,0.410500,0
100,0,0.047196,0.001245,0.010464,0.402328,0
101,0,1.797455,0.000996,0.010464,0.396268,0
102,0,0.327829,0.000797,0.010464,0.391718,1
103,1,2.279123,0.000638,0.010464,0.388264,1
104,1,0.040714,0.000510,0.010464,0.385618,1
105,1,0.838220,0.000408,0.010464,0.383575,0
106,1,0.913153,0.000451,0.010464,0.381986,0
107,0,0.744563,0.000361,0.010464,0.382655,0
108,1,2.103164,0.000333,0.010464,0.381268,1
109,1,0.047191,0.000507,0.010464,0.380838,0
110,0,0.724894,0.000406,0.010464,0.383530,0
111,0,2.211274,0.000325,0.010464,0.381951,0
112,1,0.123006,0.000260,0.010464,0.380716,1
113,1,1.307188,0.000304,0.010464,0.379747,0
114,1,0.355933,0.000535,0.010464,0.380412,1
115,1,1.305869,0.000913,0.010464,0.383968,1
116,1,0.290694,0.001404,0.010464,0.390252,1
117,1,1.161758,0.001980,0.010464,0.399310,0
118,1,0.332801,0.002614,0.010464,0.411249,0
119,1,1.018915,0.003286,0.010464,0.426113,1
120,1,0.381376,0.003978,0.010464,0.443769,1
121,1,0.886017,0.004674,0.010464,0.463833,1
122,0,0.427814,0.004368,0.010464,0.485656,1
123,1,3.570289,0.004342,0.010464,0.475905,0
124,1,0.010000,0.004522,0.010464,0.475090,1
125,1,0.010000,0.004848,0.010464,0.480779,0
126,1,0.048420,0.005275,0.010464,0.491329,0
127,1,0.378270,0.005765,0.010464,0.505458,1
128,1,0.722000,0.006290,0.010464,0.522002,0
129,1,0.453580,0.006829,0.010464,0.539856,1
130,1,0.615438,0.007365,0.010464,0.558001,1
131,1,0.481235,0.007884,0.010464,0.575582,0
132,1,0.543436,0.008379,0.010464,0.591965,1
133,0,0.482102,0.007444,0.010464,0.606754,1
134,1,4.358655,0.006927,0.010464,0.578118,1
135,1,0.010000,0.006717,0.010464,0.561245,0
136,1,0.010000,0.006727,0.010464,0.554250,0
137,1,0.010000,0.006892,0.010464,0.554608,1
138,1,0.010000,0.007157,0.010464,0.560082,1
139,0,0.051482,0.006007,0.010464,0.568853,0
140,1,3.806737,0.005374,0.010464,0.530223,1
141,0,0.010000,0.004299,0.010464,0.508798,0
142,0,0.065028,0.003439,0.010464,0.473734,1
143,1,3.409709,0.002752,0.010464,0.448051,1
144,1,0.010000,0.002201,0.010464,0.429560,0
145,1,0.010000,0.001761,0.010464,0.416234,1
146,1,0.035331,0.001669,0.010464,0.406540,1
147,1,0.243270,0.001891,0.010464,0.404629,1
148,0,0.622278,0.001513,0.010464,0.409314,0
149,1,3.970237,0.001210,0.010464,0.401453,0
150,0,0.010000,0.000968,0.010464,0.395614,0
151,0,0.035751,0.000775,0.010464,0.391223,0
152,1,2.662756,0.000620,0.010464,0.387887,0
153,1,0.010000,0.000496,0.010464,0.385328,1
154,1,0.047153,0.000397,0.010464,0.383349,0
155,1,0.365822,0.000402,0.010464,0.381810,1
156,0,0.718203,0.000322,0.010464,0.381898,1
157,1,3.443343,0.000257,0.010464,0.380675,1
158,1,0.010000,0.000223,0.010464,0.379714,1
159,0,0.010000,0.000178,0.010464,0.379201,0
160,1,1.043367,0.000142,0.010464,0.378551,1
161,1,0.294585,0.000114,0.010464,0.378037,1
162,1,0.779009,0.000407,0.010464,0.377629,1
163,1,0.433706,0.000931,0.010464,0.381974,0
164,0,0.655690,0.000745,0.010464,0.390567,1
165,1,3.658600,0.000613,0.010464,0.387385,1
166,1,0.010000,0.000830,0.010464,0.385219,1
167,1,0.010000,0.001291,0.010464,0.388834,0
168,1,0.017404,0.001911,0.010464,0.397124,1
169,1,0.134990,0.002629,0.010464,0.409748,0
170,1,0.530853,0.003398,0.010464,0.426489,1
171,0,0.504213,0.002813,0.010464,0.446895,1
172,0,4.263480,0.002250,0.010464,0.431127,0
173,1,0.010000,0.001800,0.010464,0.417367,1
174,0,0.016866,0.001440,0.010464,0.407368,0
175,1,2.128202,0.001152,0.010464,0.400014,0
176,1,0.018082,0.000922,0.010464,0.394537,1
177,1,0.174471,0.000813,0.010464,0.390408,0
178,0,0.689604,0.000651,0.010464,0.388544,0
179,1,3.470750,0.000521,0.010464,0.385833,1
180,1,0.010000,0.000434,0.010464,0.383741,1
181,1,0.010000,0.000689,0.010464,0.382392,0
182,1,0.036920,0.001178,0.010464,0.386454,0
183,1,0.267360,0.001822,0.010464,0.395014,0
184,0,0.658242,0.001458,0.010464,0.407834,0
185,1,3.795409,0.001340,0.010464,0.400359,1
186,0,0.010000,0.001072,0.010464,0.398066,0
187,1,0.057235,0.000857,0.010464,0.393074,1
188,1,0.426741,0.000751,0.010464,0.389297,1
189,1,0.702550,0.000984,0.010464,0.387492,1
190,1,0.471515,0.001452,0.010464,0.391502,1
