ablation,seed,mean_reward,std_reward,total_reward,normal_mean,normal_std,normal_total,diff_mean,diff_total
ach_only,1,103.5854,113.97272790821495,1035854.0,147.4578,111.00234690834243,1474578.0,-43.872399999999985,-438724.0
ach_only,2,111.579,84.89849562271407,1115790.0,166.6283,113.40507545568673,1666283.0,-55.0493,-550493.0
ach_only,3,144.8055,94.96376398263708,1448055.0,181.7089,128.31137658364514,1817089.0,-36.903400000000005,-369034.0
ach_only,4,143.9503,94.33939913901297,1439503.0,179.7272,136.5285515200392,1797272.0,-35.77690000000001,-357769.0
ach_only,5,137.2721,103.68408200678637,1372721.0,165.4211,118.26247154017203,1654211.0,-28.149,-281490.0
ach_only,6,180.2198,117.93270660830268,1802198.0,141.6983,90.67294346777322,1416983.0,38.5215,385215.0
ach_only,7,136.7544,98.18539952885052,1367544.0,207.5604,131.95054509868461,2075604.0,-70.80599999999998,-708060.0
ach_only,8,103.9211,96.59619285867326,1039211.0,106.6735,87.0475025359717,1066735.0,-2.7524000000000086,-27524.0
ach_only,9,165.1033,130.1914898490297,1651033.0,138.6885,114.95265663633008,1386885.0,26.414799999999985,264148.0
ach_only,10,158.9513,103.35030686122803,1589513.0,196.0998,141.32779429383308,1960998.0,-37.148499999999984,-371485.0
ach_only,11,127.8944,101.3657676370085,1278944.0,135.4533,99.88919871092169,1354533.0,-7.558900000000008,-75589.0
ach_only,12,155.5457,105.21236767371981,1555457.0,101.6699,90.85796131319478,1016699.0,53.87580000000001,538758.0
ach_only,13,155.5556,114.49949566980634,1555556.0,149.7273,108.96201234701019,1497273.0,5.8282999999999845,58283.0
ach_only,14,137.0101,107.40156888048703,1370101.0,122.1378,104.2387231846208,1221378.0,14.872299999999996,148723.0
ach_only,15,107.8328,96.4584379106359,1078328.0,145.552,108.15396292323273,1455520.0,-37.71919999999999,-377192.0
ach_only,16,144.7068,98.5184167237781,1447068.0,101.5203,85.84439170912681,1015203.0,43.18649999999998,431865.0
ach_only,17,165.7496,99.53119159258569,1657496.0,162.4011,128.70202569808293,1624011.0,3.348499999999973,33485.0
ach_only,18,139.6241,102.58626613338649,1396241.0,103.2387,101.08590367756526,1032387.0,36.385400000000004,363854.0
ach_only,19,130.681,114.32897637519545,1306810.0,185.3694,134.6922081771622,1853694.0,-54.6884,-546884.0
ach_only,20,116.711,118.4054419315261,1167110.0,137.2579,107.26362378546605,1372579.0,-20.546900000000008,-205469.0
ne_only,1,66.9827,108.94050670301658,669827.0,147.4578,111.00234690834243,1474578.0,-80.4751,-804751.0
ne_only,2,71.1376,107.85267204033472,711376.0,166.6283,113.40507545568673,1666283.0,-95.49069999999999,-954907.0
ne_only,3,67.1102,100.10445472585124,671102.0,181.7089,128.31137658364514,1817089.0,-114.5987,-1145987.0
ne_only,4,65.9264,106.56748370417685,659264.0,179.7272,136.5285515200392,1797272.0,-113.80080000000001,-1138008.0
ne_only,5,73.0145,116.04957255306888,730145.0,165.4211,118.26247154017203,1654211.0,-92.4066,-924066.0
ne_only,6,64.2549,90.28962468628386,642549.0,141.6983,90.67294346777322,1416983.0,-77.44339999999998,-774434.0
ne_only,7,74.3571,115.09057728411132,743571.0,207.5604,131.95054509868461,2075604.0,-133.20329999999998,-1332033.0
ne_only,8,50.2811,87.9588294760111,502811.0,106.6735,87.0475025359717,1066735.0,-56.3924,-563924.0
ne_only,9,85.7907,132.30794796046834,857907.0,138.6885,114.95265663633008,1386885.0,-52.897800000000004,-528978.0
ne_only,10,70.7863,106.35409739314231,707863.0,196.0998,141.32779429383308,1960998.0,-125.31349999999999,-1253135.0
ne_only,11,59.6542,96.45967044501033,596542.0,135.4533,99.88919871092169,1354533.0,-75.79910000000001,-757991.0
ne_only,12,61.2622,98.54506304813042,612622.0,101.6699,90.85796131319478,1016699.0,-40.4077,-404077.0
ne_only,13,77.6637,120.46813853592161,776637.0,149.7273,108.96201234701019,1497273.0,-72.06360000000001,-720636.0
ne_only,14,53.5807,93.09393797401633,535807.0,122.1378,104.2387231846208,1221378.0,-68.55709999999999,-685571.0
ne_only,15,53.18,84.19371591751964,531800.0,145.552,108.15396292323273,1455520.0,-92.37199999999999,-923720.0
ne_only,16,63.693,97.77778659286577,636930.0,101.5203,85.84439170912681,1015203.0,-37.82730000000001,-378273.0
ne_only,17,73.0552,104.36021537425074,730552.0,162.4011,128.70202569808293,1624011.0,-89.34590000000001,-893459.0
ne_only,18,71.5301,109.94796903076472,715301.0,103.2387,101.08590367756526,1032387.0,-31.70859999999999,-317086.0
ne_only,19,80.8298,124.85579935253308,808298.0,185.3694,134.6922081771622,1853694.0,-104.53960000000001,-1045396.0
ne_only,20,75.0745,113.90535874027174,750745.0,137.2579,107.26362378546605,1372579.0,-62.183400000000006,-621834.0
