episode,reward,unexpected_uncertainty,expected_uncertainty,mean_variance,mean_td_error_sq,mean_delta_var,mean_actor_lr,mean_abs_td
0,10.0,0.0001590634089410306,0.07980241422708254,0.6965012729167939,0.9821839279221478,0.00026068244867862554,1.0000000005854706e-05,0.990982449054718
1,27.0,0.000984727331636073,0.26043227320782336,0.705068031946818,0.9902627364698344,0.00025396253109327916,1.0000000019434655e-05,0.994800086374636
2,16.0,0.00018425525273021008,0.34755770475515674,0.7172908708453178,0.9815604039737116,0.00022881715072192344,1.0000000035207793e-05,0.9897428192198277
3,11.0,1.582740569184935e-05,0.4002683504604687,0.7245392040772871,0.9566727331422055,0.0002017697624674358,1.0000000047400281e-05,0.9760449420322072
4,10.0,1.699454745675431e-06,0.4434686628107229,0.7260669589042663,0.9367441497493061,0.0001850709749597314,1.0000000058283288e-05,0.965625011920929
5,35.0,0.0016240070987943401,0.5665383899668812,0.7366133996418545,0.9842185334168554,0.00020567479547150356,1.0000000085535178e-05,0.989746836253575
6,15.0,5.713967003888466e-05,0.6084811630130317,0.7505126317342122,0.9412335267246417,0.00016229695875931543,1.0000000119540573e-05,0.9646718700726827
7,10.0,6.135325353031021e-06,0.6332074423169713,0.7519007802009583,0.945530930135849,0.00016929019610090705,1.00000001378616e-05,0.9634394407272339
8,19.0,8.841935671586332e-08,0.6746746202647822,0.7600808269099185,0.9580960287190473,0.0001616665470557224,1.0000000159592197e-05,0.9712518986902738
9,21.0,0.058115972348978265,0.7133443697481231,0.7707675638652983,1.0131799284789733,0.0001895971863079688,1.0000000189783401e-05,0.9954229763575962
10,16.0,0.0016358191963445796,0.7382926800314235,0.7768844589591026,0.9331100476966998,0.00012927314584597994,1.0000000217428146e-05,0.9516310431063175
11,22.0,0.0007683009560489073,0.7674623634889264,0.7840393023057417,0.9611166244673952,0.00012947624651720314,1.000000024476509e-05,0.9666394808075645
12,11.0,6.599654959431184e-05,0.7802615048326327,0.7920996980233626,0.8710726462997113,5.1344759634056465e-05,1.000000026749381e-05,0.9126978137276389
13,11.0,5.6690604431282326e-06,0.7914976688879916,0.7880806381052191,0.8502452962371411,2.765387518608362e-05,1.000000028186701e-05,0.8934704769741405
14,23.0,3.346422628248867e-08,0.8118527451422708,0.7926351816757865,0.9128981207706104,8.214706079714046e-05,1.000000030245898e-05,0.9358905631562938
