config_id,actor_lr_min,base_noise,ne_max,ach_max,ne_k,ach_k,ne_center,ach_center,critic_base_lr
0,0.0001,0.5,3.0,1.0,0.1,10.0,15.0,5.0,0.001
1,0.0001,1.0,3.0,0.5,0.2,4.0,10.0,8.0,0.003
2,5e-05,0.25,1.0,1.0,0.2,4.0,10.0,5.0,0.0003
3,5e-05,1.0,3.0,1.0,0.2,4.0,10.0,8.0,0.0003
4,5e-05,0.5,3.0,0.5,0.1,10.0,10.0,5.0,0.0003
5,5e-05,0.25,3.0,1.0,0.2,4.0,15.0,8.0,0.003
6,0.0001,0.25,3.0,0.5,0.1,10.0,10.0,8.0,0.0003
7,0.0001,1.0,3.0,0.5,0.2,10.0,15.0,5.0,0.0003
8,5e-05,0.5,3.0,1.0,0.1,10.0,15.0,8.0,0.001
9,1e-05,1.0,3.0,0.5,0.1,4.0,15.0,5.0,0.0003
10,5e-05,0.25,3.0,1.0,0.1,10.0,10.0,5.0,0.001
11,5e-05,1.0,3.0,1.0,0.2,4.0,15.0,8.0,0.0003
12,1e-05,0.5,1.0,1.0,0.1,4.0,10.0,8.0,0.003
13,5e-05,1.0,3.0,1.0,0.2,4.0,15.0,5.0,0.003
14,1e-05,0.5,3.0,0.5,0.2,10.0,15.0,5.0,0.001
15,0.0001,0.5,3.0,1.0,0.1,10.0,15.0,5.0,0.003
16,1e-05,0.25,1.0,0.5,0.1,4.0,15.0,5.0,0.003
17,0.0001,0.5,1.0,0.5,0.1,4.0,10.0,8.0,0.0003
18,0.0001,0.25,3.0,1.0,0.2,10.0,10.0,5.0,0.001
19,0.0001,0.25,1.0,1.0,0.2,10.0,15.0,8.0,0.003
20,1e-05,0.5,3.0,0.5,0.2,4.0,15.0,8.0,0.003
21,0.0001,0.5,1.0,0.5,0.2,4.0,15.0,8.0,0.0003
22,1e-05,0.25,3.0,0.5,0.1,4.0,10.0,5.0,0.001
23,0.0001,0.5,1.0,1.0,0.1,10.0,10.0,8.0,0.001
24,1e-05,0.25,3.0,0.5,0.2,4.0,10.0,5.0,0.0003
