episode,is_optimal,expected,unexpected
0,0,0.008326,0.000000
1,1,0.016587,0.000000
2,1,0.024787,0.000000
3,0,0.032922,0.000000
4,1,0.040997,0.000000
5,0,0.049008,0.000000
6,0,0.056959,0.000000
7,0,0.064848,0.000000
8,0,0.072673,0.000093
9,0,0.080432,0.000289
10,0,0.088124,0.000585
11,1,0.095746,0.000534
12,0,0.103321,0.000640
13,1,0.110828,0.000512
14,1,0.118288,0.000410
15,0,0.125697,0.000328
16,0,0.133043,0.000352
17,0,0.140325,0.000530
18,0,0.147540,0.000838
19,0,0.154689,0.001254
20,1,0.161768,0.001167
21,0,0.168809,0.001284
22,0,0.175783,0.001564
23,0,0.182689,0.001971
24,0,0.189526,0.002472
25,0,0.196293,0.003041
26,0,0.202990,0.003656
27,0,0.209615,0.004297
28,1,0.216168,0.004000
29,1,0.222699,0.003200
30,0,0.229202,0.002793
31,0,0.235638,0.002715
32,0,0.242006,0.002881
33,0,0.248306,0.003224
34,1,0.254536,0.002749
35,0,0.260746,0.002634
36,1,0.266889,0.002107
37,0,0.273010,0.001788
38,0,0.279065,0.001806
39,0,0.285055,0.002071
40,0,0.290978,0.002511
41,0,0.296834,0.003069
42,0,0.302623,0.003703
43,1,0.308343,0.003271
44,1,0.314053,0.002617
45,0,0.319748,0.002093
46,0,0.325379,0.001930
47,0,0.330946,0.002074
48,0,0.336449,0.002438
49,0,0.341887,0.002952
50,0,0.347260,0.003561
51,0,0.352567,0.004226
52,0,0.357807,0.004914
53,0,0.362982,0.005601
54,1,0.368090,0.004941
55,0,0.373202,0.004678
56,0,0.378249,0.004703
57,0,0.383232,0.004929
58,1,0.388150,0.003963
59,0,0.393073,0.003509
60,0,0.397934,0.003429
61,0,0.402732,0.003613
62,0,0.407468,0.003978
63,0,0.412140,0.004461
64,0,0.416749,0.005013
65,1,0.421296,0.004130
66,0,0.425856,0.003734
67,0,0.430355,0.003689
68,0,0.434793,0.003890
69,0,0.439170,0.004258
70,1,0.443485,0.003406
71,0,0.447818,0.002903
72,0,0.452092,0.002804
73,0,0.456306,0.002989
74,1,0.460461,0.002391
75,1,0.464634,0.001913
76,0,0.468818,0.001531
77,0,0.472948,0.001224
78,0,0.477022,0.000980
79,0,0.481040,0.001035
80,0,0.485003,0.001377
81,0,0.488910,0.001911
82,0,0.492761,0.002564
83,1,0.496556,0.002051
84,0,0.500373,0.001739
85,0,0.504136,0.001806
86,0,0.507844,0.002135
87,0,0.511498,0.002638
88,0,0.515098,0.003248
89,0,0.518643,0.003915
