episode,is_optimal,expected,unexpected
0,0,0.008326,0.000000
1,1,0.016587,0.000000
2,1,0.024787,0.000000
3,0,0.032922,0.000000
4,0,0.040997,0.000000
5,1,0.049008,0.000000
6,1,0.056959,0.000000
7,0,0.064848,0.000000
8,1,0.072678,0.000000
9,0,0.080447,0.000000
10,0,0.088157,0.000000
11,0,0.095807,0.000000
12,1,0.103394,0.000000
13,1,0.110926,0.000000
14,0,0.118402,0.000000
15,0,0.125819,0.000000
16,1,0.133176,0.000000
17,0,0.140479,0.000000
18,1,0.147723,0.000000
19,0,0.154915,0.000000
20,1,0.162047,0.000000
21,1,0.169128,0.000000
22,1,0.176154,0.000000
23,1,0.183123,0.000053
24,1,0.190034,0.000210
25,1,0.196885,0.000470
26,1,0.203673,0.000825
27,1,0.210398,0.001263
28,1,0.217059,0.001770
29,0,0.223653,0.001717
30,0,0.230213,0.001374
31,0,0.236735,0.001099
32,1,0.243216,0.000879
33,1,0.249639,0.000835
34,1,0.256001,0.000983
35,1,0.262302,0.001285
36,0,0.268541,0.001122
37,1,0.274747,0.001189
38,0,0.280892,0.000951
39,1,0.287003,0.000908
40,0,0.293055,0.000726
41,1,0.299074,0.000629
42,0,0.305034,0.000503
43,0,0.310960,0.000403
44,1,0.316849,0.000322
45,0,0.322684,0.000258
46,0,0.328481,0.000206
47,1,0.334238,0.000165
48,0,0.339945,0.000132
49,0,0.345612,0.000106
50,1,0.351237,0.000084
51,1,0.356816,0.000068
52,1,0.362347,0.000054
53,0,0.367828,0.000043
54,1,0.373273,0.000035
55,1,0.378669,0.000145
56,0,0.384015,0.000116
57,1,0.389327,0.000162
58,1,0.394590,0.000353
59,1,0.399802,0.000669
60,1,0.404962,0.001089
61,1,0.410068,0.001594
62,1,0.415119,0.002165
63,1,0.420115,0.002782
64,0,0.425053,0.002666
65,0,0.429975,0.002137
66,0,0.434875,0.001709
67,0,0.439750,0.001368
68,1,0.444596,0.001094
69,0,0.449396,0.000875
70,1,0.454167,0.000700
71,0,0.458892,0.000560
72,0,0.463589,0.000448
73,0,0.468253,0.000359
74,1,0.472884,0.000287
75,1,0.477475,0.000229
76,1,0.482025,0.000184
77,0,0.486531,0.000147
78,0,0.491010,0.000117
79,1,0.495457,0.000094
80,1,0.499864,0.000075
81,0,0.504230,0.000060
82,1,0.508568,0.000048
83,1,0.512866,0.000146
84,1,0.517121,0.000380
85,1,0.521333,0.000732
86,1,0.525499,0.001181
87,0,0.529619,0.001138
88,1,0.533721,0.001287
89,1,0.537778,0.001589
