run,seed,type,post_switch_reward,n_rows
10_classic,10,classic,3772.000000,20000
10_icarus_upgraded,10,icarus_upgraded,8089.000000,20000
10_only_ach,10,only_ach,5068.000000,20000
10_only_ne,10,only_ne,7079.000000,20000
11_classic,11,classic,5010.000000,20000
11_icarus_upgraded,11,icarus_upgraded,7778.000000,20000
11_only_ach,11,only_ach,5052.000000,20000
11_only_ne,11,only_ne,7223.000000,20000
12_classic,12,classic,2256.000000,20000
12_icarus_upgraded,12,icarus_upgraded,7244.000000,20000
12_only_ach,12,only_ach,5071.000000,20000
12_only_ne,12,only_ne,7805.000000,20000
13_classic,13,classic,3256.000000,20000
13_icarus_upgraded,13,icarus_upgraded,8306.000000,20000
13_only_ach,13,only_ach,5096.000000,20000
13_only_ne,13,only_ne,7007.000000,20000
14_classic,14,classic,5523.000000,20000
14_icarus_upgraded,14,icarus_upgraded,6383.000000,20000
14_only_ach,14,only_ach,5083.000000,20000
14_only_ne,14,only_ne,5708.000000,20000
15_classic,15,classic,5346.000000,20000
15_icarus_upgraded,15,icarus_upgraded,6822.000000,20000
15_only_ach,15,only_ach,5105.000000,20000
15_only_ne,15,only_ne,7102.000000,20000
16_classic,16,classic,5042.000000,20000
16_icarus_upgraded,16,icarus_upgraded,8270.000000,20000
16_only_ach,16,only_ach,4981.000000,20000
16_only_ne,16,only_ne,7905.000000,20000
17_classic,17,classic,2923.000000,20000
17_icarus_upgraded,17,icarus_upgraded,7524.000000,20000
17_only_ach,17,only_ach,5046.000000,20000
17_only_ne,17,only_ne,7116.000000,20000
18_classic,18,classic,4958.000000,20000
18_icarus_upgraded,18,icarus_upgraded,6863.000000,20000
18_only_ach,18,only_ach,5133.000000,20000
18_only_ne,18,only_ne,7270.000000,20000
19_classic,19,classic,4190.000000,20000
19_icarus_upgraded,19,icarus_upgraded,8021.000000,20000
19_only_ach,19,only_ach,5095.000000,20000
19_only_ne,19,only_ne,7882.000000,20000
1_classic,1,classic,4547.000000,20000
1_icarus_upgraded,1,icarus_upgraded,5824.000000,20000
1_only_ach,1,only_ach,5057.000000,20000
1_only_ne,1,only_ne,6506.000000,20000
20_classic,20,classic,3297.000000,20000
20_icarus_upgraded,20,icarus_upgraded,7831.000000,20000
20_only_ach,20,only_ach,5062.000000,20000
20_only_ne,20,only_ne,7793.000000,20000
2_classic,2,classic,5161.000000,20000
2_icarus_upgraded,2,icarus_upgraded,6170.000000,20000
2_only_ach,2,only_ach,5070.000000,20000
2_only_ne,2,only_ne,7304.000000,20000
3_classic,3,classic,5139.000000,20000
3_icarus_upgraded,3,icarus_upgraded,7713.000000,20000
3_only_ach,3,only_ach,5012.000000,20000
3_only_ne,3,only_ne,6737.000000,20000
4_classic,4,classic,4947.000000,20000
4_icarus_upgraded,4,icarus_upgraded,7704.000000,20000
4_only_ach,4,only_ach,5098.000000,20000
4_only_ne,4,only_ne,7696.000000,20000
5_classic,5,classic,2615.000000,20000
5_icarus_upgraded,5,icarus_upgraded,7934.000000,20000
5_only_ach,5,only_ach,5032.000000,20000
5_only_ne,5,only_ne,7903.000000,20000
6_classic,6,classic,4217.000000,20000
6_icarus_upgraded,6,icarus_upgraded,6475.000000,20000
6_only_ach,6,only_ach,5026.000000,20000
6_only_ne,6,only_ne,5854.000000,20000
7_classic,7,classic,2636.000000,20000
7_icarus_upgraded,7,icarus_upgraded,7649.000000,20000
7_only_ach,7,only_ach,5097.000000,20000
7_only_ne,7,only_ne,7422.000000,20000
8_classic,8,classic,4678.000000,20000
8_icarus_upgraded,8,icarus_upgraded,7187.000000,20000
8_only_ach,8,only_ach,5071.000000,20000
8_only_ne,8,only_ne,6386.000000,20000
9_classic,9,classic,5227.000000,20000
9_icarus_upgraded,9,icarus_upgraded,7675.000000,20000
9_only_ach,9,only_ach,5096.000000,20000
9_only_ne,9,only_ne,7237.000000,20000
noseed_classic,noseed,classic,4466.000000,20000
