episode,is_optimal,expected,unexpected
0,1,0.008326,0.000000
1,0,0.016587,0.000000
2,1,0.024787,0.000000
3,1,0.032922,0.000014
4,0,0.040992,0.000011
5,1,0.049004,0.000009
6,0,0.056951,0.000007
7,1,0.064840,0.000006
8,1,0.072666,0.000051
9,0,0.080427,0.000041
10,1,0.088133,0.000040
11,1,0.095776,0.000157
12,0,0.103353,0.000126
13,1,0.110879,0.000164
14,0,0.118340,0.000131
15,0,0.125751,0.000105
16,0,0.133109,0.000084
17,0,0.140411,0.000067
18,0,0.147656,0.000054
19,1,0.154840,0.000043
20,1,0.161974,0.000034
21,0,0.169053,0.000028
22,0,0.176076,0.000022
23,1,0.183042,0.000018
24,1,0.189957,0.000014
25,0,0.196820,0.000011
26,0,0.203629,0.000009
27,0,0.210381,0.000092
28,0,0.217076,0.000283
29,1,0.223711,0.000240
30,0,0.230303,0.000330
31,1,0.236837,0.000264
32,1,0.243327,0.000211
33,0,0.249771,0.000169
34,1,0.256161,0.000135
35,0,0.262505,0.000108
36,0,0.268796,0.000167
37,1,0.275032,0.000133
38,1,0.281226,0.000107
39,1,0.287374,0.000085
40,0,0.293475,0.000068
41,0,0.299527,0.000055
42,1,0.305529,0.000044
43,0,0.311487,0.000035
44,0,0.317396,0.000102
45,0,0.323253,0.000275
46,0,0.329057,0.000552
47,1,0.334806,0.000523
48,0,0.340520,0.000640
49,1,0.346181,0.000516
50,0,0.351806,0.000556
51,1,0.357379,0.000445
52,1,0.362916,0.000356
53,1,0.368415,0.000285
54,1,0.373873,0.000228
55,1,0.379287,0.000182
56,1,0.384656,0.000169
57,1,0.389977,0.000287
58,0,0.395249,0.000230
59,0,0.400487,0.000184
60,0,0.405687,0.000147
61,1,0.410849,0.000118
62,0,0.415967,0.000094
63,0,0.421047,0.000075
64,1,0.426085,0.000060
65,1,0.431084,0.000048
66,1,0.436041,0.000072
67,1,0.440955,0.000201
68,1,0.445824,0.000435
69,1,0.450645,0.000767
70,1,0.455417,0.001186
71,1,0.460139,0.001678
72,1,0.464809,0.002229
73,1,0.469426,0.002824
74,0,0.473990,0.002717
75,0,0.478538,0.002215
76,0,0.483066,0.001772
77,1,0.487572,0.001418
78,0,0.492030,0.001134
