episode,is_optimal,expected,unexpected
0,1,0.693247,0.000000
1,0,0.696319,0.000000
2,1,0.699777,0.000000
3,1,0.702819,0.000014
4,0,0.705438,0.000011
5,0,0.709220,0.000009
6,1,0.712526,0.000007
7,0,0.715537,0.000006
8,1,0.718786,0.000005
9,0,0.721762,0.000004
10,1,0.724956,0.000003
11,1,0.727895,0.000002
12,1,0.730395,0.000065
13,1,0.732482,0.000236
14,1,0.734181,0.000509
15,1,0.735515,0.000877
16,0,0.736506,0.000835
17,0,0.741574,0.000668
18,0,0.746050,0.000534
19,0,0.749969,0.000427
20,0,0.753365,0.000342
21,0,0.756270,0.000273
22,0,0.758713,0.000219
23,0,0.760721,0.000230
24,0,0.762323,0.000384
25,1,0.763541,0.000307
26,1,0.767882,0.000245
27,0,0.771654,0.000196
28,1,0.773360,0.000157
29,0,0.777005,0.000126
30,0,0.778736,0.000194
31,0,0.780062,0.000399
32,0,0.781007,0.000722
33,0,0.781596,0.001145
34,1,0.781850,0.001094
35,0,0.786960,0.001231
36,1,0.787333,0.001006
37,1,0.792195,0.000805
38,0,0.796430,0.000644
39,0,0.797346,0.000676
40,0,0.797893,0.000886
41,0,0.798094,0.001240
42,1,0.797972,0.001104
43,1,0.803214,0.000883
44,1,0.807791,0.000706
45,1,0.811743,0.000565
46,1,0.815109,0.000452
47,1,0.817927,0.000362
48,0,0.820230,0.000289
49,1,0.822437,0.000231
50,1,0.824695,0.000185
51,0,0.826471,0.000148
52,1,0.829072,0.000118
53,1,0.830838,0.000095
54,1,0.832148,0.000140
55,1,0.833032,0.000324
56,1,0.833517,0.000629
57,1,0.833630,0.001038
58,1,0.833394,0.001531
59,1,0.832833,0.002090
60,0,0.831967,0.002018
61,1,0.837403,0.002154
62,0,0.836703,0.001821
63,1,0.841826,0.001765
64,1,0.841280,0.001925
65,1,0.840421,0.002250
66,0,0.839271,0.001973
67,1,0.844903,0.001975
68,0,0.843933,0.001580
69,1,0.849229,0.001444
70,0,0.848426,0.001155
71,0,0.853412,0.000924
72,1,0.857697,0.000739
73,1,0.857509,0.000599
74,1,0.856971,0.000717
75,0,0.856106,0.000573
76,1,0.860992,0.000540
77,0,0.860283,0.000432
78,0,0.864885,0.000345
79,1,0.868801,0.000276
80,1,0.868700,0.000221
81,1,0.868233,0.000375
82,1,0.867425,0.000714
83,1,0.866298,0.001192
84,1,0.864876,0.001772
85,1,0.863177,0.002421
86,1,0.861221,0.003114
87,0,0.859027,0.002921
88,1,0.865582,0.002997
89,1,0.863619,0.003270
90,0,0.861415,0.002782
91,1,0.867922,0.002652
92,0,0.865949,0.002122
93,1,0.872024,0.001818
94,1,0.870269,0.001842
95,1,0.868254,0.002106
96,0,0.865999,0.001685
97,1,0.872461,0.001590
98,1,0.870438,0.001777
99,1,0.868173,0.002166
100,1,0.865682,0.002695
101,1,0.862982,0.003315
102,0,0.860089,0.002915
103,1,0.867631,0.002868
104,1,0.865004,0.003076
105,1,0.862177,0.003463
106,1,0.859164,0.003971
107,1,0.855981,0.004554
108,1,0.852638,0.005176
109,1,0.849149,0.005811
110,1,0.845525,0.006439
111,1,0.841777,0.007046
112,1,0.837915,0.007621
113,0,0.833948,0.006702
114,1,0.844006,0.006216
115,1,0.840349,0.006045
116,1,0.836574,0.006099
117,1,0.832690,0.006308
118,1,0.828706,0.006618
119,1,0.824631,0.006988
120,1,0.820472,0.007389
121,1,0.816239,0.007797
122,0,0.811936,0.006546
123,1,0.823311,0.005827
124,1,0.819325,0.005495
125,1,0.815254,0.005441
126,1,0.811106,0.005579
127,1,0.806889,0.005846
128,1,0.802608,0.006192
129,0,0.798271,0.004954
130,1,0.810152,0.004195
131,1,0.806128,0.003874
132,1,0.802031,0.003864
133,1,0.797867,0.004068
134,0,0.793642,0.003255
135,1,0.805437,0.002604
136,1,0.801523,0.002259
137,1,0.797533,0.002276
138,1,0.793473,0.002543
139,1,0.789350,0.002974
140,1,0.785169,0.003506
141,1,0.780937,0.004091
142,1,0.776659,0.004694
143,1,0.772340,0.005289
144,1,0.767985,0.005860
145,1,0.763599,0.006393
146,1,0.759185,0.006882
147,1,0.754748,0.007323
148,1,0.750292,0.007714
149,1,0.745820,0.008054
150,1,0.741335,0.008345
151,1,0.736841,0.008590
152,0,0.732340,0.006872
153,1,0.746797,0.005598
154,1,0.742584,0.004843
155,1,0.738346,0.004465
156,1,0.734087,0.004357
157,1,0.729812,0.004434
158,1,0.725522,0.004636
159,1,0.721221,0.004913
160,0,0.716912,0.003931
161,1,0.731409,0.003145
162,1,0.727381,0.002516
163,1,0.723327,0.002193
164,1,0.719252,0.002184
165,1,0.715158,0.002390
166,1,0.711048,0.002736
167,1,0.706926,0.003166
168,1,0.702795,0.003639
169,0,0.698656,0.002911
170,1,0.713329,0.002329
171,1,0.709462,0.001863
172,0,0.705571,0.001490
173,1,0.719386,0.001192
174,1,0.715774,0.000954
