episode,is_optimal,expected,unexpected
0,1,0.008326,0.000000
1,0,0.016587,0.000000
2,1,0.024787,0.000000
3,0,0.032922,0.000000
4,0,0.040997,0.000000
5,1,0.049008,0.000000
6,1,0.056959,0.000000
7,1,0.064849,0.000000
8,0,0.072674,0.000000
9,1,0.080443,0.000000
10,1,0.088148,0.000063
11,1,0.095790,0.000235
12,0,0.103364,0.000188
13,1,0.110889,0.000255
14,0,0.118349,0.000204
15,0,0.125759,0.000163
16,1,0.133116,0.000131
17,1,0.140413,0.000150
18,1,0.147647,0.000302
19,1,0.154817,0.000576
20,1,0.161922,0.000954
21,1,0.168960,0.001419
22,0,0.175929,0.001359
23,0,0.182861,0.001087
24,0,0.189752,0.000869
25,1,0.196598,0.000696
26,1,0.203384,0.000643
27,0,0.210108,0.000515
28,0,0.216790,0.000412
29,1,0.223427,0.000329
30,1,0.230007,0.000291
31,1,0.236528,0.000434
32,1,0.242987,0.000727
33,1,0.249384,0.001142
34,0,0.255718,0.001052
35,0,0.262019,0.000842
36,0,0.268283,0.000673
37,1,0.274508,0.000539
38,0,0.280676,0.000431
39,0,0.286805,0.000345
40,0,0.292891,0.000276
41,0,0.298932,0.000221
42,1,0.304925,0.000177
43,0,0.310872,0.000141
44,1,0.316772,0.000113
45,1,0.322627,0.000090
46,0,0.328433,0.000072
47,0,0.334197,0.000058
48,0,0.339914,0.000046
49,0,0.345584,0.000070
50,0,0.351204,0.000219
51,0,0.356772,0.000484
52,1,0.362287,0.000442
53,1,0.367769,0.000354
54,0,0.373215,0.000311
55,0,0.378611,0.000421
56,0,0.383957,0.000664
57,0,0.389251,0.001023
58,0,0.394491,0.001476
59,1,0.399676,0.001412
60,0,0.404835,0.001545
61,0,0.409942,0.001835
62,1,0.414993,0.001624
63,0,0.420022,0.001656
64,0,0.424998,0.001879
65,1,0.429919,0.001600
66,0,0.434820,0.001591
67,1,0.439667,0.001273
68,1,0.444493,0.001018
69,1,0.449293,0.000815
70,1,0.454065,0.000652
71,1,0.458804,0.000521
72,1,0.463510,0.000417
73,0,0.468178,0.000334
74,0,0.472808,0.000267
75,1,0.477400,0.000214
76,1,0.481957,0.000171
77,1,0.486478,0.000137
78,1,0.490961,0.000109
