episode,is_optimal,expected,unexpected
0,0,0.693247,0.000000
1,0,0.696319,0.000047
2,0,0.698972,0.000167
3,1,0.701229,0.000133
4,1,0.705445,0.000107
5,1,0.709160,0.000085
6,1,0.712403,0.000068
7,1,0.715201,0.000055
8,1,0.717581,0.000149
9,0,0.719566,0.000119
10,1,0.723799,0.000141
11,1,0.725819,0.000290
12,0,0.727460,0.000232
13,1,0.731942,0.000281
14,0,0.733637,0.000225
15,1,0.737960,0.000218
16,1,0.739703,0.000362
17,1,0.741073,0.000635
18,0,0.742093,0.000547
19,1,0.747031,0.000642
20,1,0.748139,0.000890
21,1,0.748907,0.001264
22,1,0.749357,0.001736
23,1,0.749508,0.002284
24,1,0.749378,0.002885
25,1,0.748985,0.003522
26,1,0.748344,0.004178
27,1,0.747473,0.004840
28,1,0.746385,0.005496
29,0,0.745094,0.005096
30,1,0.753003,0.004989
31,1,0.751928,0.005098
32,1,0.750646,0.005362
33,1,0.749169,0.005733
34,1,0.747510,0.006173
35,0,0.745681,0.005465
36,1,0.754408,0.005147
37,0,0.752819,0.004118
38,1,0.761012,0.003510
39,1,0.759651,0.003309
40,0,0.758095,0.002647
41,0,0.766122,0.002118
42,1,0.773330,0.001694
43,1,0.772418,0.001355
44,1,0.771272,0.001250
45,1,0.769909,0.001456
46,0,0.768342,0.001165
47,1,0.776158,0.000948
48,0,0.774815,0.000758
49,0,0.782161,0.000607
50,1,0.788716,0.000485
51,1,0.788012,0.000388
52,1,0.787050,0.000311
53,1,0.785847,0.000552
54,0,0.784417,0.000441
55,1,0.791674,0.000353
56,0,0.790458,0.000283
57,1,0.797280,0.000226
58,1,0.796264,0.000239
59,1,0.795004,0.000544
60,1,0.793513,0.001053
61,0,0.791809,0.000842
62,1,0.799295,0.000846
63,1,0.797816,0.001134
64,1,0.796119,0.001622
65,1,0.794218,0.002243
66,1,0.792128,0.002947
67,1,0.789861,0.003693
68,0,0.787429,0.003246
69,1,0.796137,0.003171
70,1,0.793964,0.003362
71,1,0.791617,0.003738
72,1,0.789110,0.004236
73,1,0.786454,0.004808
74,1,0.783658,0.005418
75,1,0.780733,0.006038
76,1,0.777689,0.006648
77,1,0.774534,0.007233
78,1,0.771277,0.007784
79,1,0.767927,0.008293
80,1,0.764489,0.008758
81,1,0.760972,0.009175
82,1,0.757382,0.009544
83,1,0.753726,0.009866
84,1,0.750009,0.010143
85,1,0.746236,0.010376
86,1,0.742414,0.010567
87,1,0.738547,0.010720
88,1,0.734640,0.010836
89,1,0.730697,0.010919
90,0,0.726722,0.009017
91,1,0.740073,0.007755
92,1,0.736386,0.006968
93,1,0.732650,0.006530
94,1,0.728871,0.006344
95,1,0.725052,0.006333
96,1,0.721198,0.006441
97,1,0.717313,0.006624
98,1,0.713400,0.006852
99,1,0.709464,0.007099
100,1,0.705508,0.007348
101,1,0.701534,0.007589
102,1,0.697546,0.007812
103,1,0.693546,0.008012
104,1,0.689538,0.008186
105,1,0.685523,0.008333
106,1,0.681504,0.008453
107,1,0.677483,0.008545
108,1,0.673463,0.008611
109,1,0.669444,0.008653
110,1,0.665429,0.008672
111,1,0.661420,0.008670
112,1,0.657419,0.008650
113,1,0.653425,0.008613
114,1,0.649442,0.008560
115,1,0.645470,0.008495
116,0,0.641511,0.006796
117,0,0.657652,0.005437
118,1,0.672546,0.004349
119,1,0.669078,0.003479
120,1,0.665588,0.002784
121,1,0.662077,0.002227
122,1,0.658549,0.001781
123,1,0.655006,0.001425
124,1,0.651451,0.001353
125,1,0.647886,0.001516
126,1,0.644313,0.001835
127,1,0.640735,0.002249
128,0,0.637153,0.001799
129,0,0.652308,0.001439
130,1,0.666291,0.001152
131,1,0.663232,0.000921
132,1,0.660132,0.000737
133,1,0.656995,0.000590
134,1,0.653825,0.000472
135,1,0.650624,0.000377
136,1,0.647397,0.000541
137,1,0.644146,0.000917
138,1,0.640874,0.001427
139,1,0.637583,0.002010
140,1,0.634276,0.002625
141,1,0.630955,0.003240
142,1,0.627623,0.003834
143,1,0.624281,0.004393
144,1,0.620932,0.004906
145,1,0.617577,0.005369
146,1,0.614219,0.005781
147,1,0.610858,0.006140
148,1,0.607497,0.006448
149,1,0.604136,0.006707
150,1,0.600778,0.006921
151,1,0.597423,0.007093
152,1,0.594074,0.007226
153,1,0.590730,0.007324
154,1,0.587393,0.007391
155,1,0.584064,0.007430
156,1,0.580744,0.007445
157,1,0.577435,0.007437
158,1,0.574136,0.007411
159,1,0.570848,0.007368
160,1,0.567573,0.007311
161,1,0.564311,0.007243
162,1,0.561062,0.007164
163,1,0.557828,0.007077
164,1,0.554608,0.006983
165,1,0.551404,0.006883
166,1,0.548216,0.006779
167,1,0.545044,0.006672
168,1,0.541888,0.006562
169,1,0.538750,0.006451
170,1,0.535629,0.006339
171,1,0.532526,0.006226
172,1,0.529441,0.006113
173,0,0.526375,0.004890
174,1,0.543453,0.003912
175,1,0.540548,0.003130
176,1,0.537650,0.002504
177,1,0.534760,0.002003
178,1,0.531879,0.001603
179,1,0.529007,0.001315
180,1,0.526144,0.001253
181,1,0.523292,0.001344
182,1,0.520451,0.001538
183,1,0.517621,0.001793
184,1,0.514803,0.002082
185,1,0.511998,0.002383
186,0,0.509205,0.001907
187,1,0.525768,0.001525
188,1,0.523139,0.001220
189,1,0.520512,0.000976
190,1,0.517888,0.000781
191,1,0.515267,0.000625
192,1,0.512650,0.000500
193,1,0.510038,0.000583
194,1,0.507431,0.000809
195,0,0.504831,0.000647
196,1,0.520790,0.000518
197,1,0.518364,0.000414
198,1,0.515933,0.000332
199,1,0.513498,0.000265
200,1,0.511060,0.000212
201,1,0.508619,0.000174
202,1,0.506178,0.000353
203,1,0.503736,0.000672
204,1,0.501295,0.001075
205,1,0.498855,0.001523
206,1,0.496418,0.001984
207,1,0.493983,0.002438
208,1,0.491552,0.002870
209,1,0.489126,0.003272
210,1,0.486704,0.003637
211,1,0.484287,0.003962
212,1,0.481877,0.004248
213,1,0.479473,0.004494
214,0,0.477076,0.003595
215,1,0.493037,0.002876
216,1,0.490800,0.002301
217,1,0.488560,0.001841
