episode,is_optimal,surprise
0,1,0.000000
1,1,0.000000
2,0,0.011911
3,0,0.023918
4,1,0.021526
5,1,0.019373
6,1,0.017436
7,0,0.018338
8,1,0.016504
9,0,0.014854
10,0,0.013368
11,1,0.012031
12,1,0.010828
13,1,0.009745
14,1,0.008771
15,0,0.007894
16,0,0.007104
17,0,0.006394
18,1,0.005755
19,0,0.005179
20,1,0.004661
21,0,0.004195
22,1,0.003776
23,0,0.003398
24,1,0.003058
25,0,0.002752
26,0,0.002477
27,0,0.002229
28,1,0.002007
29,0,0.001806
30,0,0.001625
31,0,0.001463
32,0,0.001316
33,1,0.001185
34,0,0.001066
35,0,0.000960
36,1,0.000864
37,1,0.001349
38,1,0.001711
39,0,0.001539
40,0,0.001386
41,1,0.001247
42,1,0.001122
43,0,0.001010
44,1,0.000909
45,1,0.000818
46,1,0.000736
47,1,0.000663
48,1,0.000596
49,1,0.000537
50,1,0.000483
51,1,0.000435
52,1,0.000391
53,1,0.000352
54,1,0.000317
55,1,0.000285
56,1,0.000257
57,1,0.000231
58,1,0.000208
59,1,0.000187
60,1,0.000168
61,1,0.000152
62,0,0.047972
63,1,0.043175
64,0,0.087031
65,1,0.078328
66,1,0.070495
67,1,0.063446
68,1,0.057101
69,1,0.051391
70,1,0.046252
71,1,0.041627
72,0,0.090396
73,1,0.081357
74,0,0.117747
75,0,0.142555
76,0,0.154814
77,1,0.139333
78,1,0.125400
79,1,0.112860
80,1,0.101574
81,1,0.091416
82,0,0.082275
83,1,0.074047
84,1,0.066643
85,1,0.059978
86,1,0.053980
87,1,0.048582
88,1,0.043724
89,1,0.039352
90,0,0.035417
91,1,0.031875
92,1,0.028687
93,0,0.026097
94,1,0.023487
95,1,0.021138
96,1,0.019024
97,1,0.017122
98,1,0.015410
99,1,0.013869
100,1,0.012482
101,1,0.011234
102,1,0.010110
103,1,0.009099
104,1,0.008189
105,0,0.038616
106,1,0.034754
107,1,0.031279
108,1,0.028151
109,1,0.025336
110,1,0.022802
111,1,0.020522
112,1,0.018470
113,0,0.069657
114,1,0.062691
115,1,0.056422
116,1,0.050780
117,1,0.045702
118,1,0.041132
119,1,0.037019
120,1,0.033317
121,1,0.029985
122,1,0.026987
123,1,0.024288
124,1,0.021859
125,1,0.019673
126,1,0.017706
127,1,0.015935
128,1,0.014342
129,1,0.012908
130,1,0.011617
131,1,0.010455
132,1,0.009410
133,1,0.008469
134,1,0.007622
135,1,0.006860
136,1,0.006174
137,1,0.005556
138,1,0.005001
139,1,0.004501
140,1,0.004051
141,0,0.083078
142,1,0.074770
143,1,0.067293
144,1,0.060564
145,1,0.054507
146,1,0.049057
147,1,0.044151
148,0,0.084923
149,0,0.116073
150,1,0.104466
151,1,0.094019
152,1,0.084617
153,1,0.076155
154,1,0.068540
155,1,0.061686
156,1,0.055517
157,0,0.063864
158,0,0.069763
159,1,0.062787
160,1,0.056508
161,1,0.050857
162,1,0.045772
163,1,0.041195
164,0,0.043296
165,1,0.038967
166,1,0.035070
167,1,0.031563
168,1,0.028407
169,1,0.025566
170,1,0.023009
171,1,0.020708
172,1,0.018638
173,1,0.016774
174,1,0.015096
175,1,0.013587
176,1,0.012228
177,1,0.011005
178,1,0.009905
179,1,0.008914
180,1,0.008023
181,1,0.007221
182,1,0.006499
183,1,0.005849
184,1,0.005264
185,1,0.004737
186,1,0.004264
187,1,0.003837
188,1,0.003454
189,1,0.003108
190,1,0.002797
191,1,0.002518
192,1,0.002266
193,1,0.002039
194,1,0.001835
195,1,0.001652
196,1,0.001487
197,1,0.001338
198,1,0.001204
199,1,0.001084
200,1,0.000975
201,1,0.000878
202,1,0.000790
203,1,0.000711
204,1,0.000640
205,0,0.074311
206,0,0.133207
207,1,0.119886
208,1,0.107897
209,1,0.097108
210,1,0.087397
211,1,0.078657
212,1,0.070791
213,1,0.063712
214,1,0.057341
215,1,0.051607
216,1,0.046446
217,1,0.041802
218,1,0.037621
219,1,0.033859
220,1,0.030473
221,1,0.027426
222,1,0.024683
223,1,0.022215
224,1,0.019994
225,1,0.017994
226,1,0.016195
227,1,0.014575
228,1,0.013118
229,1,0.011806
230,1,0.010625
231,1,0.009563
232,1,0.008607
233,1,0.007746
234,1,0.006971
235,1,0.006274
236,1,0.005647
237,0,0.088969
238,0,0.160082
239,1,0.144074
240,1,0.129666
241,1,0.116700
242,1,0.105030
243,1,0.094527
244,1,0.085074
245,1,0.076567
246,1,0.068910
247,1,0.062019
248,1,0.055817
249,1,0.050235
250,1,0.045212
251,1,0.040691
252,1,0.036622
253,1,0.032959
254,1,0.029663
255,1,0.026697
256,1,0.024027
257,1,0.021625
258,1,0.019462
259,1,0.017516
260,1,0.015764
261,1,0.014188
262,1,0.012769
263,1,0.011492
264,1,0.010343
265,1,0.009309
266,1,0.008378
267,1,0.007540
268,1,0.006786
269,1,0.006107
270,1,0.005497
271,1,0.004947
272,1,0.004452
273,1,0.004007
274,1,0.003606
275,1,0.003246
276,1,0.002921
277,1,0.002629
278,1,0.002366
279,1,0.002130
280,1,0.001917
281,1,0.001725
282,1,0.001552
283,1,0.001397
284,1,0.001257
285,1,0.001132
286,1,0.001019
287,1,0.000917
288,1,0.000825
289,1,0.000743
290,1,0.000668
291,1,0.000601
292,1,0.000541
293,1,0.000487
294,1,0.000438
295,1,0.000395
296,1,0.000355
297,1,0.000320
298,1,0.000288
299,1,0.000259
300,1,0.000233
301,1,0.000210
302,1,0.000189
303,1,0.000170
304,1,0.000153
305,1,0.000138
306,1,0.000124
307,1,0.000111
308,1,0.000100
309,1,0.000090
310,1,0.000081
311,1,0.000073
312,1,0.000066
313,1,0.000059
314,1,0.000053
315,1,0.000048
316,1,0.000043
317,1,0.000039
318,1,0.000035
319,1,0.000031
320,1,0.000028
321,1,0.000025
322,1,0.000023
323,1,0.000021
324,1,0.000019
325,1,0.000017
326,1,0.000015
327,1,0.000014
328,1,0.000012
329,1,0.000011
330,1,0.000010
331,1,0.000009
332,1,0.000008
333,1,0.000007
334,1,0.000006
335,1,0.000006
336,1,0.000005
337,1,0.000005
338,1,0.000004
339,1,0.000004
340,1,0.000003
341,1,0.000003
342,1,0.000003
343,1,0.000003
344,1,0.000002
345,1,0.000002
346,1,0.000002
347,1,0.000002
348,1,0.000001
349,1,0.000001
350,1,0.000001
351,1,0.000001
352,1,0.000001
353,1,0.000001
354,1,0.000001
355,1,0.000001
356,1,0.000001
357,1,0.000001
358,1,0.000001
359,1,0.000000
360,1,0.000000
361,1,0.000000
362,1,0.000000
363,1,0.000000
364,1,0.000000
365,1,0.000000
366,1,0.000000
367,1,0.000000
368,1,0.000000
369,1,0.000000
370,1,0.000000
371,1,0.000000
372,1,0.000000
373,1,0.000000
374,1,0.000000
375,1,0.000000
376,1,0.000000
377,1,0.000000
378,1,0.000000
379,1,0.000000
380,1,0.000000
381,1,0.000000
382,1,0.000000
383,1,0.000000
384,1,0.000000
385,1,0.000000
386,0,0.075672
387,1,0.068104
388,1,0.061294
389,1,0.055165
390,1,0.049648
391,1,0.044683
392,1,0.040215
393,1,0.036193
394,1,0.032574
395,1,0.029317
396,1,0.026385
397,1,0.023747
398,1,0.021372
399,1,0.019235
400,1,0.017311
401,1,0.015580
402,1,0.014022
